scorer,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,7.930407653904007,1.0,6.8933894709525845,1.0,6.3575715996251585,1.0,6.108001457655017,1.0,6.748519495041742,1.0,4.85599392081783,1.0,2.449268456511014,1.0,9.005010955787077,1.0,8.800920352951632,1.0,9.494484250408608,1.0,6.0270054850054136,1.0
1,14.978365830680726,1.0,9.48925017359697,1.0,7.579291996231792,1.0,8.674110089520427,1.0,7.25130213974831,1.0,10.24635460561832,1.0,10.248303480349637,1.0,7.6559850097543904,0.9890000224113464,9.659493742852908,1.0,13.994911061528224,1.0,9.931143372315754,1.0
2,6.775033633801798,1.0,2.75703098069214,1.0,6.699281948334501,1.0,5.963462591694334,1.0,9.421478179976987,1.0,8.40863589973022,1.0,5.866582248594949,1.0,9.320715000224489,1.0,7.7748742094900205,1.0,7.837547255282758,1.0,6.199885287929864,1.0
3,3.67429044567275,0.9990000128746033,8.168787405411704,1.0,8.569528216633278,1.0,12.101461040702297,0.9909999966621399,45.112847277036394,0.3790000081062317,7.54276146227526,0.5529999732971191,33.53735378395255,0.1340000033378601,44.60189676818436,0.2070000022649765,10.6323017689855,1.0,34.10083125042889,1.0,47.423736504221196,0.9990000128746033
4,10.19895366822232,1.0,6.793509476168274,1.0,6.337888415738999,1.0,8.768457334541145,1.0,9.011597353835898,1.0,6.408706181275161,1.0,2.6678927693949066,1.0,7.250815731921583,1.0,7.504650553124961,1.0,6.674534185828418,1.0,6.182245684325156,1.0
5,7.164091468276664,1.0,6.468615110261054,1.0,7.797965719613503,1.0,7.424381665722899,1.0,5.103519757895867,1.0,9.301552487195954,1.0,9.522024486233468,1.0,9.469128371790939,1.0,5.952500367796346,1.0,6.895864833094707,1.0,4.684669618172978,1.0
6,7.926122740705291,1.0,5.550635729646059,1.0,6.666619262423116,1.0,7.128616597620667,1.0,8.552270198496542,1.0,9.677391914854704,1.0,7.064786840625337,1.0,7.201011494435257,1.0,8.698057921258034,1.0,6.88967340080075,1.0,6.236610774189237,1.0
7,7.183821256045898,1.0,5.355777756385178,1.0,7.219504749322072,1.0,8.200206986693347,1.0,4.844406551970784,1.0,11.082578186404243,1.0,3.055589077130291,1.0,4.613432599619857,1.0,10.71144386319497,1.0,8.531096827025914,1.0,6.3852104562213645,1.0
8,10.533117690023126,1.0,6.605814981958896,1.0,5.411870254163651,1.0,9.476313994343284,1.0,4.60706173054336,1.0,10.445192945889076,1.0,3.818116808704633,1.0,7.211441527857124,1.0,5.457734372842333,1.0,9.147455909404238,1.0,3.518817341105063,1.0
9,5.040015598553993,1.0,7.395836709474174,1.0,4.619921852893402,1.0,8.918743057175597,1.0,5.6235805190804795,1.0,4.361295171697723,1.0,8.805490565816076,1.0,10.585515483465981,1.0,7.1419100326970755,1.0,8.722750080236656,1.0,3.6076684187641495,1.0
10,8.443419592012845,1.0,8.11228862570578,1.0,5.661150489957099,1.0,8.494999986927244,1.0,6.648646933753591,1.0,8.55708474987959,1.0,4.833150658607205,1.0,7.286633809948579,1.0,5.355421408957991,1.0,6.461408005573255,1.0,6.1115769542465825,1.0
11,7.517075885950467,1.0,8.35106573891666,1.0,5.2296143921846605,1.0,7.364132330708401,1.0,5.848416962678802,1.0,7.033952704915742,1.0,3.80996711949644,1.0,8.091823067936568,1.0,7.091301537179147,1.0,7.907882058757811,1.0,6.777580053386552,1.0
12,8.639884926934727,1.0,6.333707154708802,1.0,6.055440743160455,1.0,11.46834501780976,1.0,5.6665800087465295,1.0,8.001740196225471,1.0,7.565047424835468,1.0,9.458663961356429,1.0,8.049050308309795,1.0,6.042989560514781,1.0,6.163423587078162,1.0
13,7.4792489482543845,1.0,2.981352815866925,1.0,5.389011471350686,1.0,5.212094498742601,1.0,6.878161099754083,1.0,6.63052508625537,1.0,1.750822435144236,1.0,9.864529910486437,1.0,10.769221600238103,1.0,7.962843072401012,1.0,6.420205874403147,1.0
14,6.308913621332496,1.0,6.653105001176376,1.0,8.189116516411485,1.0,6.856962583981122,1.0,6.275834785744442,1.0,7.817750529984146,1.0,8.398452319276435,1.0,5.7091390754136135,1.0,6.500280646510165,1.0,8.960658025683363,1.0,5.59496858322355,1.0
15,6.074480637419817,1.0,5.9608106770210005,1.0,5.857184921676006,1.0,5.999537634515691,1.0,5.229701421800525,1.0,8.559100433712587,1.0,4.146252053907999,1.0,7.3224732389213445,1.0,5.123379370694615,1.0,8.946290898415691,1.0,3.747272611920816,1.0
16,8.434687521866733,1.0,6.773383964626538,1.0,7.973376518259232,1.0,6.412770939079624,1.0,6.729732956003291,1.0,10.921682181374583,1.0,8.169149092368647,1.0,6.018581291498477,1.0,4.631800937673421,1.0,6.204111830566319,1.0,6.0562166897393075,1.0
17,6.982470668032227,1.0,5.473645538421818,1.0,7.410739016665379,1.0,8.051857702217708,1.0,5.669852635816256,1.0,3.5515903992062947,1.0,3.8809009938784556,1.0,8.345316518188906,1.0,7.55426125780373,1.0,7.280108755562023,1.0,5.087531380235838,1.0
18,8.527491305471674,1.0,6.623753845605569,1.0,8.041591233129894,1.0,19.097745212874575,1.0,10.479221703800679,1.0,7.608695400629138,1.0,1.825382246589982,1.0,3.8816327247138194,1.0,13.094944486565263,1.0,8.757208912065641,1.0,5.166585596934898,1.0
19,6.318779951853993,1.0,5.362805489631496,1.0,6.10506374004253,1.0,6.77636688307122,1.0,9.247742590358575,1.0,8.288435158257982,1.0,6.918399843835151,1.0,6.007322493719601,1.0,12.081177940029205,1.0,10.62301301158333,1.0,6.844277492443195,1.0
20,6.958892271588548,1.0,6.238704034213422,1.0,6.184186036172408,1.0,6.614257731279117,1.0,7.920741605206948,1.0,7.076285750816989,1.0,2.458079583484628,1.0,7.844491603160481,1.0,8.058164290306582,1.0,6.552609393238377,1.0,6.057929355999907,1.0
21,4.895388137203678,1.0,6.403760658487376,1.0,6.162482461805193,1.0,5.519190970945038,1.0,4.853516822886547,1.0,6.710679623131436,1.0,8.9223191917676,1.0,5.753805046482909,1.0,8.643168301719133,1.0,8.340219939919766,1.0,7.317537497573328,1.0
22,7.163798470692316,1.0,6.908337497611816,1.0,6.533578439308226,1.0,6.82062730912899,1.0,8.528649424045808,1.0,9.549614241087411,1.0,7.452255228184667,1.0,6.52797745030854,1.0,7.080136939390108,1.0,9.18878408254417,1.0,6.155315270901473,1.0
23,8.823430507900607,1.0,7.394411154774769,1.0,8.433866172803025,1.0,7.10516490679853,1.0,7.0154746929091,1.0,6.345304638080205,1.0,7.752941760395565,1.0,7.074178189611904,1.0,6.058076328085435,1.0,4.411321840967931,1.0,7.899711697145518,1.0
24,7.969237670157676,1.0,5.805922899781016,1.0,7.033485635950616,1.0,6.018879763501465,1.0,9.32686746227642,1.0,4.575455071142811,1.0,12.940173281265611,1.0,9.476782107845088,1.0,7.2370787854913,1.0,4.904766686245205,1.0,6.713241174941717,1.0
