scorer,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart13,bodypart13,bodypart14,bodypart14,bodypart15,bodypart15,bodypart16,bodypart16,bodypart17,bodypart17,bodypart18,bodypart18,bodypart19,bodypart19,bodypart2,bodypart2,bodypart20,bodypart20,bodypart21,bodypart21,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,9.383091046765811,1.0,9.080132111493015,1.0,5.320028221771288,1.0,3.9596870491187333,1.0,7.7218418127769395,1.0,3.8582279975261975,1.0,7.08834419186213,1.0,7.255250022550276,1.0,6.453353726468058,1.0,7.998617882310056,1.0,5.060551751447751,1.0,5.840445433309336,1.0,3.129974712604608,1.0,5.622518907363959,1.0,5.905674017492765,1.0,3.765312959757865,1.0,8.42754119492303,1.0,5.766208593824321,1.0,4.049561969155943,1.0,7.118055452093725,1.0,6.715427118742904,1.0
1,5.751593160118043,1.0,9.46409191686305,1.0,5.241397847366951,1.0,3.2168374687988655,1.0,7.190708715039657,1.0,7.550322720981522,1.0,6.958105978140051,1.0,6.587073039548598,1.0,6.218910734991453,1.0,7.377052736356654,1.0,4.162190498558183,1.0,8.49166239945821,1.0,5.539096482498489,1.0,6.655736771153606,1.0,5.64999722576068,1.0,3.8509191788942707,1.0,8.107640044037765,1.0,5.66292394270077,1.0,3.43247112059502,1.0,7.832440518167323,1.0,9.322980460623402,1.0
2,5.726576892154095,1.0,6.9121947063115154,1.0,5.684935712029151,1.0,4.772612349326737,1.0,6.868278654456111,1.0,7.408679412453434,1.0,7.251534429341196,1.0,7.239551281384068,1.0,6.465172136507074,1.0,6.996311673336025,1.0,4.623778906818345,1.0,7.098353153550066,1.0,5.593240905272451,1.0,6.815132758786802,1.0,5.270357502454384,1.0,4.99595487822326,1.0,7.704803561353825,1.0,6.519841256718894,1.0,3.1621913653879594,1.0,6.5735970602910685,1.0,8.278486101181347,1.0
3,8.363238995505618,1.0,10.208769859218243,1.0,5.809936461044429,1.0,4.400103439898427,1.0,5.9419472426100155,1.0,8.647697700705608,1.0,6.1139788127894334,1.0,7.475276822591547,1.0,4.6571066320031465,1.0,5.359436844553533,1.0,6.696561010717638,1.0,5.923007209337153,1.0,3.122131398165312,1.0,7.3395975037050025,1.0,6.878871339051195,1.0,4.499471824999282,1.0,5.663966545973083,1.0,7.584514169312334,1.0,9.851978510804352,1.0,6.498321004201365,1.0,7.4113869360867835,1.0
4,4.428493209052652,1.0,5.79656792470922,1.0,5.023754577219011,1.0,4.6141356247289345,1.0,6.709682175785773,1.0,6.96744517081965,1.0,6.266556684340593,1.0,3.900409842219277,1.0,7.008110801630882,1.0,6.192885432415914,1.0,3.9999369486303182,1.0,5.862042089920328,1.0,3.631732875513176,1.0,5.972911143611386,1.0,6.317359533809311,1.0,9.53446038411998,1.0,6.3055452334595685,1.0,8.178606512235888,1.0,4.9647564266545805,1.0,6.690992349560197,1.0,5.845873338868984,1.0
5,4.722621883243938,1.0,7.595782264743425,1.0,5.580382370214795,1.0,5.50746029894469,1.0,6.070016787420172,1.0,8.551029872646888,1.0,9.75075469372233,1.0,2.9381222362801376,1.0,7.660478140540543,1.0,6.338231916944868,1.0,4.702593998117433,1.0,5.623963442914329,1.0,3.509022933533407,1.0,5.646369038157191,1.0,6.082285061309678,1.0,5.802318694722476,1.0,5.808029781106749,1.0,3.2902876492301854,1.0,5.708805486437976,1.0,7.369597284617972,1.0,7.318114074188204,1.0
6,10.719301561536959,1.0,6.663796801935713,1.0,6.5358294444985345,1.0,9.032952063354665,1.0,7.842727340498286,1.0,8.40741036908402,1.0,7.750673672511824,1.0,9.765154111250153,1.0,8.064501893299795,1.0,6.849211609964211,1.0,5.651646075930261,1.0,3.701069265118896,1.0,4.526591678073987,1.0,8.878169162348437,1.0,8.273320403380225,1.0,6.938350866697697,1.0,5.1779408296667215,1.0,5.477187214394795,1.0,4.660650070472009,1.0,4.99133072188166,1.0,6.463469200278423,1.0
7,6.585352404747266,1.0,10.175546338266544,1.0,8.594466990709272,1.0,8.870795385906813,1.0,9.473885761742812,1.0,7.841526166647974,1.0,4.632890892873741,1.0,9.069948352500424,1.0,7.958669855781233,1.0,7.640241044928506,1.0,6.010799547986825,1.0,3.8527367645822244,1.0,3.9917169855926113,1.0,6.2752478197973005,1.0,8.766424472458146,1.0,5.029981313657414,1.0,6.0986395894190455,1.0,7.334720833031213,1.0,5.079410920383489,1.0,7.876331970123816,1.0,5.988348529610519,1.0
8,5.638945929329546,1.0,7.466406946931196,1.0,5.4679472166171506,1.0,8.952742295829502,1.0,7.1535230166981325,1.0,7.806131709948616,1.0,4.534522488700199,1.0,9.417913508318332,1.0,6.8532090947633515,1.0,6.127984299943148,1.0,3.4720742242512004,1.0,6.107355157323947,1.0,5.920959037460744,1.0,7.443425508312806,1.0,5.925588126633875,1.0,6.87772744703572,1.0,4.723516611648647,1.0,5.22592418570305,1.0,5.256586147015995,1.0,7.453223838105909,1.0,8.004669091659942,1.0
