scorer,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
9,5.6407271288613705,1.0,7.321126974379449,1.0,4.9746787918602715,1.0,3.0908923086745768,1.0,8.137662904007447,1.0,7.474132763490197,1.0,5.510639825893876,1.0,4.2165984685888525,1.0,7.616845571187838,1.0,5.121247199833853,1.0,5.323980915134448,1.0,6.924971649968241,1.0,5.516416626019745,1.0,5.063941208853307,1.0,5.450369425852497,1.0,6.125085773912243,1.0,5.160365213242906,1.0,6.772441847490711,1.0,4.224672560521459,1.0,5.424092899444239,1.0,3.383380213095483,1.0
10,7.6926929830703985,1.0,6.619790422255947,1.0,6.180429734533797,1.0,2.835764873399544,1.0,5.597877206704293,1.0,6.477665791080931,1.0,7.269362253081376,1.0,7.123095440782424,1.0,7.059306344063468,1.0,6.694833739049292,1.0,5.857066508300733,1.0,5.746890944647516,1.0,5.681044493118776,1.0,8.857227296352983,1.0,5.324151787565839,1.0,9.704755993117066,1.0,5.168348885596214,1.0,5.566235978679201,1.0,5.015356675860244,1.0,5.840479943073404,1.0,4.331777874663927,1.0
11,6.319447591289396,1.0,7.269163435121129,1.0,6.206349869394063,1.0,5.044877509894558,1.0,5.6255759817738795,1.0,5.239577259639069,1.0,6.626335605783499,1.0,6.137170278857897,1.0,7.321521885506988,1.0,8.373630766779428,1.0,6.908998064664993,1.0,4.342225265931139,1.0,6.643763076847145,1.0,3.529615510205504,1.0,4.286901330245175,1.0,8.45603604144941,1.0,6.576876978548109,1.0,5.145439096912899,1.0,5.302109315126434,1.0,6.521867909390611,1.0,5.96381271227168,1.0
12,6.428195383083485,1.0,7.778246868363722,1.0,5.947408095294149,1.0,5.500408883521272,1.0,5.740367504868648,1.0,5.606889430796395,1.0,6.6090049903963815,1.0,3.472473534976153,1.0,6.68251191010624,1.0,5.405266033189775,1.0,5.603964761413994,1.0,5.7164033656669435,1.0,6.428147633836931,1.0,7.864279332810033,1.0,6.372282784691189,1.0,8.301664968776999,1.0,6.005228351585494,1.0,5.866464235358188,1.0,5.752154792304108,1.0,6.765048206387431,1.0,5.82519625833415,1.0
13,7.209105451673963,1.0,7.51671571568521,1.0,4.511336420227259,1.0,6.895728927377276,1.0,4.741047700936492,1.0,8.152457062419254,1.0,7.192335568834753,1.0,6.153259206449891,1.0,9.834763896835629,1.0,4.072920289775964,1.0,7.832869385367614,1.0,6.212992971890343,1.0,8.131088173605304,1.0,4.449227454405791,1.0,8.985202192135546,1.0,6.4733662820613596,1.0,5.398641268324251,1.0,7.636912736143823,1.0,3.6092725208777234,1.0,6.90485273041655,1.0,5.455898238361329,1.0
14,5.99107293522145,1.0,7.095701724445272,1.0,9.507815979118032,1.0,3.9337943835234217,1.0,4.173443023694694,1.0,8.254243697693495,1.0,5.486683868569064,1.0,7.246310616899723,1.0,,,7.766131661654257,1.0,4.649737933070376,1.0,3.148531069554718,1.0,7.0823620568597505,1.0,4.79430033411646,1.0,6.75083412812279,1.0,7.414535807285109,1.0,5.360809488899653,1.0,4.504464249308771,1.0,5.45053882890536,1.0,7.684128578920991,1.0,6.497889840644214,1.0
15,9.03107542044384,1.0,6.506149546132067,1.0,4.362104704076038,1.0,5.037376751387235,1.0,6.740618213722648,1.0,4.105618256107861,1.0,4.731045437364248,1.0,5.90663322970666,1.0,7.484348389833184,1.0,6.232629000976619,1.0,6.17915163841462,1.0,4.052994818021433,1.0,5.380519152873309,1.0,8.001184736713318,1.0,9.38703368699392,1.0,6.568098934394918,1.0,5.65589929297146,1.0,5.928519203707526,1.0,4.569376952665295,1.0,3.437874237923535,1.0,5.744893755339604,1.0
16,14.218337890754725,0.9959999918937683,8.911916678488094,1.0,4.501476289155511,1.0,2.4543983688522144,1.0,9.128283842471435,1.0,10.085595317335569,1.0,7.6998194523541255,1.0,9.779877772382825,1.0,11.384655485791672,1.0,9.253252166185328,1.0,11.488413257700886,1.0,8.665222047010934,0.9570000171661377,8.171542547155711,1.0,6.4714321913596144,1.0,12.91567484192365,1.0,4.1357041382898565,1.0,3.155001197924164,1.0,9.98348422421738,1.0,7.378114420780627,1.0,10.805768168720991,1.0,4.735533544077827,1.0
17,9.032916100827435,1.0,6.483853443251011,1.0,16.360987101555178,1.0,3.0094969437294856,1.0,9.16065768879395,1.0,8.897333402323325,1.0,7.91988175625599,1.0,7.930727097167214,1.0,9.237811186893707,1.0,5.68887098412054,1.0,9.480839863991275,1.0,3.662269520896057,1.0,5.519870949857597,1.0,9.187819326611056,1.0,10.551565736883711,1.0,5.95909298237288,1.0,7.670992332922942,1.0,3.3632551173454077,1.0,10.198424714173255,1.0,6.360138628384885,1.0,2.6239911595012475,1.0
18,6.658657776236444,1.0,8.084269813108872,1.0,6.073935659903375,1.0,7.669506235433452,1.0,5.067051839346002,1.0,8.20584368097246,1.0,6.321830338091021,1.0,5.658323060981892,1.0,5.6527180785085,1.0,5.433630862351719,1.0,4.277990880184846,1.0,4.603374433178381,1.0,4.702734380412158,1.0,8.960825567371037,1.0,4.2771689099509596,1.0,5.123027338174112,1.0,4.542092278008599,1.0,7.680777313477419,1.0,5.673758177248051,1.0,8.241823378699568,1.0,3.096181830097384,1.0
19,7.933770263732759,1.0,6.617446057221784,1.0,6.377675276607227,1.0,9.84636840681824,1.0,5.8479918740911065,1.0,7.1264011887303464,1.0,4.703367709792763,1.0,4.776513925927486,1.0,7.3004550355438935,1.0,6.293430900697311,1.0,4.263349110760846,1.0,6.1255502937127835,1.0,4.718752620386918,1.0,6.994562454438067,1.0,6.616175420316359,1.0,6.992434680625731,1.0,7.075422828077621,1.0,7.216669962687899,1.0,5.207229186715413,1.0,6.9907402208323886,1.0,9.084897531336,1.0
20,6.04631072003097,1.0,5.065251296941443,1.0,6.008755303802682,1.0,8.24914739378513,1.0,4.842963066956088,1.0,7.463082581726754,1.0,6.488949764266505,1.0,3.47763472258369,1.0,6.925967750847949,1.0,4.431419603532064,1.0,3.5189251036440305,1.0,5.93847015288966,1.0,7.079995077791298,1.0,6.61226347408166,1.0,5.052328181157738,1.0,8.927048671824423,1.0,8.433152805993798,1.0,8.630153392076874,1.0,8.845271034524812,1.0,8.071589332399927,1.0,6.402926697371305,1.0
21,13.106067570943807,1.0,5.422713527459029,1.0,6.661365745182824,1.0,8.565377099428819,1.0,6.4869891248997495,1.0,7.164133469150306,1.0,4.998543005666517,1.0,4.472965992961604,1.0,5.439208925298075,1.0,8.646321116404195,1.0,3.637721984400287,1.0,7.206624126088452,1.0,5.1116944077988755,1.0,1.4865619521533564,1.0,7.986083436296951,1.0,9.165095563797092,1.0,7.448762485209838,1.0,5.267005901816399,1.0,6.960910673129525,1.0,16.279798308765287,0.9990000128746033,12.748829570934436,1.0
22,5.552653984763701,1.0,7.307812887451748,1.0,5.1022757623455535,1.0,9.288304316420668,1.0,6.276051923573274,1.0,7.219840361693322,1.0,6.552452591254366,1.0,6.005035166347688,1.0,6.2889603891871815,1.0,7.9197521783254095,1.0,4.164408214607133,1.0,6.0740516026040625,1.0,6.578043428687426,1.0,5.312944430064666,1.0,4.9535193385810095,1.0,6.260041759003992,1.0,4.621787956341684,1.0,9.194393622368992,1.0,3.4156348480591125,1.0,6.827760812041369,1.0,7.056227907530656,1.0
23,6.951709714179894,1.0,6.3056832093615425,1.0,8.296472775950962,1.0,4.4825686636479665,1.0,6.7966514565035165,1.0,7.136195747058418,1.0,6.423525147560552,1.0,6.881870776297124,1.0,7.102301770666649,1.0,8.66202800200846,1.0,4.982440517879313,1.0,5.470347136934892,1.0,6.70358696226077,1.0,5.491913037056024,1.0,5.187246171832825,1.0,6.163608280249302,1.0,5.29180689723778,1.0,6.055339965521373,1.0,7.341078903403837,1.0,7.144835877068848,1.0,7.043670893684915,1.0
24,7.560833810159059,1.0,6.468268739408165,1.0,8.077366764478036,1.0,4.859175952418611,1.0,6.896664796642351,1.0,7.27138660841411,1.0,6.680886246843708,1.0,6.639101651099157,1.0,6.68948463089158,1.0,8.521327219968507,1.0,4.862910962419097,1.0,6.058375506241299,1.0,6.824661867796602,1.0,5.150696094657562,1.0,5.47434107018198,1.0,6.13991972038884,1.0,5.269890931715755,1.0,6.366869271666771,1.0,8.091040837063156,1.0,6.665389735580823,1.0,6.362130264276833,1.0
