scorer,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart13,bodypart13,bodypart14,bodypart14,bodypart15,bodypart15,bodypart16,bodypart16,bodypart17,bodypart17,bodypart18,bodypart18,bodypart19,bodypart19,bodypart2,bodypart2,bodypart20,bodypart20,bodypart21,bodypart21,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,9.851030673422624,0.9879999756813049,4.637192880145756,0.9990000128746033,8.567872110613672,0.9990000128746033,10.440556694376108,1.0,9.028241658184715,0.9990000128746033,9.694843855068372,1.0,4.051308934889912,1.0,6.133045497828676,1.0,7.877811178381392,1.0,7.766592193367964,1.0,7.627489312204383,0.9980000257492065,7.330780353675758,0.9990000128746033,2.434611419442183,0.9950000047683716,5.925652361744573,0.9959999918937683,1.698029117419372,0.996999979019165,3.2433263564174415,0.996999979019165,1.82400308012065,1.0,7.644139872335257,1.0,7.652554461538298,1.0,8.783915993940976,0.9950000047683716,4.4038131591288945,1.0
1,5.558594281480562,1.0,4.36805563586423,0.9990000128746033,7.738936291762082,1.0,6.81365864924005,1.0,7.352346347348121,0.9980000257492065,8.407795306177098,1.0,2.3306843749874773,0.9959999918937683,5.782432687965161,1.0,7.84756630586726,1.0,7.061145014068457,1.0,6.271749521378363,0.9990000128746033,6.15721894365414,0.9990000128746033,1.450972408446626,0.9909999966621399,7.0740945946858185,0.9959999918937683,6.947689095171424,1.0,8.68989384371588,0.9959999918937683,6.70381988332177,1.0,6.983382193909615,0.9990000128746033,6.844051915532429,1.0,9.217620871048421,0.996999979019165,3.988480457283306,1.0
2,7.688640153566184,0.9990000128746033,2.941108532493216,0.9990000128746033,7.517798431980871,0.9990000128746033,7.265494764086992,0.9990000128746033,7.759355265984636,0.9990000128746033,7.8432831288806035,1.0,9.257902021328226,1.0,6.219234291693732,1.0,7.722005083148949,1.0,7.3031483750454615,0.9990000128746033,7.719968764957622,0.9980000257492065,9.306487698826707,0.9919999837875366,2.004271024109511,0.9890000224113464,7.322025569992432,0.9959999918937683,2.684869386919943,1.0,7.661380206341217,1.0,10.544106203339496,0.9950000047683716,6.089671754235776,1.0,7.324613757557377,1.0,7.878972727969042,0.996999979019165,2.4879850321155876,1.0
3,8.599184320028431,0.9990000128746033,10.164613851850573,0.9990000128746033,6.942414090644766,0.9900000095367432,15.756280854760425,0.9990000128746033,14.985580786161083,0.9990000128746033,14.21404162053395,0.9990000128746033,6.655841095432044,0.9990000128746033,8.106607442510255,0.9779999852180481,4.909952055391409,0.996999979019165,9.771279256403734,0.9990000128746033,6.7866071922416245,0.9990000128746033,16.011551153291695,0.996999979019165,15.737555367133519,0.9919999837875366,6.897245014342844,0.9990000128746033,12.858764233760363,0.4429999887943268,12.97933110435068,0.2709999978542328,5.346297024368346,0.8989999890327454,8.49354171968452,0.3009999990463257,2.933393613214217,0.14800000190734863,6.199813312549125,0.8579999804496765,5.654124983450858,0.9350000023841858
4,11.0947986322653,0.9990000128746033,9.031492971831973,0.996999979019165,3.971815071496058,0.9980000257492065,14.247067835234407,1.0,7.018223863861849,0.9990000128746033,6.453064812314183,1.0,9.331637463728931,0.9950000047683716,6.8998356396210205,0.9990000128746033,8.923141882777726,0.9990000128746033,7.668291412556717,1.0,3.0960448497511117,0.9990000128746033,7.3434692076394015,0.9980000257492065,6.665407095704628,0.9990000128746033,12.00470245692418,0.9959999918937683,6.717930224764354,0.9990000128746033,10.057802258298622,0.9980000257492065,4.329326842644595,0.9990000128746033,8.256681877812742,0.996999979019165,4.42330012867678,0.996999979019165,3.2244819048166593,0.9980000257492065,7.473585886999575,0.9990000128746033
5,8.55943571933583,1.0,6.372361333647372,1.0,7.052644407266906,0.9980000257492065,11.604105668842019,1.0,7.052386289033877,1.0,9.871985066164328,0.9990000128746033,2.7606115885350033,1.0,9.425379796928043,0.9990000128746033,3.59709360246746,0.9990000128746033,8.504150442346605,1.0,4.349089038459716,0.9990000128746033,4.756520432071426,1.0,6.635850552537223,0.9990000128746033,5.013581619865592,0.9990000128746033,9.323237224294369,1.0,10.181179330645493,1.0,6.253971105592837,0.9990000128746033,4.38908682433953,0.9980000257492065,12.164090735956007,0.9959999918937683,4.720316545300673,1.0,7.6960735840830194,0.9959999918937683
6,12.017711768907105,0.9990000128746033,8.371854023504982,1.0,6.78523984343194,0.996999979019165,9.488348963850154,1.0,7.80205608978155,0.9990000128746033,9.267181266432857,1.0,8.119457736309926,0.9990000128746033,6.6854634342085255,0.9990000128746033,4.758673404387938,1.0,7.619668835243563,0.9990000128746033,6.04713885520505,0.9990000128746033,3.628348988648975,0.9909999966621399,10.9255110466304,0.9980000257492065,9.506601716300324,0.9950000047683716,11.89993545400508,0.9980000257492065,8.425186542954647,1.0,7.37909541947057,0.9990000128746033,3.5672546009467085,1.0,5.286420409353589,1.0,3.5824852432044434,1.0,8.08263341186062,0.9929999709129333
