scorer,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
16,4.622818207804293,1.0,1.3612302820829734,1.0,1.3516962711099703,1.0,3.588041367246035,1.0,2.336083738170488,1.0,2.853637029510886,1.0,2.0468885499357246,1.0,6.2090232772646985,1.0,1.9603113603695752,1.0,2.129116663738737,1.0,2.2664769247255796,1.0,3.0849814924263605,1.0
17,4.704376201433533,1.0,2.7892998910371545,1.0,1.6013878037476286,1.0,0.25118514857629043,1.0,2.38797501605464,1.0,3.39849286263528,1.0,1.391197914307749,1.0,5.837513358588278,1.0,1.1077130332396832,1.0,2.4003825661182328,1.0,3.3494005256866344,1.0,2.920173539092346,1.0
18,4.528998076661452,1.0,2.8718684888409722,1.0,4.058988624950861,1.0,0.15803559288778224,1.0,2.994494961756137,1.0,4.020363191383924,1.0,1.755172116671241,1.0,5.196481974639211,1.0,1.651105299325208,1.0,2.6191345355666664,1.0,3.6486363677233946,1.0,1.422918325675342,1.0
19,4.289448771971537,1.0,1.2407331453914232,1.0,1.3651016947100507,1.0,0.9854509126481511,1.0,2.5135971994165036,1.0,3.5041506046362905,1.0,1.7647518639539275,1.0,4.8453856526668,1.0,1.3472450314937596,1.0,1.7565670331798822,1.0,4.051929706586108,1.0,1.6952176437658426,1.0
20,4.137644618210475,1.0,1.2251310671220481,1.0,1.2580437142635026,1.0,1.9895666803245924,1.0,2.3628786908808093,1.0,3.4836630723103994,1.0,1.379474211720364,1.0,4.878280034223912,1.0,1.3820291702859864,1.0,1.5064603626002107,1.0,3.671252105470247,1.0,1.149392279925777,1.0
21,4.401853352431594,1.0,3.072091476340807,1.0,3.291141423469007,1.0,3.67446721038575,1.0,2.460256048915836,1.0,3.592209308152618,1.0,1.143266670507002,1.0,4.921905167729905,1.0,1.6931771353207445,1.0,0.9920647356148805,1.0,4.443922883809377,1.0,0.7334066521449988,1.0
22,4.750213219030781,1.0,4.03115601831275,1.0,2.202157783337049,1.0,2.2316677513967575,1.0,2.072130859792374,1.0,3.0981525044907188,1.0,1.322650954854216,1.0,2.178292074908901,1.0,3.1232339937812252,1.0,0.6630003254837076,1.0,5.552761023782539,1.0,1.2383668577031874,1.0
23,4.65726696856525,1.0,4.197259366931571,1.0,1.9391471613634805,1.0,2.5657189493172026,1.0,2.1522777810458473,1.0,3.330239689609776,1.0,1.3594769836863647,1.0,2.208282132541989,1.0,2.9611300782285825,1.0,0.9018685886793267,1.0,2.698596951723421,1.0,1.1151937461025943,1.0
24,4.61294659738619,1.0,3.963642907487996,1.0,4.528896922533421,1.0,1.6432355055083097,1.0,2.11988483120306,1.0,2.810872673892621,1.0,1.695680397360684,1.0,1.6785652617601987,1.0,2.3102243133054365,1.0,0.5167629749144975,1.0,5.406948473860589,1.0,0.9519225963450493,1.0
25,4.531763474062652,1.0,2.3405375514527806,1.0,3.081247532386523,1.0,3.134655464506622,1.0,1.9248806728707704,1.0,3.7243645419930838,1.0,1.0405242078478716,1.0,2.626921773241013,1.0,2.2673336411629808,1.0,1.7589724137928453,1.0,1.5602008094137976,1.0,3.817638669537593,1.0
26,4.723988028182841,1.0,2.5620546099971664,1.0,3.1436193875815315,1.0,0.47503391729580885,1.0,2.107104532827466,1.0,3.294699278760758,1.0,2.0921786835586054,1.0,2.2713334804970784,1.0,2.1994537927006435,1.0,1.2076313789147815,1.0,4.375841618197047,1.0,4.349461032183511,1.0
27,4.861394047869074,1.0,3.802692740743345,1.0,1.6050999968689572,1.0,2.850513765112656,1.0,2.4782466799623832,1.0,2.7463486048683188,1.0,1.5339463695108098,1.0,2.1592421955323364,1.0,2.713982776852741,1.0,0.7217390262078782,1.0,1.101594083469159,1.0,4.827984930454375,1.0
28,4.726851780174924,1.0,3.102458679487651,1.0,2.3399018115227523,1.0,1.5571806794659866,1.0,2.308732589322609,1.0,2.9793824303450864,1.0,1.4978547463979945,1.0,3.035056460719222,1.0,2.489066548502634,1.0,2.076898580685221,1.0,3.1859438134687017,1.0,4.195916612249856,1.0
29,4.5799436691921915,1.0,2.4933711496369746,1.0,1.8014817872158517,1.0,3.862752156701632,1.0,3.5669645303804827,1.0,3.863131761870138,1.0,1.6033699013394098,1.0,3.086331372169044,1.0,2.524297660389589,1.0,3.0012160153036316,1.0,3.1650012096215945,1.0,5.249728974445094,1.0
30,4.699843796002281,1.0,0.6583844251492033,1.0,3.0992560443218946,1.0,0.8143593997192625,1.0,2.3599966577137907,1.0,2.81328557176975,1.0,1.8396914848281336,1.0,3.7877093048912283,1.0,2.697092446483954,1.0,3.090610017838915,1.0,3.8328678541178185,1.0,3.475208248721944,1.0
31,4.6682222559599715,1.0,5.744873187732973,1.0,2.913211061489336,1.0,2.075981001789286,1.0,3.867375583943411,1.0,2.8236408946900546,1.0,1.10823259814946,1.0,4.208687634555094,1.0,1.9999879596569703,1.0,1.6785473208265884,1.0,3.6411216738289323,1.0,2.3976716034883707,1.0
32,4.519408001213269,1.0,7.505631541054954,1.0,2.8823646860582595,1.0,5.883984742150201,1.0,3.7700562630249053,1.0,3.055894666510129,1.0,1.1334038292616746,1.0,4.182233462818163,1.0,2.0797657325066026,1.0,1.9496495269242287,1.0,0.9653985846462558,1.0,0.9972988388624618,1.0
33,4.506225235367212,1.0,6.072547302117041,1.0,1.774033519946081,1.0,1.4951125644700063,1.0,3.907763011426491,1.0,3.6471736919503583,1.0,1.014353753990819,1.0,3.4501554190841386,1.0,1.0130400483696929,1.0,1.975385620678594,1.0,0.8680798313771322,1.0,1.1955848516297274,1.0
34,4.575093364963152,1.0,6.044995447219802,1.0,1.483964572028223,1.0,6.570541527787156,1.0,3.906092099534439,1.0,3.6901439173041655,1.0,1.0035972239124127,1.0,3.32913662908755,1.0,0.9044223310389985,1.0,1.7732201701341286,1.0,0.8862326169570417,1.0,0.9513995394867213,1.0
35,4.534486450730702,1.0,6.173583885858672,1.0,0.43635863884047404,1.0,7.524736851115587,1.0,3.536195650452311,1.0,3.252595695490944,1.0,0.7767697735955195,1.0,3.467656696566221,1.0,1.6624718758193964,1.0,1.9691957479423994,1.0,1.3829285677879557,1.0,1.6335857832406964,1.0
36,4.489281761013725,1.0,6.4943092865790994,1.0,0.2846076317049502,1.0,7.92832626983702,1.0,3.6455468486884968,1.0,3.4085497420127884,1.0,0.8682209771739343,1.0,3.17703215176766,1.0,1.6291215935593941,1.0,2.032938821417103,1.0,1.2885655116837855,1.0,1.292048554529113,1.0
37,4.793852770225881,1.0,3.993752486216853,1.0,1.0256518937374757,1.0,3.0082005160196017,1.0,3.895688706143285,1.0,4.234604993981807,1.0,0.21167843071949605,1.0,2.6031134915910954,1.0,2.3025167699095292,1.0,4.028738273746211,1.0,1.7038483896058183,1.0,2.36344620692883,1.0
38,4.88288517333765,1.0,3.788214741376018,1.0,2.5527781979706905,1.0,2.5494686149478136,1.0,3.024539843666186,1.0,3.977724712485313,1.0,0.5670314091913724,1.0,2.6254397097323245,1.0,2.1559478811515254,1.0,4.069028470720605,1.0,1.842074598506165,1.0,2.218695927245907,1.0
39,4.279793450710764,1.0,3.453524456963336,1.0,2.1563007652299593,1.0,2.366642006582583,1.0,3.7229416470225654,1.0,3.718532277504771,1.0,1.5048728662516617,1.0,3.7148202454944497,1.0,2.47273423579489,1.0,2.9355670042969306,1.0,2.367606268351851,1.0,3.4847743216430196,1.0
40,4.256605325922114,1.0,3.329301951376235,1.0,2.0758364311903508,1.0,2.414115063063872,1.0,3.690396487958467,1.0,3.6420170245144012,1.0,1.632917411425216,1.0,3.481338642173693,1.0,2.4384713424264737,1.0,2.991199313813644,1.0,2.21163197265421,1.0,2.8785502462260895,1.0
41,4.324230655390669,1.0,3.353151273352791,1.0,1.1647328186615638,1.0,2.9762025809788826,1.0,3.533256390671786,1.0,3.7926675119910054,1.0,1.6041361844569697,1.0,2.998474664029012,1.0,2.4114281247898997,1.0,3.323031323892059,1.0,2.759725093775556,1.0,2.6874725824678944,1.0
42,4.397447144587204,1.0,3.486703633289161,1.0,0.649536311131914,1.0,2.8874155150705865,1.0,3.597299852332863,1.0,3.789127130321014,1.0,1.4123432258279436,1.0,3.09880049693559,1.0,2.524762705521403,1.0,3.5605934664569943,1.0,2.6272292278530487,1.0,2.9505426544511395,1.0
43,4.349900267555601,1.0,5.752843381616251,1.0,4.0709205046244605,1.0,0.26442414048659413,1.0,3.5796489224182286,1.0,3.370676780843359,1.0,1.3089347631807486,1.0,2.4443696674228117,1.0,3.283037321334012,1.0,3.9526936189295347,1.0,1.1660056075908054,1.0,3.014691590162888,1.0
44,4.346207230596997,1.0,5.9022079803227845,1.0,4.123533908893432,1.0,0.1077909912775434,1.0,3.5035610429596544,1.0,3.268179574388123,1.0,1.156674133740948,1.0,2.852822220161099,1.0,3.575644094458345,1.0,4.406813497701599,1.0,0.8200492004697378,1.0,3.2097179228550483,1.0
45,4.5131057473325695,1.0,6.064776855058535,1.0,5.085836248464525,1.0,1.4659572060228288,1.0,2.30233869523672,1.0,3.6375561944634187,1.0,1.3893620077123778,1.0,1.8025083148538847,1.0,3.7377367214548802,1.0,5.466042776549142,1.0,0.47540952609501747,1.0,4.186511533377147,1.0
46,4.5131057473325695,1.0,5.854697699954689,1.0,4.808404029589436,1.0,1.4249890605246247,1.0,2.3177197444418876,1.0,3.657914928684995,1.0,1.4076347698917144,1.0,1.836350387022109,1.0,3.698423685161962,1.0,3.405950988783471,1.0,0.3582057714895927,1.0,3.8180512548327252,1.0
47,4.86679105511076,1.0,7.457508487889791,1.0,0.913586284521924,1.0,1.7330169587119464,1.0,3.079242976512986,1.0,3.721766982603567,1.0,2.3478011245494423,1.0,6.022412932073382,1.0,4.315786434902688,1.0,1.740429971995459,1.0,2.8010601886280706,1.0,3.926176308683449,1.0
48,4.986886240311983,1.0,7.209493877265794,1.0,1.1858278965117464,1.0,2.4816886352949976,1.0,3.0378081689346823,1.0,3.89985598281081,1.0,2.5363110638915076,1.0,6.176655801651929,1.0,4.4970477621033975,1.0,2.5207984875359943,1.0,1.933614275053873,1.0,3.287586872312296,1.0
49,3.9656635675558713,1.0,5.137068144102658,1.0,2.0555428070807586,1.0,6.383355051759979,1.0,3.2371839759348355,1.0,3.4053988449428076,1.0,2.5906648982071143,1.0,6.382220782315213,1.0,4.529454536140653,1.0,5.234355762305509,1.0,1.70735685344316,1.0,3.1084986922948787,1.0
50,4.043485194947836,1.0,5.272734651121636,1.0,2.210153959503783,1.0,6.5773819891975345,1.0,3.304377545386942,1.0,3.41280351474373,1.0,2.779208177398402,1.0,6.409717194588777,1.0,4.558171174174003,1.0,5.169200530644909,1.0,1.5673213918688,1.0,3.0233551971402983,1.0
51,4.166194121062953,1.0,5.404039339454851,1.0,3.0039063550517273,1.0,3.1845400388122527,1.0,4.2083239960544905,1.0,4.054586555865655,1.0,3.1604367806317955,1.0,6.933457506742976,1.0,4.175665554672251,1.0,4.753976750511178,1.0,1.8595389246285978,1.0,5.579840386738439,1.0
52,4.140388868477431,1.0,5.3038862392604385,1.0,3.632768597184753,1.0,3.2425410143505644,1.0,4.314365983423519,1.0,3.9880765175283033,1.0,3.2286117502832914,1.0,6.617427999006037,1.0,3.6855794026139614,1.0,4.679831306645424,1.0,1.7736501106728162,1.0,5.54063441247022,1.0
53,4.700463772755748,1.0,5.18037836112263,1.0,4.120186510371268,1.0,2.302132882136424,1.0,4.241931622871969,1.0,3.3524661366171644,1.0,2.724820843850098,1.0,6.087043368117076,1.0,3.1507449987531664,1.0,2.766833668764217,1.0,2.311582118374013,1.0,3.5873776750337347,1.0
54,4.614316470351755,1.0,5.226660902153565,1.0,2.890590816106016,1.0,3.127793373489081,1.0,4.185948977687728,1.0,3.31181709310026,1.0,2.8668776526594866,1.0,6.114286895380328,1.0,3.0276704151659466,1.0,2.737092648027918,1.0,2.6836884928744253,1.0,0.6468667650193473,1.0
55,4.746196716453513,1.0,5.565727758983732,1.0,1.7925261010365414,1.0,0.864273500048956,1.0,4.708104156747962,1.0,4.00778791091964,1.0,1.823387564396944,1.0,1.3828212727280498,1.0,3.1301350561862815,1.0,2.723338392720443,1.0,1.4247336328435944,1.0,2.7204269857762204,1.0
56,4.963705606444234,1.0,6.355302922703155,1.0,0.6502361314249576,1.0,0.18268666809565534,1.0,3.132402653413467,1.0,4.006822427988465,1.0,1.5612763375785161,1.0,1.7397293028828595,1.0,3.0688268856182495,1.0,2.276361953912245,1.0,1.6721806774034145,1.0,3.4100828761190063,1.0
57,4.547770342129292,1.0,5.306780680235554,1.0,2.050327790047346,1.0,0.9279492159870478,1.0,3.6995556097028164,1.0,3.4092661360674095,1.0,1.4985337251776107,1.0,2.34968999632067,1.0,2.893185079207707,1.0,3.640533517786575,1.0,1.3077863258351983,1.0,5.836783879564522,1.0
58,4.6326119483135075,1.0,6.740488442175216,1.0,2.4604141525384517,1.0,1.1671510234802964,1.0,3.7869619420188583,1.0,3.717828279333528,1.0,1.7432511012217113,1.0,2.4151384052077507,1.0,2.7704295654307414,1.0,3.6544675124426638,1.0,1.3315918073951623,1.0,6.117703987004715,1.0
59,4.423493186551744,1.0,2.260537643431519,1.0,2.430590855054253,1.0,5.220790391423603,1.0,2.2319663747476826,1.0,3.1311633811514237,1.0,1.1553599247253352,1.0,2.382770299349418,1.0,2.20932011796873,1.0,2.462070576744515,1.0,1.1480164748266988,1.0,0.5056619454802828,1.0
60,4.525306944741493,1.0,2.51610259569989,1.0,1.885558430918315,1.0,5.94395007534491,1.0,2.2928633785534194,1.0,3.316335903749013,1.0,0.81205837787643,1.0,2.752143404022985,1.0,2.2032645857529953,1.0,1.5645882181741246,1.0,1.2913644623490421,1.0,0.36360050243709374,1.0
61,4.884500948050729,1.0,1.804066621345415,1.0,1.5625414545606566,1.0,0.6923098282508579,1.0,2.572016043046747,1.0,3.7555056293111853,1.0,1.7340662250135528,1.0,3.022419040877536,1.0,2.637969387222451,1.0,2.9400946781216475,1.0,4.613911014013803,1.0,2.740529948856855,1.0
