scorer,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,5.19716407727127,1.0,4.897946254522829,1.0,3.0489740270214414,1.0,1.4275564872406723,1.0,3.4434602576765045,1.0,4.14466189346009,1.0,3.749445101783932,1.0,7.626173010835564,1.0,4.718725059905332,1.0,2.7133299330958036,1.0,2.002293213765408,1.0,2.687967918794415,1.0
1,5.167192344294381,1.0,5.277851956006207,1.0,3.3031788947634664,1.0,1.2945399865220029,1.0,3.572253456042211,1.0,3.9059837268516944,1.0,3.3955996575247522,1.0,7.223879090079734,1.0,5.1105033573026555,1.0,1.65874678467144,1.0,2.140417061438879,1.0,3.2163016044045647,1.0
2,5.420797124197155,1.0,2.0080587624982877,1.0,1.9106925545520015,1.0,0.9209919108753571,1.0,3.601943020002167,1.0,4.0288081460043745,1.0,3.512048436346063,1.0,7.348215388393555,1.0,5.337939692265501,1.0,2.977297282691969,1.0,2.555866376246388,1.0,2.6872978524979834,1.0
3,5.112609111313201,1.0,1.6635574860729108,1.0,1.6330412770023073,1.0,0.07802974587495794,1.0,3.719404484988881,1.0,3.729116036736607,1.0,3.342672163608311,1.0,7.050213076116072,1.0,5.240166766318601,1.0,2.974187700562523,1.0,3.335829038872678,1.0,1.112199027929664,1.0
4,5.239768181418402,1.0,4.0106633120726,1.0,0.6665062959916513,1.0,1.8986029736341015,1.0,3.573241487956843,1.0,3.932536608248124,1.0,3.6080081509588027,1.0,7.033955514979075,1.0,5.366656454447261,1.0,3.5233473790655343,1.0,2.54177848499028,1.0,2.642353778463389,1.0
5,5.20620859764495,1.0,3.899974876242754,1.0,0.7063959079222669,1.0,1.9326202742751264,1.0,3.5395605772656715,1.0,4.1912036484021495,1.0,3.635688231746409,1.0,6.856306317295555,1.0,5.468115860783761,1.0,1.7857783957326772,1.0,2.280289307466054,1.0,2.556035763358465,1.0
6,5.354341347989119,1.0,5.41884950280512,1.0,0.7044395383584755,1.0,2.7807055630659914,1.0,3.593631289894817,1.0,3.9135320192431395,1.0,3.541745159646787,1.0,6.792369766769212,1.0,5.542514865231365,1.0,1.8301325771325934,1.0,2.157501824886884,1.0,3.19475307199134,1.0
7,5.5071904506252585,1.0,2.0817306331591894,1.0,0.9161396867432741,1.0,3.607859908772354,1.0,3.557032442524842,1.0,3.7979803240047065,1.0,3.3349560747266938,1.0,7.069904099001734,1.0,5.721754139990096,1.0,1.4849332046129624,1.0,2.752082292771138,1.0,2.632521024159982,1.0
8,5.69831007263312,1.0,3.4550648746740493,1.0,1.0175837241566568,1.0,1.4336707831185809,1.0,3.6210993576084456,1.0,3.8827584262897217,1.0,3.751427475517171,1.0,7.0729821401970865,1.0,4.996527790385319,1.0,0.9482746280434494,1.0,2.8643883976593503,1.0,1.386271117869592,1.0
9,5.653974188420463,1.0,3.5484128124432543,1.0,0.8024459986162358,1.0,1.9779892310690215,1.0,3.796107362351656,1.0,3.538604599111854,1.0,3.3398560473590484,1.0,7.252774703848792,1.0,5.411872900069441,1.0,1.0872181175652227,1.0,3.1031755253536337,1.0,1.0352772955752236,1.0
10,4.934872236839614,1.0,1.285330648962911,1.0,0.9004528958810716,1.0,3.6122109115492944,1.0,3.07329258849979,1.0,3.898140145257666,1.0,2.119326034543167,1.0,6.395726065489533,1.0,1.1858643947341712,1.0,1.8716240525365255,1.0,4.6390479568319325,1.0,2.6801349103541265,1.0
11,4.855147681589497,1.0,1.2050231541211756,1.0,1.5406101476925587,1.0,3.319918313010521,1.0,3.9192790399416926,1.0,3.6813710866226166,1.0,1.912571623484999,1.0,6.03344726298665,1.0,1.0138764478798243,1.0,2.118211519489695,1.0,5.086015311615351,1.0,2.706823720581076,1.0
12,4.486906379639895,1.0,1.1806349732285588,1.0,2.7514592785925287,1.0,3.8239141992008743,1.0,3.182737439024461,1.0,3.436173894013746,1.0,1.4739582605248014,1.0,5.662965389199377,1.0,1.309533116983911,1.0,1.8952295900290936,1.0,0.5523351779390911,1.0,2.8447317405128345,1.0
13,4.546845908603729,1.0,5.768572404431584,1.0,3.3294268678500845,1.0,3.4247041780743674,1.0,3.5668541071216553,1.0,3.2595895750200192,1.0,0.942391883249295,1.0,2.537065455724177,1.0,2.361780612750004,1.0,2.2783842049910317,1.0,3.9436224635840342,1.0,2.116667276679785,1.0
14,4.781351465404654,1.0,4.923072181870862,1.0,2.8833631747423234,1.0,3.50331037932141,1.0,3.248672079907386,1.0,3.377920118048396,1.0,2.2079009262144527,1.0,6.6710440648771785,1.0,2.0892705961637614,1.0,2.0789974458890335,1.0,5.01402135765158,1.0,2.011798904262686,1.0
15,4.697293431937965,1.0,2.0582490517609315,1.0,2.6730627828045117,1.0,1.0478521406365893,1.0,2.622056561159274,1.0,3.473572042977465,1.0,2.0870222474620532,1.0,4.9862704300434215,1.0,1.9172965031045583,1.0,1.8646822642165968,1.0,4.518751929847876,1.0,4.509649068917134,1.0
