iteration: 5000, loss: 0.0006, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004671762580983341
iteration: 5100, loss: 0.0006, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0001, lr: 0.0004658818361349404
iteration: 5200, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004645642766263336
iteration: 5300, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.000463223725091666
iteration: 5400, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004618603561539203
iteration: 5500, loss: 0.0006, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004604743153322488
iteration: 5600, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00045906571904197335
iteration: 5700, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004576347710099071
iteration: 5800, loss: 0.0006, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00045618158765137196
iteration: 5900, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004547063435893506
iteration: 6000, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004532091843429953
iteration: 6100, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00045169031363911927
iteration: 6200, loss: 0.0006, scmap loss: 0.0006, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004501498769968748
iteration: 6300, loss: 0.0006, scmap loss: 0.0006, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004485879617277533
iteration: 6400, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004470049461815506
iteration: 6500, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004454008012544364
iteration: 6600, loss: 0.0005, scmap loss: 0.0005, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004437757597770542
iteration: 6700, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004421300545800477
iteration: 6800, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00044046377297490835
iteration: 6900, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004387772351037711
iteration: 7000, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004370704700704664
iteration: 7100, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00043534382712095976
iteration: 7200, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00043359730625525117
iteration: 7300, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00043183128582313657
iteration: 7400, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00043004582403227687
iteration: 7500, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004282411828171462
iteration: 7600, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00042641753680072725
iteration: 7700, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004245751188136637
iteration: 7800, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00042271404527127743
iteration: 7900, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00042083460721187294
iteration: 8000, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00041893700836226344
iteration: 8100, loss: 0.0005, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004170214233454317
iteration: 8200, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004150880849920213
iteration: 8300, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004131371679250151
iteration: 8400, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00041116890497505665
iteration: 8500, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00040918352897278965
iteration: 8600, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004071812145411968
iteration: 8700, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004051622236147523
iteration: 8800, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00040312675992026925
iteration: 8900, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0004010750853922218
iteration: 9000, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00039900740375742316
iteration: 9100, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00039692388963885605
iteration: 9200, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00039482483407482505
iteration: 9300, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00039271044079214334
iteration: 9400, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00039058091351762414
iteration: 9500, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00038843657239340246
iteration: 9600, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003862775338348001
iteration: 9700, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00038410420529544353
iteration: 9800, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00038191667408682406
iteration: 9900, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003797151439357549
iteration: 10000, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00037750002229586244
iteration: 10100, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003752714255824685
iteration: 10200, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003730296448338777
iteration: 10300, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00037077494198456407
iteration: 10400, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003685075498651713
iteration: 10500, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003662276722025126
iteration: 10600, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.000363935629138723
iteration: 10700, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003616316244006157
iteration: 10800, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003593159490264952
iteration: 10900, loss: 0.0004, scmap loss: 0.0004, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003569888067431748
iteration: 11000, loss: 0.0004, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.000354650488588959
iteration: 11100, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003523012564983219
iteration: 11200, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003499413433019072
iteration: 11300, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00034757101093418896
iteration: 11400, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00034519052132964134
iteration: 11500, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003428001655265689
iteration: 11600, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003404001472517848
iteration: 11700, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00033799081575125456
iteration: 11800, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003355723456479609
iteration: 11900, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003331450279802084
iteration: 12000, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00033070918289013207
iteration: 12100, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00032826498500071466
iteration: 12200, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003258128126617521
iteration: 12300, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00032335284049622715
iteration: 12400, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003208853886462748
iteration: 12500, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003184106608387083
iteration: 12600, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003159290354233235
iteration: 12700, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003134407161269337
iteration: 12800, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00031094596488401294
iteration: 12900, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00030844510183669627
iteration: 13000, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00030593835981562734
iteration: 13100, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.00030342605896294117
iteration: 13200, loss: 0.0003, scmap loss: 0.0002, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0003009084321092814
iteration: 13300, loss: 0.0003, scmap loss: 0.0003, locref loss: 0.0000, limb loss: 0.0000, lr: 0.0002983857411891222
