,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,40000,85,3,6.86,12.35,0.8,6.86,11.14
1,40000,85,1,6.14,13.33,0.8,6.14,11.93
2,40000,85,0,2.84,7.72,0.8,2.84,7.73
3,40000,85,2,6.98,8.8,0.8,6.99,8.8
