scorer,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,6.929107386070347,1.0,3.519835722599095,0.9990000128746033,8.921201780523402,0.9990000128746033,6.406613074892537,1.0,12.208418923884103,0.9990000128746033,17.157572297987887,0.9990000128746033,17.649760504040508,1.0,6.755016494001368,0.9990000128746033,12.499718204222685,0.9980000257492065,11.022948007336542,0.9980000257492065,6.933683803672406,1.0
1,3.0892333373327987,1.0,2.526577903175176,1.0,5.206710109337647,0.9990000128746033,2.0599179998051027,1.0,5.408817887390864,1.0,0.6604600937025307,0.9990000128746033,2.254840260981442,1.0,5.7695973904345434,0.9980000257492065,2.2109689600900504,1.0,2.7609140397572904,0.9990000128746033,2.7071330967219116,1.0
2,5.03199195175959,1.0,4.183494298815553,1.0,2.6676337188963,1.0,2.707298959889943,0.9990000128746033,6.212435760410546,1.0,4.540022771260865,0.9990000128746033,1.1128016299043828,1.0,5.403657215356877,1.0,2.8154186035927595,1.0,2.924172505942897,1.0,4.739476263593589,0.9990000128746033
3,2.3255615730382337,1.0,1.8040324983249965,1.0,2.8795226731023944,1.0,1.955459544414172,1.0,2.972711960844075,1.0,3.45378431986596,1.0,8.899971709490433,1.0,2.7455208753136167,1.0,3.041464860168404,0.9990000128746033,0.8774938086940649,1.0,1.2375666889222974,1.0
4,6.559552268052095,1.0,2.4041480125992165,1.0,1.9333024544905413,1.0,2.7980716459503596,1.0,3.1822580942783363,1.0,4.9175754353688905,1.0,2.2553231453878544,1.0,2.2707717805744485,1.0,1.5177444558807531,1.0,3.856337377091964,0.9990000128746033,3.852910823666539,1.0
5,1.9782881551531701,0.996999979019165,12.317747800534052,1.0,6.603344096181383,1.0,6.245911681810305,0.9990000128746033,6.436504663669888,0.10899999737739563,3.3207640072704394,1.0,8.246852431525989,0.9980000257492065,8.15068721496345,1.0,9.887443515831713,0.9990000128746033,6.209636767839094,0.996999979019165,7.659613337660067,1.0
6,1.0454991638002884,0.9990000128746033,1.3046132545963325,1.0,3.842113594274871,0.9990000128746033,2.490696681189716,1.0,1.4955506004093468,1.0,2.1508975178036223,1.0,2.320991948279987,1.0,1.5127174822722853,1.0,1.7303092140404448,1.0,2.404860104190431,1.0,1.7640949133434773,1.0
7,0.49338793682019083,1.0,1.0537580809062774,1.0,1.9221991956415618,0.9990000128746033,3.008248545439221,1.0,2.0992589884857855,1.0,2.5904369084971965,1.0,3.8153952926449977,1.0,2.1488641998800433,1.0,2.4875186043003406,1.0,5.729049154541966,0.9980000257492065,2.762713050333829,1.0
8,6.466293107881414,1.0,1.1211626859004447,1.0,2.100159296460357,0.9990000128746033,3.726237641559931,1.0,2.846589648668131,1.0,3.9007940300080883,0.9990000128746033,0.568242202974084,1.0,4.551607139707166,1.0,1.9791783150135587,1.0,1.515586726217773,0.996999979019165,3.062609633294784,0.9990000128746033
9,6.592530796737568,1.0,1.6138525021920496,1.0,3.076257994899593,0.9990000128746033,2.8358919440548487,1.0,1.6546065694004115,1.0,0.6159604126462531,1.0,0.2696552616675348,1.0,5.082558470914823,1.0,3.173052225693714,1.0,1.1503659714518646,0.9990000128746033,1.5425102092417091,1.0
10,0.9695941360293272,1.0,2.3436832571076627,1.0,2.5223524822082264,0.9990000128746033,4.8232400249667,1.0,3.310286622536395,1.0,1.099756588222777,1.0,3.8806070300415825,1.0,4.291978599674152,1.0,6.1076748225717745,0.9990000128746033,2.9131219472500165,0.9990000128746033,2.0156156939441634,1.0
11,2.7581190184016866,1.0,3.195989878861462,1.0,3.9339969291611987,1.0,0.4157874069503347,1.0,1.6568953850515893,1.0,1.1230405160521248,1.0,0.8209274430077731,1.0,2.5314947085219535,0.9990000128746033,3.6399881734451407,0.9990000128746033,3.8523369304878146,0.9990000128746033,2.444163155423933,1.0
12,1.5047225618613145,1.0,1.118666707500072,1.0,1.579865642946337,0.9990000128746033,3.813758777627197,1.0,1.915642548711011,1.0,1.6729431631318137,1.0,1.8710753764676844,1.0,3.3010846829873137,0.9990000128746033,4.405919894270131,0.9990000128746033,1.0647569199222735,0.9990000128746033,1.0033144010651944,1.0
13,1.559564051003474,1.0,3.914938955186188,1.0,4.216381293777964,0.9990000128746033,2.725834198997541,1.0,0.8864163790130589,1.0,5.642171170577368,1.0,4.5395081013193055,1.0,3.2084155036924797,1.0,4.64821647121948,1.0,2.8015721862250893,0.9990000128746033,4.053567923405433,0.9990000128746033
14,1.1477651741149277,1.0,1.3586387583971187,1.0,1.7703206085780807,0.9980000257492065,2.3860352677644108,1.0,3.8462418670890086,0.9990000128746033,0.9794849558595948,1.0,3.9881245626395656,1.0,1.7330605511684418,1.0,0.942528230650236,1.0,3.690251031400542,0.996999979019165,1.4341813016827494,1.0
15,4.24030977328005,1.0,7.127342183786189,1.0,1.7259652008176702,0.9990000128746033,1.7853887821312868,1.0,3.3617579721523954,1.0,3.7172737799997506,1.0,5.451180535558784,1.0,4.4055195405447,0.9990000128746033,2.975185166700839,0.9990000128746033,7.3124602215856696,0.9990000128746033,10.607017641742463,1.0
16,3.2002366393110586,1.0,0.6554610164056803,1.0,3.994497237212613,0.9980000257492065,5.262439341703836,1.0,0.8388740168514457,1.0,1.1392087367800872,1.0,1.7288122077587718,1.0,3.5406950045722025,1.0,0.4665650370536139,0.9990000128746033,5.669936764033922,0.9959999918937683,2.770516328342898,1.0
17,15.961443588802545,0.9990000128746033,1.8408179184001427,0.9990000128746033,3.9125599848208155,1.0,5.382852175173552,0.9959999918937683,4.69099449585214,0.9980000257492065,10.277307618212111,1.0,11.167766147159677,1.0,1.6912660365342203,1.0,3.1850102054116896,0.9990000128746033,6.9315447842426625,0.9990000128746033,3.2468676892078747,0.9990000128746033
18,2.6342728661346535,1.0,2.141175706840885,1.0,6.993341603476811,1.0,2.0367648218449768,1.0,2.8933136684782976,0.9990000128746033,2.3488897930942936,1.0,2.4928281164253834,1.0,1.745664634826551,1.0,3.2564799302556557,0.9990000128746033,5.966457125331234,0.996999979019165,3.9967273733805553,1.0
19,4.822893600678656,0.9990000128746033,2.599387284867625,1.0,5.7917334244822625,1.0,1.0182402550438823,1.0,3.48509867414224,0.9990000128746033,3.2117564648403407,1.0,0.8425251869721143,1.0,1.2333386870552985,1.0,7.208780639643115,0.9990000128746033,3.7604891295335707,0.996999979019165,2.214236807059136,0.9980000257492065
20,6.414839021441691,0.9990000128746033,1.4075797569290842,0.9990000128746033,2.9008899185240504,0.9990000128746033,1.8158179097829545,1.0,2.110310102057755,0.9990000128746033,2.2125690296145906,1.0,0.7834912647798188,1.0,2.132973414796166,1.0,1.9855819712941993,0.9990000128746033,7.386678570513453,0.996999979019165,3.3175927316974945,0.996999979019165
