scorer,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1058,185.059,51.093,1.0,184.897,61.188,1.0,185.421,72.344,1.0,186.048,87.854,1.0,185.791,105.071,1.0,184.448,124.259,1.0,183.27,142.288,1.0,180.355,160.811,1.0,178.862,179.409,1.0,178.313,199.538,1.0,173.263,215.63,1.0,173.576,224.403,1.0
1059,185.046,51.08,1.0,184.862,61.127,1.0,185.298,72.409,1.0,186.122,87.479,1.0,186.151,104.569,1.0,184.315,123.873,1.0,183.36,142.212,1.0,180.34,160.909,1.0,179.105,180.57,1.0,178.689,200.254,1.0,173.677,216.646,1.0,174.005,224.15,1.0
1060,185.096,51.319,1.0,184.836,61.388,1.0,185.238,72.64,1.0,186.203,87.587,1.0,186.107,104.821,1.0,186.685,123.098,1.0,183.577,142.145,1.0,180.792,161.135,1.0,179.202,180.349,1.0,179.025,200.108,1.0,173.684,216.499,1.0,173.945,224.179,1.0
1061,184.979,51.139,1.0,184.825,61.148,1.0,185.296,72.401,1.0,186.078,87.575,1.0,186.125,104.578,1.0,186.636,122.858,1.0,183.426,142.139,1.0,180.58,161.127,1.0,179.098,180.476,1.0,178.906,200.074,1.0,173.62,216.706,1.0,173.86,224.026,1.0
1062,185.03,51.105,1.0,184.892,61.105,1.0,185.352,72.354,1.0,185.952,87.581,1.0,186.072,104.555,1.0,184.236,123.709,1.0,183.34,142.141,1.0,180.554,160.857,1.0,178.998,180.209,1.0,178.671,199.803,1.0,173.365,216.266,1.0,173.692,223.68,1.0
1063,185.146,51.174,1.0,184.955,61.165,1.0,185.309,72.319,1.0,186.078,87.448,1.0,186.047,104.311,1.0,184.065,123.417,1.0,182.862,141.947,1.0,180.128,160.371,1.0,178.765,178.989,1.0,178.066,198.893,1.0,172.728,214.938,1.0,172.449,223.517,1.0
1064,185.153,51.121,1.0,184.932,61.063,1.0,185.384,72.297,1.0,185.927,87.536,1.0,185.467,105.026,1.0,183.763,123.864,1.0,182.004,143.012,1.0,179.811,160.886,1.0,178.728,179.134,1.0,178.075,198.963,1.0,172.878,215.128,1.0,172.449,223.06,1.0
1065,185.11,51.064,1.0,184.902,61.039,1.0,185.385,72.227,1.0,185.914,87.522,1.0,185.4,105.043,1.0,183.804,124.047,1.0,182.113,143.051,1.0,179.88,161.121,1.0,178.204,179.292,1.0,177.608,199.216,1.0,172.547,215.289,1.0,172.18,222.943,1.0
1066,185.066,51.037,1.0,184.855,61.051,1.0,185.327,72.248,1.0,185.989,87.687,1.0,185.383,105.153,1.0,183.837,124.281,1.0,182.192,143.216,1.0,180.14,161.488,1.0,178.309,179.978,1.0,177.86,199.929,1.0,172.548,216.147,1.0,172.238,223.149,1.0
1067,185.116,51.047,1.0,184.959,61.006,1.0,185.402,72.171,1.0,186.014,87.443,1.0,185.918,104.273,1.0,184.054,123.558,1.0,182.642,142.427,1.0,180.039,160.864,1.0,178.664,180.195,1.0,178.227,200.103,1.0,173.193,216.31,1.0,173.216,223.984,1.0
1068,184.866,50.973,1.0,184.888,61.197,1.0,185.414,72.499,1.0,185.636,87.993,1.0,185.784,105.218,1.0,186.533,123.598,1.0,183.493,142.32,1.0,180.631,160.726,1.0,178.855,178.802,1.0,178.109,199.196,1.0,173.173,214.932,1.0,173.655,223.992,1.0
1069,184.825,51.021,1.0,184.862,61.193,1.0,185.532,72.425,1.0,185.853,87.974,1.0,185.712,105.511,1.0,186.469,123.799,1.0,183.162,142.769,1.0,180.871,161.154,1.0,179.124,179.507,1.0,178.468,199.906,1.0,173.18,215.449,1.0,173.471,224.269,1.0
1070,184.91,51.012,1.0,184.91,61.129,1.0,185.547,72.452,1.0,185.905,87.755,1.0,185.933,104.985,1.0,186.569,123.23,1.0,183.424,142.318,1.0,180.868,160.926,1.0,179.216,179.186,1.0,178.636,199.681,1.0,173.248,215.545,1.0,173.543,224.35,1.0
1071,185.01,51.067,1.0,185.008,61.097,1.0,185.715,72.405,1.0,186.171,87.673,1.0,186.475,104.177,1.0,186.865,122.444,1.0,183.877,141.471,1.0,180.623,160.474,1.0,179.09,179.046,1.0,178.7,199.387,1.0,173.135,215.496,1.0,173.233,224.278,1.0
1072,185.056,51.028,1.0,185.105,61.017,1.0,185.67,72.337,1.0,186.021,87.598,1.0,186.152,104.409,1.0,186.585,122.569,1.0,183.104,141.98,1.0,180.084,160.898,1.0,178.586,179.5,1.0,177.721,199.549,1.0,172.593,215.406,1.0,172.805,224.105,1.0
1073,185.039,50.888,1.0,185.088,60.916,1.0,185.77,72.14,1.0,186.058,87.37,1.0,186.216,104.198,1.0,184.16,123.269,1.0,183.26,141.61,1.0,180.106,160.123,1.0,178.485,178.747,1.0,177.672,198.8,1.0,172.236,214.67,1.0,171.903,223.541,1.0
1074,185.098,50.945,1.0,185.178,60.992,1.0,185.878,72.129,1.0,186.11,87.411,1.0,186.121,104.432,1.0,184.052,123.483,1.0,182.868,141.9,1.0,179.92,160.362,1.0,178.134,179.039,1.0,177.634,199.145,1.0,172.632,215.288,1.0,172.008,223.77,1.0
1075,185.195,50.869,1.0,185.235,60.825,1.0,185.937,72.019,1.0,186.007,87.201,1.0,185.976,104.309,1.0,184.094,123.595,1.0,182.935,142.156,1.0,179.865,160.98,1.0,177.772,179.492,1.0,177.514,199.763,1.0,172.52,215.962,1.0,172.132,224.08,1.0
1076,185.171,50.954,1.0,185.227,60.916,1.0,185.997,72.077,1.0,186.103,87.413,1.0,185.933,104.566,1.0,184.249,123.765,1.0,182.801,142.45,1.0,180.089,161.046,1.0,178.216,180.368,1.0,177.778,200.39,1.0,172.761,216.448,1.0,172.95,224.814,1.0
1077,185.161,51.042,1.0,185.167,61.019,1.0,185.922,72.181,1.0,186.233,87.462,1.0,186.168,104.415,1.0,186.657,122.603,1.0,183.398,142.238,1.0,180.548,161.211,1.0,179.168,180.557,1.0,178.396,200.467,1.0,173.346,216.62,1.0,173.906,224.691,1.0
1078,185.16,50.979,1.0,185.203,60.996,1.0,185.915,72.13,1.0,186.095,87.374,1.0,186.025,104.734,1.0,186.629,123.063,1.0,183.555,142.344,1.0,180.827,160.794,1.0,179.398,180.0,1.0,178.654,200.101,1.0,173.148,216.005,1.0,173.762,225.112,1.0
1079,185.104,51.017,1.0,185.2,61.032,1.0,186.032,72.118,1.0,186.351,87.234,1.0,186.424,104.507,1.0,186.745,122.665,1.0,183.84,141.949,1.0,180.932,160.872,1.0,179.393,179.678,1.0,178.888,199.846,1.0,173.421,215.65,1.0,173.7,224.831,1.0
1080,184.877,51.336,1.0,184.724,61.461,1.0,185.288,72.933,1.0,186.15,88.403,1.0,186.038,105.324,1.0,186.518,123.659,1.0,183.329,142.317,1.0,180.4,161.063,1.0,178.196,179.639,1.0,177.895,199.553,1.0,173.127,215.915,1.0,172.972,224.536,1.0
1081,184.945,51.397,1.0,184.732,61.606,1.0,185.294,73.083,1.0,186.332,88.487,1.0,186.109,105.299,1.0,184.349,124.136,1.0,182.918,142.108,1.0,179.977,160.554,1.0,177.847,178.681,1.0,177.457,198.339,1.0,172.22,214.297,1.0,172.016,223.52,1.0
1082,184.992,51.334,1.0,184.82,61.524,1.0,185.412,72.89,1.0,186.233,88.378,1.0,185.584,105.842,1.0,184.06,124.666,1.0,182.274,143.004,1.0,179.676,160.964,1.0,177.463,179.342,1.0,177.293,199.296,1.0,172.083,215.271,1.0,171.711,223.494,1.0
1083,184.931,51.376,1.0,184.819,61.544,1.0,185.411,72.841,1.0,186.271,88.324,1.0,185.847,105.595,1.0,184.031,124.252,1.0,182.463,142.73,1.0,179.831,160.635,1.0,177.68,179.043,1.0,177.146,198.818,1.0,172.019,215.109,1.0,171.815,223.498,1.0
1084,184.953,51.377,1.0,184.729,61.571,1.0,185.422,72.918,1.0,185.797,87.021,1.0,185.424,106.463,1.0,183.997,124.993,1.0,182.257,143.631,1.0,180.385,161.744,1.0,178.116,180.175,1.0,177.63,199.828,1.0,172.526,215.65,1.0,172.583,224.029,1.0
1085,185.049,51.403,1.0,184.837,61.637,1.0,185.51,72.935,1.0,185.961,86.957,1.0,185.778,105.85,1.0,184.088,124.629,1.0,182.576,143.239,1.0,180.41,161.534,1.0,178.639,180.438,1.0,178.159,200.099,1.0,173.024,216.176,1.0,173.01,224.551,1.0
1086,185.02,51.432,1.0,184.849,61.578,1.0,185.462,72.866,1.0,186.358,88.367,1.0,185.885,105.539,1.0,184.11,124.423,1.0,182.825,143.005,1.0,180.39,161.519,1.0,179.132,180.68,1.0,178.797,200.179,1.0,174.392,216.434,1.0,174.048,225.482,1.0
1087,184.964,51.32,1.0,184.882,61.45,1.0,185.461,72.711,1.0,186.218,87.952,1.0,186.416,104.76,1.0,184.253,123.829,1.0,183.312,141.993,1.0,180.675,161.004,1.0,179.487,179.657,1.0,179.157,199.395,1.0,173.539,215.605,1.0,174.076,225.252,1.0
1088,184.95,51.464,1.0,184.845,61.64,1.0,185.398,72.899,1.0,186.315,88.076,1.0,186.348,104.962,1.0,186.809,123.276,1.0,183.289,142.114,1.0,180.824,161.198,1.0,179.541,180.339,1.0,179.219,200.197,1.0,173.381,216.045,1.0,173.792,224.635,1.0
1089,184.983,51.431,1.0,184.864,61.582,1.0,185.365,72.855,1.0,186.266,87.872,1.0,186.341,104.786,1.0,184.326,123.702,1.0,183.168,142.034,1.0,180.601,160.986,1.0,179.264,179.947,1.0,178.489,199.748,1.0,173.244,215.355,1.0,172.895,224.274,1.0
1090,185.095,51.475,1.0,184.953,61.554,1.0,185.545,72.832,1.0,185.997,86.914,1.0,185.436,105.881,1.0,183.903,124.709,1.0,181.857,143.544,1.0,179.73,161.401,1.0,178.25,180.087,1.0,177.78,199.629,1.0,172.673,215.681,1.0,172.701,223.585,1.0
1091,185.106,51.471,1.0,184.977,61.587,1.0,185.568,72.834,1.0,186.25,86.962,1.0,185.681,106.01,1.0,184.161,124.63,1.0,182.19,143.398,1.0,179.849,161.655,1.0,178.251,180.077,1.0,177.89,199.734,1.0,172.834,215.975,1.0,172.615,223.844,1.0
1092,184.719,50.987,1.0,184.766,61.176,1.0,185.33,72.506,1.0,185.31,88.348,1.0,184.959,106.042,1.0,183.924,125.106,1.0,182.409,143.195,1.0,180.211,161.383,1.0,178.398,179.663,1.0,177.734,199.348,1.0,172.668,215.319,1.0,172.653,223.542,1.0
1093,184.729,51.179,1.0,184.628,61.244,1.0,185.303,72.592,1.0,185.591,88.051,1.0,185.375,105.208,1.0,184.111,124.548,1.0,182.803,142.761,1.0,180.421,161.195,1.0,179.082,180.09,1.0,178.248,199.657,1.0,173.028,215.71,1.0,173.178,223.701,1.0
1094,184.823,51.048,1.0,184.725,61.075,1.0,185.389,72.462,1.0,185.693,87.794,1.0,185.458,105.097,1.0,184.287,124.532,1.0,183.129,142.558,1.0,180.678,161.103,1.0,179.208,179.865,1.0,178.778,199.662,1.0,173.123,215.919,1.0,173.51,223.494,1.0
1095,184.882,51.053,1.0,184.723,61.123,1.0,185.252,72.553,1.0,185.695,87.945,1.0,185.422,105.202,1.0,184.235,124.408,1.0,183.198,142.474,1.0,180.707,160.959,1.0,179.309,179.52,1.0,179.128,199.436,1.0,173.348,215.682,1.0,173.723,223.513,1.0
1096,184.835,51.059,1.0,184.738,61.1,1.0,185.366,72.501,1.0,185.813,87.743,1.0,185.74,104.748,1.0,186.635,123.062,1.0,183.601,142.062,1.0,180.88,160.877,1.0,179.403,179.33,1.0,178.899,199.253,1.0,173.179,215.505,1.0,173.023,223.829,1.0
1097,184.863,51.163,1.0,184.76,61.15,1.0,185.402,72.628,1.0,185.999,87.793,1.0,185.811,104.813,1.0,184.23,123.954,1.0,183.212,142.151,1.0,180.488,160.77,1.0,179.105,179.393,1.0,178.198,199.091,1.0,172.5,215.044,1.0,172.652,223.213,1.0
1098,184.872,51.108,1.0,184.815,61.073,1.0,185.409,72.432,1.0,185.874,87.636,1.0,185.82,104.525,1.0,183.82,123.8,1.0,182.456,142.308,1.0,179.847,160.968,1.0,178.134,180.035,1.0,177.721,199.563,1.0,172.475,215.62,1.0,172.418,223.573,1.0
1099,184.922,51.191,1.0,184.861,61.16,1.0,185.547,72.487,1.0,186.115,87.585,1.0,185.899,104.374,1.0,184.011,123.655,1.0,182.585,142.244,1.0,179.791,161.038,1.0,177.902,180.032,1.0,177.485,199.604,1.0,172.386,215.452,1.0,172.582,223.143,1.0
1100,184.969,51.232,1.0,184.878,61.127,1.0,185.621,72.404,1.0,186.021,87.271,1.0,186.246,103.697,1.0,183.925,123.072,1.0,182.709,141.93,1.0,180.014,161.085,1.0,178.116,180.267,1.0,177.738,199.914,1.0,172.571,215.793,1.0,172.596,223.223,1.0
1101,184.896,51.235,1.0,184.766,61.219,1.0,185.493,72.545,1.0,186.135,87.667,1.0,185.937,104.509,1.0,184.054,123.779,1.0,182.807,142.417,1.0,180.159,161.258,1.0,178.18,180.563,1.0,177.55,200.263,1.0,172.51,216.003,1.0,172.607,223.642,1.0
1102,184.959,51.212,1.0,184.864,61.133,1.0,185.577,72.446,1.0,186.076,87.537,1.0,186.199,103.933,1.0,184.189,123.281,1.0,182.889,142.047,1.0,180.445,161.149,1.0,178.706,180.537,1.0,178.087,200.155,1.0,172.955,215.838,1.0,173.4,223.591,1.0
1103,184.879,51.222,1.0,184.804,61.191,1.0,185.431,72.545,1.0,186.075,87.706,1.0,186.07,104.288,1.0,184.474,123.509,1.0,183.214,142.066,1.0,180.532,161.275,1.0,178.752,180.554,1.0,178.309,200.241,1.0,173.092,215.91,1.0,173.147,223.56,1.0
1104,184.854,50.946,1.0,184.72,61.08,1.0,185.31,72.297,1.0,185.722,87.698,1.0,185.755,104.841,1.0,186.474,123.277,1.0,183.878,141.931,1.0,180.673,160.74,1.0,178.828,179.321,1.0,178.753,199.699,1.0,173.482,215.935,1.0,173.873,225.062,1.0
1105,184.811,51.023,1.0,184.726,61.17,1.0,185.358,72.379,1.0,185.925,87.963,1.0,185.71,105.141,1.0,184.499,124.279,1.0,183.631,142.07,1.0,180.603,160.838,1.0,178.79,179.04,1.0,178.54,199.529,1.0,173.36,215.822,1.0,173.793,224.92,1.0
1106,184.818,51.078,1.0,184.747,61.253,1.0,185.353,72.524,1.0,186.018,88.154,1.0,185.76,105.277,1.0,184.446,124.325,1.0,183.321,142.212,1.0,180.397,160.753,1.0,178.517,178.818,1.0,178.138,198.902,1.0,173.137,215.222,1.0,172.976,224.427,1.0
1107,184.879,51.126,1.0,184.837,61.211,1.0,185.427,72.388,1.0,186.103,87.79,1.0,185.933,104.668,1.0,184.273,123.861,1.0,183.226,142.119,1.0,180.318,160.929,1.0,178.256,179.678,1.0,177.687,199.646,1.0,172.825,215.782,1.0,172.721,224.3,1.0
1108,184.91,51.14,1.0,184.871,61.223,1.0,185.338,72.368,1.0,186.01,87.593,1.0,185.991,104.375,1.0,184.442,123.54,1.0,183.425,141.909,1.0,180.557,160.809,1.0,178.631,179.301,1.0,178.189,199.388,1.0,172.872,215.327,1.0,172.566,224.245,1.0
1109,184.911,51.053,1.0,184.884,61.062,1.0,185.396,72.231,1.0,185.963,87.466,1.0,186.017,104.173,1.0,184.442,123.273,1.0,183.304,141.99,1.0,180.488,161.042,1.0,178.563,179.521,1.0,178.033,199.417,1.0,172.884,215.187,1.0,172.627,224.108,1.0
1110,184.899,51.129,1.0,184.844,61.163,1.0,185.32,72.356,1.0,185.858,87.572,1.0,185.64,104.8,1.0,184.529,123.908,1.0,183.169,142.636,1.0,180.725,161.665,1.0,178.59,179.986,1.0,178.265,199.648,1.0,172.994,215.696,1.0,172.962,223.966,1.0
1111,184.907,51.172,1.0,184.862,61.221,1.0,185.418,72.415,1.0,186.085,87.682,1.0,186.057,104.571,1.0,186.501,122.631,1.0,183.626,141.932,1.0,180.786,161.05,1.0,178.923,179.392,1.0,178.53,199.27,1.0,172.933,215.554,1.0,172.98,224.251,1.0
1112,184.84,51.202,1.0,184.724,61.234,1.0,185.289,72.517,1.0,186.111,87.793,1.0,185.959,104.63,1.0,184.425,123.602,1.0,183.176,142.249,1.0,180.754,161.312,1.0,178.95,180.035,1.0,178.613,199.848,1.0,173.448,216.06,1.0,173.684,224.157,1.0
1113,184.952,51.421,1.0,184.843,61.463,1.0,185.443,72.694,1.0,186.632,87.884,1.0,186.321,104.632,1.0,186.551,122.872,1.0,183.589,141.963,1.0,180.827,161.128,1.0,178.962,179.801,1.0,178.595,199.723,1.0,173.326,215.965,1.0,173.587,224.104,1.0
1114,184.998,51.27,1.0,184.929,61.318,1.0,185.503,72.466,1.0,186.29,87.633,1.0,186.219,104.445,1.0,184.272,123.429,1.0,183.351,142.017,1.0,180.89,161.308,1.0,179.045,179.696,1.0,178.645,199.476,1.0,173.329,215.71,1.0,173.264,224.242,1.0
1115,184.961,51.196,1.0,184.929,61.241,1.0,185.565,72.407,1.0,186.346,87.592,1.0,186.231,104.407,1.0,184.351,123.308,1.0,183.488,141.828,1.0,180.843,161.04,1.0,179.014,179.172,1.0,178.643,198.97,1.0,173.364,215.202,1.0,173.265,223.821,1.0
1116,184.764,51.16,1.0,184.612,61.46,1.0,185.184,73.11,1.0,185.891,86.972,1.0,185.783,105.758,1.0,184.164,124.682,1.0,182.8,142.332,1.0,180.05,160.85,1.0,178.192,179.061,1.0,177.752,198.964,1.0,172.901,214.942,1.0,173.144,223.809,1.0
1117,184.77,51.207,1.0,184.578,61.558,1.0,185.335,73.275,1.0,185.925,87.104,1.0,185.825,106.046,1.0,184.225,124.66,1.0,182.853,142.412,1.0,180.207,160.699,1.0,178.221,178.573,1.0,177.85,198.414,1.0,172.884,214.446,1.0,172.766,223.294,1.0
1118,184.743,51.19,1.0,184.563,61.487,1.0,185.227,73.202,1.0,185.802,86.937,1.0,185.937,105.91,1.0,184.237,124.576,1.0,183.057,142.384,1.0,180.311,160.705,1.0,178.313,178.846,1.0,177.843,198.719,1.0,172.741,214.944,1.0,172.729,223.534,1.0
1119,184.966,51.518,1.0,184.751,61.852,1.0,185.605,73.453,1.0,186.177,87.034,1.0,186.058,105.879,1.0,184.196,124.554,1.0,183.026,142.349,1.0,180.281,160.715,1.0,178.159,178.995,1.0,177.781,198.969,1.0,172.795,214.863,1.0,172.768,223.538,1.0
1120,184.991,51.498,1.0,184.769,61.826,1.0,185.515,73.338,1.0,186.009,87.046,1.0,185.88,105.755,1.0,184.058,124.589,1.0,182.896,142.435,1.0,180.382,160.88,1.0,178.396,178.939,1.0,177.854,198.966,1.0,172.763,214.727,1.0,172.838,223.332,1.0
1121,184.96,51.622,1.0,184.7,61.975,1.0,185.538,73.609,1.0,185.849,87.22,1.0,185.96,105.89,1.0,183.894,124.636,1.0,182.482,142.884,1.0,180.221,161.273,1.0,178.44,180.003,1.0,177.947,199.751,1.0,173.015,215.553,1.0,173.372,223.112,1.0
1122,185.079,51.618,1.0,184.79,62.024,1.0,185.647,73.519,1.0,185.996,87.27,1.0,186.007,105.906,1.0,184.014,124.589,1.0,182.793,142.804,1.0,180.415,161.209,1.0,178.76,179.785,1.0,178.357,199.824,1.0,173.294,215.787,1.0,174.006,223.665,1.0
1123,185.025,51.571,1.0,184.75,61.959,1.0,185.548,73.541,1.0,185.881,87.204,1.0,185.854,106.113,1.0,184.15,124.586,1.0,182.686,142.885,1.0,180.272,161.196,1.0,178.699,179.522,1.0,178.25,199.592,1.0,173.243,215.511,1.0,173.767,223.644,1.0
1124,185.026,51.51,1.0,184.768,61.882,1.0,185.535,73.446,1.0,186.161,87.081,1.0,186.124,105.736,1.0,184.299,124.39,1.0,183.099,142.465,1.0,180.357,161.125,1.0,178.591,179.789,1.0,178.343,199.877,1.0,173.239,215.71,1.0,173.974,223.965,1.0
1125,185.082,51.531,1.0,184.876,61.783,1.0,185.594,73.312,1.0,186.142,88.339,1.0,186.375,105.078,1.0,183.817,123.797,1.0,182.769,142.166,1.0,179.933,160.697,1.0,178.3,180.456,1.0,177.289,199.986,1.0,172.761,216.017,1.0,173.024,224.13,1.0
1126,185.068,51.446,1.0,184.896,61.675,1.0,185.537,73.198,1.0,186.079,88.219,1.0,186.157,105.153,1.0,183.823,123.891,1.0,182.583,142.366,1.0,179.836,160.977,1.0,178.411,180.413,1.0,177.55,200.18,1.0,172.794,216.185,1.0,173.035,224.176,1.0
1127,185.048,51.497,1.0,184.785,61.737,1.0,185.497,73.305,1.0,186.047,86.945,1.0,185.934,105.755,1.0,184.021,124.39,1.0,182.158,143.061,1.0,179.575,161.402,1.0,177.675,180.671,1.0,177.208,200.446,1.0,172.826,216.232,1.0,173.092,223.883,1.0
1128,184.971,51.249,1.0,184.844,61.469,1.0,184.954,72.828,1.0,185.861,87.764,1.0,185.786,104.67,1.0,184.097,123.964,1.0,182.994,141.742,1.0,179.997,160.223,1.0,178.266,178.328,1.0,177.144,198.379,1.0,172.199,214.568,1.0,171.928,223.37,1.0
1129,185.036,51.304,1.0,184.94,61.582,1.0,185.234,72.919,1.0,186.048,88.11,1.0,185.489,105.433,1.0,184.451,124.344,1.0,182.941,142.403,1.0,179.961,160.725,1.0,178.194,179.229,1.0,177.114,199.464,1.0,172.252,215.634,1.0,172.453,223.778,1.0
1130,185.058,51.484,1.0,184.862,61.789,1.0,185.346,73.052,1.0,186.224,88.229,1.0,185.601,105.605,1.0,184.513,124.552,1.0,182.915,142.895,1.0,180.461,161.419,1.0,178.734,180.269,1.0,177.954,199.819,1.0,172.923,216.275,1.0,173.179,224.021,1.0
1131,185.028,51.325,1.0,184.862,61.604,1.0,185.227,72.901,1.0,186.145,88.062,1.0,185.844,105.206,1.0,186.54,123.689,1.0,183.357,142.365,1.0,180.639,161.198,1.0,178.881,179.677,1.0,178.082,199.451,1.0,172.94,215.976,1.0,173.129,224.21,1.0
1132,185.005,51.228,1.0,184.885,61.511,1.0,185.344,72.798,1.0,186.126,87.911,1.0,185.813,105.144,1.0,186.535,123.577,1.0,183.455,142.332,1.0,180.699,160.932,1.0,178.923,179.944,1.0,178.1,199.596,1.0,173.079,216.007,1.0,173.171,224.202,1.0
1133,184.952,51.267,1.0,184.839,61.587,1.0,185.308,73.049,1.0,186.324,88.342,1.0,185.798,105.497,1.0,184.469,124.312,1.0,183.392,142.21,1.0,180.608,160.896,1.0,178.956,178.891,1.0,178.283,198.958,1.0,173.13,215.347,1.0,173.117,224.06,1.0
1134,185.017,51.294,1.0,184.882,61.627,1.0,185.192,73.067,1.0,186.2,88.229,1.0,185.994,105.054,1.0,184.409,123.748,1.0,183.299,141.918,1.0,180.443,160.479,1.0,178.856,179.14,1.0,177.87,198.827,1.0,172.63,215.283,1.0,172.377,224.044,1.0
1135,185.033,51.272,1.0,184.941,61.599,1.0,185.201,72.874,1.0,186.025,87.949,1.0,185.889,104.78,1.0,184.108,123.67,1.0,183.046,142.031,1.0,180.094,160.751,1.0,178.553,179.662,1.0,177.69,199.168,1.0,172.658,215.519,1.0,172.697,223.681,1.0
1136,185.039,51.265,1.0,184.986,61.51,1.0,185.191,72.786,1.0,186.0,87.766,1.0,186.026,104.426,1.0,184.255,123.315,1.0,183.219,141.753,1.0,180.138,160.389,1.0,178.444,179.058,1.0,177.594,198.837,1.0,172.482,215.224,1.0,172.404,223.543,1.0
1137,185.072,51.133,1.0,184.986,61.285,1.0,185.191,72.579,1.0,185.999,87.514,1.0,185.975,104.272,1.0,184.439,123.279,1.0,183.184,141.994,1.0,179.898,160.897,1.0,178.016,179.621,1.0,177.413,199.162,1.0,172.263,215.731,1.0,172.385,223.671,1.0
1138,185.052,51.154,1.0,184.907,61.288,1.0,185.133,72.605,1.0,185.96,87.527,1.0,185.97,104.207,1.0,184.31,123.329,1.0,183.232,142.051,1.0,180.086,161.143,1.0,178.287,179.967,1.0,177.643,199.421,1.0,172.633,215.922,1.0,172.842,224.179,1.0
1139,185.067,51.223,1.0,184.978,61.38,1.0,185.201,72.617,1.0,186.055,87.506,1.0,186.31,103.839,1.0,186.87,122.215,1.0,183.688,141.396,1.0,180.573,160.574,1.0,179.05,179.373,1.0,178.137,199.139,1.0,172.829,215.461,1.0,172.875,223.977,1.0
1140,184.875,51.129,1.0,184.855,61.287,1.0,185.715,72.442,1.0,185.656,87.868,1.0,185.83,104.931,1.0,184.438,124.232,1.0,183.516,141.643,1.0,180.51,160.643,1.0,179.114,178.627,1.0,178.647,199.077,1.0,173.372,215.368,1.0,173.528,224.006,1.0
1141,184.949,51.22,1.0,184.863,61.351,1.0,185.802,72.497,1.0,185.983,87.812,1.0,186.003,104.869,1.0,184.305,124.126,1.0,183.309,141.794,1.0,180.43,160.434,1.0,179.245,178.34,1.0,178.688,198.795,1.0,173.215,214.972,1.0,172.818,224.278,1.0
