scorer,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000,DLC_effnet_b6_PkPvRnetYu00Jul20shuffle3_40000
7,149.884,245.104,1.0,133.976,350.859,1.0,129.165,385.611,1.0,123.987,425.745,1.0,122.723,480.768,1.0,114.236,542.645,1.0,107.156,602.446,1.0,107.27,670.005,1.0,103.05,738.697,1.0,103.564,811.095,1.0,96.908,881.196,1.0,94.85,954.008,1.0,97.872,1019.486,1.0,92.355,1090.506,1.0,97.232,1142.372,1.0,98.377,1200.73,1.0,99.892,1258.349,1.0,107.12,1316.555,1.0,106.647,1371.747,1.0,108.838,1421.142,1.0,123.529,1532.129,1.0
8,149.976,245.042,1.0,133.762,351.05,1.0,128.989,385.629,1.0,123.974,425.307,1.0,122.568,480.322,1.0,113.987,541.695,1.0,107.275,601.736,1.0,107.302,669.858,1.0,102.912,738.343,1.0,103.679,811.313,1.0,96.89,881.226,1.0,94.85,953.963,1.0,97.847,1019.383,1.0,92.34,1090.383,1.0,97.16,1142.212,1.0,98.328,1200.473,1.0,99.9,1258.384,1.0,107.107,1316.548,1.0,106.646,1371.756,1.0,108.851,1421.179,1.0,123.517,1532.112,1.0
9,150.093,245.809,1.0,133.688,351.643,1.0,129.0,386.011,1.0,124.004,425.928,1.0,122.643,480.852,1.0,114.253,542.142,1.0,107.418,600.78,1.0,107.4,669.973,1.0,103.084,739.386,1.0,104.26,812.701,1.0,97.021,882.727,1.0,95.284,952.709,1.0,97.849,1019.44,1.0,97.22,1090.775,1.0,97.342,1142.572,1.0,98.634,1200.568,1.0,99.951,1258.511,1.0,107.18,1316.44,1.0,106.673,1371.716,1.0,111.404,1420.094,1.0,123.608,1532.226,1.0
10,150.204,246.221,1.0,133.915,351.538,1.0,129.115,385.964,1.0,124.006,425.675,1.0,122.705,481.186,1.0,114.213,543.479,1.0,107.942,600.798,1.0,107.529,670.099,1.0,103.259,739.449,1.0,104.285,812.921,1.0,97.029,883.012,1.0,95.422,953.001,1.0,97.978,1019.463,1.0,97.276,1090.839,1.0,97.358,1142.656,1.0,98.746,1200.475,1.0,99.887,1258.249,1.0,107.172,1316.4,1.0,106.693,1371.653,1.0,111.479,1420.061,1.0,123.617,1532.252,1.0
11,150.248,246.0,1.0,133.83,351.579,1.0,129.242,385.883,1.0,124.053,425.481,1.0,122.791,480.848,1.0,114.289,542.753,1.0,107.371,601.855,1.0,107.476,670.207,1.0,103.348,739.68,1.0,104.429,813.094,1.0,97.191,883.009,1.0,95.401,952.784,1.0,98.116,1019.33,1.0,97.268,1091.015,1.0,97.391,1142.7,1.0,98.845,1200.592,1.0,99.879,1258.318,1.0,107.193,1316.485,1.0,106.675,1371.665,1.0,111.645,1420.147,1.0,123.605,1532.281,1.0
12,150.128,245.798,1.0,134.011,350.86,1.0,129.241,385.362,1.0,124.112,425.052,1.0,122.839,480.327,1.0,114.514,542.395,1.0,107.469,601.378,1.0,107.502,669.883,1.0,103.337,738.794,1.0,104.395,813.056,1.0,97.129,883.435,1.0,95.208,953.858,1.0,98.107,1019.298,1.0,97.246,1090.62,1.0,97.272,1142.323,1.0,98.895,1199.99,1.0,99.841,1258.046,1.0,107.058,1315.978,1.0,105.053,1366.928,1.0,111.611,1419.983,1.0,123.562,1532.246,1.0
13,149.989,245.625,1.0,134.102,350.53,1.0,129.239,385.26,1.0,123.989,425.199,1.0,122.804,480.171,1.0,114.177,541.556,1.0,107.541,600.725,1.0,107.525,669.217,1.0,103.387,738.744,1.0,104.38,813.394,1.0,96.987,883.264,1.0,95.206,953.819,1.0,98.042,1019.022,1.0,97.203,1090.689,1.0,97.253,1142.12,1.0,98.815,1199.219,1.0,99.464,1257.167,1.0,107.057,1315.601,1.0,105.103,1366.709,1.0,111.513,1419.933,1.0,123.555,1532.243,1.0
14,150.238,245.426,1.0,134.24,350.334,1.0,129.267,385.144,1.0,124.062,425.152,1.0,122.769,480.344,1.0,114.179,541.574,1.0,107.65,600.86,1.0,107.474,669.501,1.0,103.41,738.58,1.0,104.486,812.792,1.0,97.091,882.895,1.0,95.513,952.699,1.0,98.067,1018.709,1.0,97.265,1090.696,1.0,97.25,1142.259,1.0,98.837,1199.424,1.0,99.741,1257.627,1.0,107.029,1315.552,1.0,105.127,1366.588,1.0,108.823,1420.989,1.0,123.557,1532.247,1.0
15,150.391,245.632,1.0,138.111,351.807,1.0,129.33,386.208,1.0,124.048,426.867,1.0,122.686,480.999,1.0,114.527,542.176,1.0,107.622,601.086,1.0,108.004,670.484,1.0,103.497,739.207,1.0,104.416,812.754,1.0,96.99,883.236,1.0,95.516,954.035,1.0,98.098,1018.798,1.0,97.263,1090.718,1.0,97.22,1142.289,1.0,98.813,1199.346,1.0,99.744,1257.635,1.0,107.03,1315.566,1.0,105.136,1366.65,1.0,111.595,1419.954,1.0,123.561,1532.248,1.0
16,150.284,245.587,1.0,138.16,351.512,1.0,129.279,385.522,1.0,124.024,425.751,1.0,122.654,480.726,1.0,114.39,541.926,1.0,107.685,600.799,1.0,108.014,670.362,1.0,103.452,738.636,1.0,104.433,812.692,1.0,96.939,882.875,1.0,95.462,954.096,1.0,98.128,1018.846,1.0,97.401,1090.92,1.0,97.216,1142.5,1.0,98.848,1199.345,1.0,99.759,1257.628,1.0,107.034,1315.516,1.0,105.131,1366.582,1.0,108.818,1420.933,1.0,123.563,1532.248,1.0
17,150.249,245.53,1.0,134.201,350.555,1.0,129.256,385.647,1.0,123.908,426.02,1.0,122.711,480.714,1.0,114.243,541.449,1.0,107.908,599.858,1.0,107.586,669.138,1.0,103.544,738.561,1.0,104.333,813.214,1.0,96.986,882.629,1.0,95.49,954.037,1.0,98.076,1018.558,1.0,97.294,1090.39,1.0,97.177,1142.395,1.0,98.821,1199.19,1.0,99.529,1257.09,1.0,107.085,1315.412,1.0,105.19,1366.031,1.0,108.832,1420.845,1.0,123.565,1532.239,1.0
18,150.129,245.763,1.0,134.046,350.865,1.0,129.17,385.612,1.0,123.865,425.775,1.0,122.693,480.767,1.0,114.333,541.755,1.0,107.805,600.163,1.0,107.57,669.806,1.0,103.674,739.222,1.0,104.422,813.151,1.0,96.881,882.447,1.0,95.587,953.0,1.0,98.121,1018.659,1.0,97.289,1090.551,1.0,97.227,1142.443,1.0,98.874,1199.046,1.0,99.598,1257.147,1.0,107.087,1315.408,1.0,105.132,1366.338,1.0,108.822,1420.836,1.0,123.538,1532.211,1.0
19,150.252,245.648,1.0,138.053,351.913,1.0,129.199,386.431,1.0,123.967,426.909,1.0,122.707,481.363,1.0,114.426,542.078,1.0,107.763,600.888,1.0,107.629,669.85,1.0,103.9,739.658,1.0,104.493,813.791,1.0,97.354,883.053,1.0,95.355,952.964,1.0,98.419,1018.938,1.0,97.517,1090.261,1.0,97.409,1142.387,1.0,99.14,1198.891,1.0,99.868,1257.548,1.0,107.123,1315.268,1.0,105.178,1366.025,1.0,108.794,1420.92,1.0,123.532,1532.202,1.0
20,155.619,245.703,1.0,138.04,351.908,1.0,129.214,386.459,1.0,124.069,427.342,1.0,122.737,481.725,1.0,114.679,543.213,1.0,107.393,602.026,1.0,107.62,670.194,1.0,103.975,740.036,1.0,104.525,813.966,1.0,97.315,882.937,1.0,95.433,954.056,1.0,98.413,1018.866,1.0,97.532,1090.266,1.0,97.429,1142.334,1.0,99.153,1198.554,1.0,100.283,1256.434,1.0,107.132,1315.401,1.0,105.161,1366.358,1.0,108.814,1420.882,1.0,123.511,1532.172,1.0
21,150.369,245.413,1.0,138.066,351.888,1.0,129.385,386.033,1.0,124.146,426.085,1.0,122.8,481.159,1.0,114.606,543.228,1.0,107.259,602.562,1.0,107.726,669.7,1.0,103.769,739.406,1.0,104.212,814.055,1.0,97.752,883.683,1.0,95.797,953.104,1.0,98.44,1018.773,1.0,97.549,1090.228,1.0,97.457,1142.31,1.0,99.346,1198.5,1.0,100.256,1256.563,1.0,107.1,1315.492,1.0,105.235,1366.039,1.0,108.818,1420.769,1.0,123.513,1532.143,1.0
22,150.161,245.521,1.0,138.085,351.532,1.0,129.342,385.768,1.0,124.159,425.735,1.0,122.894,480.942,1.0,114.54,542.907,1.0,107.396,601.771,1.0,107.741,669.355,1.0,103.966,739.826,1.0,104.493,813.623,1.0,97.83,883.416,1.0,95.77,953.119,1.0,98.442,1018.806,1.0,97.558,1090.338,1.0,97.461,1142.425,1.0,99.215,1198.529,1.0,100.171,1256.702,1.0,107.124,1315.651,1.0,105.195,1366.449,1.0,111.412,1419.693,1.0,123.522,1532.23,1.0
23,150.145,245.54,1.0,138.125,351.457,1.0,129.45,385.442,1.0,124.214,425.417,1.0,122.948,480.591,1.0,114.392,541.721,1.0,107.891,600.973,1.0,107.675,668.732,1.0,104.049,739.607,1.0,104.456,813.551,1.0,97.73,883.755,1.0,95.836,953.242,1.0,98.485,1018.955,1.0,97.547,1090.316,1.0,97.445,1142.619,1.0,99.245,1198.916,1.0,100.054,1256.724,1.0,107.178,1315.582,1.0,105.216,1366.307,1.0,111.482,1420.028,1.0,123.534,1532.268,1.0
24,150.157,245.453,1.0,138.08,351.296,1.0,129.322,385.305,1.0,124.248,425.109,1.0,122.958,480.432,1.0,114.405,541.607,1.0,107.936,600.746,1.0,107.63,668.461,1.0,104.149,739.54,1.0,104.457,813.584,1.0,97.907,883.096,1.0,95.614,952.747,1.0,98.463,1018.918,1.0,97.583,1090.27,1.0,97.462,1142.551,1.0,99.085,1198.325,1.0,100.065,1256.522,1.0,107.206,1315.582,1.0,105.197,1366.121,1.0,108.838,1420.793,1.0,123.535,1532.239,1.0
25,150.138,245.625,1.0,138.017,351.749,1.0,129.311,386.216,1.0,124.192,426.238,1.0,122.765,481.249,1.0,114.534,542.089,1.0,108.008,601.073,1.0,107.626,668.455,1.0,106.283,738.3,1.0,104.107,814.644,1.0,97.847,883.293,1.0,95.666,951.891,1.0,98.368,1018.576,1.0,97.6,1090.332,1.0,97.437,1142.644,1.0,99.061,1198.416,1.0,100.05,1256.536,1.0,107.229,1315.66,1.0,105.248,1366.445,1.0,111.402,1419.881,1.0,123.531,1532.241,1.0
