scorer,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
879,182.763,51.93,1.0,181.15,64.514,1.0,183.104,77.675,1.0,182.946,91.121,1.0,182.513,108.156,1.0,182.599,125.441,1.0,181.518,144.022,1.0,180.573,159.328,1.0,181.471,178.892,1.0,181.038,193.289,1.0,178.98,214.011,1.0,179.099,225.494,1.0
880,182.846,51.837,1.0,181.179,64.437,1.0,183.265,77.505,1.0,183.138,90.968,1.0,182.442,107.912,1.0,182.693,125.258,1.0,181.691,143.949,1.0,180.728,159.232,1.0,181.675,178.981,1.0,181.122,193.169,1.0,179.02,214.071,1.0,178.965,225.51,1.0
881,182.894,51.824,1.0,181.207,64.456,1.0,183.159,77.565,1.0,183.028,91.037,1.0,182.457,108.02,1.0,182.707,125.31,1.0,181.765,144.124,1.0,180.774,159.355,1.0,181.522,179.125,1.0,181.315,193.15,1.0,179.461,213.885,1.0,179.992,225.409,1.0
882,182.875,51.804,1.0,181.057,64.36,1.0,183.362,77.457,1.0,183.615,90.865,1.0,183.227,108.114,1.0,183.325,125.668,1.0,182.371,144.624,1.0,180.836,159.035,1.0,181.479,179.121,1.0,181.022,192.95,1.0,179.374,213.617,1.0,179.001,225.178,1.0
883,182.923,51.859,1.0,181.055,64.385,1.0,183.44,77.392,1.0,183.651,90.804,1.0,183.087,107.847,1.0,183.408,125.52,1.0,182.266,144.267,1.0,180.868,159.147,1.0,181.417,179.241,1.0,181.13,193.081,1.0,179.272,213.751,1.0,179.19,225.435,1.0
884,182.906,51.877,1.0,181.064,64.407,1.0,183.385,77.432,1.0,183.464,90.892,1.0,182.997,107.854,1.0,183.128,125.708,1.0,181.994,144.256,1.0,180.846,159.053,1.0,181.573,178.966,1.0,181.121,193.035,1.0,179.25,213.751,1.0,179.246,225.357,1.0
885,182.864,51.899,1.0,181.054,64.479,1.0,183.384,77.46,1.0,183.462,90.929,1.0,182.946,107.799,1.0,182.986,125.442,1.0,181.953,144.15,1.0,180.667,159.122,1.0,181.496,178.759,1.0,181.19,192.838,1.0,179.188,213.694,1.0,179.185,225.094,1.0
886,182.863,51.886,1.0,181.026,64.439,1.0,183.333,77.375,1.0,183.415,90.847,1.0,182.734,107.699,1.0,183.1,125.283,1.0,182.128,143.85,1.0,180.673,158.992,1.0,181.443,178.697,1.0,180.941,192.852,1.0,179.124,213.813,1.0,179.268,225.445,1.0
887,182.888,51.899,1.0,180.966,64.418,1.0,183.342,77.292,1.0,183.357,90.762,1.0,182.628,107.59,1.0,183.082,125.184,1.0,182.105,143.856,1.0,180.635,159.094,1.0,181.35,178.774,1.0,180.967,192.927,1.0,179.014,214.099,1.0,179.197,225.48,1.0
888,182.644,51.98,1.0,180.924,64.443,1.0,183.21,77.464,1.0,183.481,90.844,1.0,182.834,107.894,1.0,182.979,125.586,1.0,182.278,144.646,1.0,180.555,159.776,1.0,180.519,179.684,1.0,180.871,193.647,1.0,179.203,214.504,1.0,179.277,225.754,1.0
889,182.755,51.931,1.0,180.836,64.38,1.0,183.159,77.4,1.0,183.309,90.915,1.0,182.641,108.056,1.0,182.602,125.245,1.0,181.813,144.259,1.0,180.371,159.711,1.0,180.592,179.685,1.0,181.209,193.22,1.0,179.398,213.78,1.0,179.791,225.541,1.0
890,182.66,51.888,1.0,180.82,64.362,1.0,183.028,77.428,1.0,183.343,90.948,1.0,182.969,108.072,1.0,182.821,125.375,1.0,181.893,144.197,1.0,180.411,159.55,1.0,180.337,179.431,1.0,181.059,192.777,1.0,179.598,213.692,1.0,179.884,225.156,1.0
891,182.734,51.91,1.0,180.875,64.296,1.0,183.278,77.284,1.0,183.585,90.851,1.0,183.288,107.805,1.0,183.278,125.381,1.0,182.195,144.146,1.0,180.484,158.917,1.0,180.693,178.835,1.0,181.118,192.163,1.0,179.874,213.475,1.0,179.405,224.609,1.0
892,182.721,51.785,1.0,180.84,64.315,1.0,183.118,77.238,1.0,183.124,90.852,1.0,182.557,107.727,1.0,182.665,124.939,1.0,181.758,143.737,1.0,180.249,158.775,1.0,180.797,178.264,1.0,181.026,192.059,1.0,179.732,213.366,1.0,179.265,224.694,1.0
893,182.602,51.937,1.0,180.892,64.44,1.0,183.109,77.468,1.0,182.989,91.152,1.0,182.489,108.059,1.0,182.381,125.254,1.0,181.191,143.919,1.0,180.591,158.977,1.0,181.228,178.655,1.0,181.167,192.311,1.0,179.608,213.436,1.0,179.446,224.563,1.0
894,182.635,51.888,1.0,180.884,64.375,1.0,183.13,77.355,1.0,183.002,91.081,1.0,182.419,108.009,1.0,182.288,125.217,1.0,181.257,143.998,1.0,180.533,158.899,1.0,181.369,178.464,1.0,181.166,192.368,1.0,179.529,213.499,1.0,179.539,224.783,1.0
895,182.665,51.886,1.0,180.934,64.45,1.0,183.174,77.259,1.0,183.08,90.909,1.0,182.483,107.794,1.0,182.444,125.189,1.0,181.368,143.963,1.0,180.562,158.93,1.0,181.261,178.369,1.0,181.121,192.404,1.0,179.552,213.57,1.0,179.635,224.815,1.0
896,182.678,51.874,1.0,180.916,64.434,1.0,183.12,77.313,1.0,183.071,91.038,1.0,182.414,107.862,1.0,182.327,125.198,1.0,181.207,144.006,1.0,180.608,159.038,1.0,181.333,178.624,1.0,181.219,192.449,1.0,179.728,213.589,1.0,180.184,224.92,1.0
897,182.79,51.676,1.0,180.895,64.175,1.0,183.41,77.155,1.0,183.624,90.781,1.0,183.234,107.667,1.0,183.457,125.402,1.0,182.118,144.111,1.0,180.878,159.196,1.0,181.119,178.824,1.0,180.857,192.705,1.0,179.271,213.564,1.0,179.35,224.819,1.0
898,182.757,51.694,1.0,180.889,64.196,1.0,183.076,77.321,1.0,182.744,91.064,1.0,182.1,108.193,1.0,181.877,125.538,1.0,181.188,144.446,1.0,180.61,159.524,1.0,181.325,179.625,1.0,181.071,193.24,1.0,179.187,214.001,1.0,179.497,225.201,1.0
899,182.817,51.649,1.0,180.877,64.147,1.0,183.116,77.25,1.0,182.869,90.954,1.0,182.154,107.899,1.0,182.141,125.421,1.0,180.999,144.008,1.0,180.314,159.218,1.0,181.194,179.063,1.0,181.44,192.4,1.0,180.256,213.494,1.0,180.797,224.553,1.0
900,182.805,51.989,1.0,180.973,64.3,1.0,183.463,77.37,1.0,183.695,90.84,1.0,182.779,107.776,1.0,183.169,125.481,1.0,182.585,144.174,1.0,180.926,158.77,1.0,181.538,178.521,1.0,181.208,192.205,1.0,179.661,213.423,1.0,179.805,224.84,1.0
901,182.782,52.0,1.0,181.052,64.472,1.0,183.399,77.471,1.0,183.667,90.92,1.0,182.8,107.766,1.0,183.239,125.497,1.0,182.671,144.162,1.0,180.867,158.916,1.0,181.399,178.557,1.0,181.043,192.336,1.0,179.249,213.701,1.0,179.255,225.014,1.0
902,182.786,52.003,1.0,181.081,64.504,1.0,183.352,77.42,1.0,183.206,91.201,1.0,182.188,107.969,1.0,182.156,125.172,1.0,181.821,144.49,1.0,180.46,159.514,1.0,181.085,179.131,1.0,180.656,192.505,1.0,178.976,213.769,1.0,179.152,224.932,1.0
903,182.802,51.935,1.0,181.064,64.476,1.0,183.342,77.374,1.0,183.372,91.002,1.0,182.311,107.938,1.0,182.593,125.28,1.0,181.85,144.344,1.0,180.536,159.38,1.0,180.862,179.297,1.0,180.463,192.825,1.0,178.712,213.968,1.0,179.122,225.076,1.0
904,182.82,51.868,1.0,181.05,64.371,1.0,183.476,77.21,1.0,183.527,90.836,1.0,182.611,107.817,1.0,182.919,125.313,1.0,181.849,144.164,1.0,180.583,159.458,1.0,180.842,179.318,1.0,180.479,193.12,1.0,178.689,214.402,1.0,178.766,225.499,1.0
905,182.748,51.933,1.0,181.084,64.484,1.0,183.379,77.428,1.0,183.479,91.122,1.0,182.633,108.142,1.0,182.737,125.49,1.0,181.754,144.369,1.0,180.461,159.68,1.0,180.848,179.661,1.0,180.999,192.893,1.0,179.511,213.762,1.0,180.026,224.928,1.0
906,182.827,51.831,1.0,181.043,64.411,1.0,183.381,77.388,1.0,183.66,91.064,1.0,183.138,108.031,1.0,183.337,125.889,1.0,182.022,144.202,1.0,180.686,159.173,1.0,180.947,179.182,1.0,181.188,192.746,1.0,179.6,213.872,1.0,179.973,224.754,1.0
907,182.735,51.886,1.0,180.97,64.402,1.0,183.262,77.459,1.0,183.71,90.925,1.0,183.18,108.026,1.0,183.437,125.762,1.0,182.227,144.08,1.0,180.834,159.074,1.0,181.202,178.725,1.0,181.517,192.143,1.0,179.832,213.719,1.0,179.739,224.69,1.0
908,182.742,51.968,1.0,180.892,64.42,1.0,183.321,77.316,1.0,183.786,90.879,1.0,183.108,107.855,1.0,183.401,125.547,1.0,182.297,144.007,1.0,180.818,159.016,1.0,181.236,178.758,1.0,181.251,192.113,1.0,179.899,213.59,1.0,179.791,224.791,1.0
909,182.758,51.972,1.0,181.001,64.503,1.0,183.316,77.448,1.0,183.428,91.109,1.0,182.767,108.039,1.0,182.736,125.426,1.0,181.717,143.901,1.0,180.305,159.169,1.0,181.014,178.625,1.0,181.255,192.228,1.0,179.631,213.621,1.0,179.903,224.863,1.0
910,182.783,51.926,1.0,180.992,64.491,1.0,183.258,77.426,1.0,183.28,91.096,1.0,182.411,107.954,1.0,182.52,125.21,1.0,181.898,144.13,1.0,180.267,159.329,1.0,180.848,178.774,1.0,180.775,192.637,1.0,179.007,214.03,1.0,178.876,225.22,1.0
911,182.835,51.944,1.0,180.952,64.418,1.0,183.331,77.199,1.0,183.477,90.907,1.0,182.643,107.623,1.0,182.919,125.215,1.0,181.891,143.884,1.0,180.474,159.972,1.0,181.053,178.092,1.0,180.851,192.447,1.0,179.227,213.922,1.0,179.063,224.883,1.0
912,182.73,52.036,1.0,181.047,64.473,1.0,183.16,77.626,1.0,183.502,90.978,1.0,182.789,108.044,1.0,182.817,125.549,1.0,181.493,143.916,1.0,180.484,158.887,1.0,181.076,178.294,1.0,180.844,192.791,1.0,179.139,213.885,1.0,179.405,225.253,1.0
913,182.691,51.954,1.0,180.999,64.419,1.0,183.155,77.566,1.0,183.389,90.849,1.0,183.007,107.985,1.0,183.237,125.501,1.0,182.086,143.978,1.0,180.832,159.164,1.0,180.978,178.732,1.0,180.882,193.061,1.0,179.115,214.193,1.0,179.396,225.479,1.0
914,182.688,51.949,1.0,181.021,64.509,1.0,183.08,77.653,1.0,183.18,91.159,1.0,182.572,108.41,1.0,182.49,125.663,1.0,181.706,144.568,1.0,180.749,159.754,1.0,180.925,179.478,1.0,180.873,193.672,1.0,178.686,214.336,1.0,179.373,225.689,1.0
915,182.706,51.876,1.0,180.966,64.394,1.0,183.086,77.516,1.0,183.1,91.095,1.0,182.398,108.19,1.0,182.366,125.514,1.0,181.588,144.213,1.0,180.733,159.215,1.0,181.246,178.827,1.0,181.268,192.495,1.0,180.187,213.786,1.0,180.195,224.935,1.0
916,182.756,51.838,1.0,181.03,64.394,1.0,183.152,77.495,1.0,183.346,90.901,1.0,182.925,108.089,1.0,183.099,125.32,1.0,182.071,144.19,1.0,180.684,158.98,1.0,181.188,178.575,1.0,181.203,192.217,1.0,179.908,213.461,1.0,179.871,224.827,1.0
917,182.727,51.909,1.0,181.025,64.512,1.0,183.152,77.713,1.0,183.395,91.191,1.0,183.054,108.284,1.0,183.183,125.504,1.0,182.309,144.248,1.0,180.797,159.342,1.0,181.0,178.944,1.0,180.67,192.852,1.0,179.007,214.198,1.0,178.974,225.551,1.0
918,182.753,51.92,1.0,181.176,64.485,1.0,183.344,77.5,1.0,182.877,91.239,1.0,182.395,108.175,1.0,182.259,125.263,1.0,181.847,144.447,1.0,180.447,159.45,1.0,180.92,178.676,1.0,180.435,192.745,1.0,178.88,214.173,1.0,179.071,225.644,1.0
919,182.669,51.933,1.0,181.116,64.48,1.0,183.22,77.599,1.0,183.021,91.205,1.0,182.24,107.892,1.0,182.009,124.835,1.0,180.933,143.562,1.0,179.992,158.766,1.0,180.894,178.233,1.0,181.272,192.79,1.0,179.194,213.89,1.0,179.53,225.17,1.0
920,182.634,51.991,1.0,181.09,64.463,1.0,183.257,77.648,1.0,183.658,91.11,1.0,183.175,108.217,1.0,183.279,125.439,1.0,182.266,143.935,1.0,180.705,158.837,1.0,181.408,178.493,1.0,180.602,192.614,1.0,178.598,214.024,1.0,178.593,225.636,1.0
921,182.754,52.033,1.0,181.322,64.563,1.0,183.428,77.706,1.0,184.031,91.089,1.0,183.749,108.356,1.0,184.281,126.233,1.0,182.943,144.188,1.0,181.183,159.124,1.0,180.572,178.505,1.0,178.417,193.302,1.0,175.23,214.991,1.0,175.573,226.847,1.0
922,182.692,51.891,1.0,181.188,64.483,1.0,183.243,77.769,1.0,183.85,91.199,1.0,183.703,108.507,1.0,183.408,126.163,1.0,181.503,144.323,1.0,179.397,158.835,1.0,177.734,176.956,1.0,175.2,193.02,1.0,174.969,214.653,1.0,172.261,225.975,1.0
923,182.782,51.903,1.0,181.215,64.257,1.0,182.868,77.283,1.0,182.279,90.863,1.0,181.062,107.815,1.0,181.202,125.646,1.0,178.178,144.105,1.0,176.901,158.899,1.0,174.903,177.012,1.0,176.233,192.932,1.0,173.396,214.541,1.0,171.527,226.212,1.0
924,182.753,51.801,1.0,181.175,64.147,1.0,183.209,77.26,1.0,182.483,90.899,1.0,180.778,107.834,1.0,180.965,125.604,1.0,177.84,143.633,1.0,176.549,159.102,1.0,174.446,177.183,1.0,175.46,192.016,1.0,173.291,213.714,1.0,171.233,226.179,1.0
925,182.749,51.842,1.0,181.112,64.155,1.0,183.214,77.253,1.0,182.799,90.828,1.0,181.288,107.921,1.0,181.327,125.564,1.0,179.244,144.251,1.0,177.606,159.074,1.0,175.722,177.98,1.0,174.218,193.475,1.0,175.298,214.613,1.0,173.484,226.369,1.0
926,182.777,52.054,1.0,181.187,64.459,1.0,183.505,77.453,1.0,183.614,91.108,1.0,182.514,108.146,1.0,182.707,125.833,1.0,181.627,144.795,1.0,179.388,160.193,1.0,179.029,179.432,1.0,178.443,193.661,1.0,176.392,214.207,1.0,177.873,226.009,1.0
927,182.783,51.938,1.0,181.152,64.345,1.0,183.65,77.541,1.0,184.208,91.152,1.0,183.958,108.253,1.0,184.234,125.765,1.0,183.521,144.503,1.0,181.869,159.416,1.0,183.115,179.043,1.0,183.039,193.148,1.0,181.501,214.243,1.0,181.306,224.758,1.0
928,182.795,52.092,1.0,181.078,64.542,1.0,183.65,77.793,1.0,184.555,91.117,1.0,184.858,108.634,1.0,184.997,125.776,1.0,184.079,144.23,1.0,182.362,159.639,1.0,184.795,179.101,1.0,184.191,192.97,1.0,182.765,214.161,1.0,182.251,224.85,1.0
929,182.887,51.919,1.0,181.164,64.415,1.0,183.605,77.58,1.0,184.126,91.105,1.0,184.259,108.355,1.0,184.313,125.213,1.0,183.661,143.848,1.0,181.583,159.247,1.0,183.177,178.834,1.0,182.72,192.456,1.0,181.175,214.04,1.0,180.904,225.068,1.0
930,182.684,52.06,1.0,180.965,64.613,1.0,183.02,77.74,1.0,182.956,91.502,1.0,182.726,108.348,1.0,182.737,125.486,1.0,181.879,144.121,1.0,179.915,159.548,1.0,179.503,179.011,1.0,179.227,193.122,1.0,177.127,214.081,1.0,177.368,226.387,1.0
931,182.731,51.977,1.0,180.969,64.403,1.0,183.088,77.42,1.0,182.976,90.899,1.0,182.15,107.876,1.0,181.701,125.424,1.0,179.856,144.07,1.0,178.605,159.278,1.0,177.238,178.285,1.0,175.732,193.214,1.0,175.972,214.438,1.0,174.337,226.625,1.0
932,182.752,52.056,1.0,180.945,64.408,1.0,183.006,77.401,1.0,182.762,90.819,1.0,181.718,107.696,1.0,181.244,125.195,1.0,178.435,143.847,1.0,177.448,158.961,1.0,175.837,177.671,1.0,177.172,192.954,1.0,174.236,214.519,1.0,172.057,226.323,1.0
933,182.747,52.054,1.0,180.991,64.299,1.0,183.036,77.266,1.0,182.653,90.644,1.0,181.564,107.485,1.0,181.342,125.128,1.0,179.091,143.867,1.0,177.96,158.982,1.0,176.061,177.943,1.0,174.8,193.278,1.0,175.262,214.122,1.0,173.554,226.411,1.0
934,182.713,51.998,1.0,181.012,64.389,1.0,183.15,77.311,1.0,183.016,90.938,1.0,182.182,108.04,1.0,182.153,125.731,1.0,180.588,144.709,1.0,178.958,159.452,1.0,177.565,178.149,1.0,176.758,193.145,1.0,174.94,214.499,1.0,175.478,227.08,1.0
935,182.753,52.041,1.0,181.018,64.514,1.0,183.141,77.569,1.0,183.377,91.041,1.0,182.995,108.194,1.0,183.001,126.013,1.0,182.042,144.483,1.0,180.87,159.313,1.0,180.924,178.513,1.0,180.483,192.706,1.0,179.355,214.085,1.0,179.344,225.041,1.0
936,183.204,51.596,1.0,181.335,64.36,1.0,183.774,77.424,1.0,184.167,91.027,1.0,184.168,108.246,1.0,184.724,125.85,1.0,184.074,144.059,1.0,181.94,159.041,1.0,183.418,178.48,1.0,182.741,192.113,1.0,181.552,213.932,1.0,181.104,224.748,1.0
937,183.107,51.607,1.0,181.279,64.39,1.0,183.68,77.403,1.0,184.127,90.98,1.0,184.152,108.093,1.0,184.719,125.756,1.0,184.105,144.051,1.0,181.777,158.981,1.0,183.361,178.399,1.0,182.641,191.93,1.0,180.897,214.066,1.0,180.101,224.635,1.0
938,182.981,51.627,1.0,181.035,64.345,1.0,183.351,77.319,1.0,183.239,90.83,1.0,182.802,108.012,1.0,182.891,125.344,1.0,182.165,144.401,1.0,180.809,159.12,1.0,181.273,178.887,1.0,180.078,192.373,1.0,178.56,213.822,1.0,178.621,225.224,1.0
939,183.013,51.786,1.0,181.235,64.584,1.0,183.26,77.67,1.0,182.712,91.475,1.0,182.213,108.35,1.0,181.655,125.172,1.0,180.725,144.451,1.0,179.308,159.698,1.0,178.885,178.6,1.0,177.214,193.376,1.0,174.791,214.483,1.0,175.119,226.396,1.0
940,182.953,51.665,1.0,181.136,64.387,1.0,183.152,77.166,1.0,182.448,90.944,1.0,181.417,107.83,1.0,181.448,125.121,1.0,179.609,144.242,1.0,178.428,159.364,1.0,176.812,178.375,1.0,175.198,193.066,1.0,175.627,214.159,1.0,173.753,225.705,1.0
941,182.979,51.753,1.0,181.108,64.339,1.0,183.164,77.086,1.0,182.475,90.937,1.0,181.168,107.703,1.0,180.808,124.905,1.0,178.453,144.093,1.0,178.174,159.01,1.0,176.617,178.081,1.0,175.123,192.591,1.0,175.873,213.825,1.0,174.193,225.673,1.0
942,182.949,51.654,1.0,181.157,64.439,1.0,183.473,77.188,1.0,183.27,90.805,1.0,182.186,107.898,1.0,182.26,125.397,1.0,180.274,144.54,1.0,179.06,159.527,1.0,178.048,178.362,1.0,176.805,193.474,1.0,174.822,214.467,1.0,175.688,226.866,1.0
943,182.902,51.671,1.0,181.084,64.372,1.0,183.466,77.264,1.0,183.431,90.814,1.0,182.711,108.05,1.0,182.847,125.599,1.0,182.067,144.713,1.0,179.976,159.466,1.0,180.058,178.416,1.0,179.062,192.671,1.0,177.221,214.176,1.0,177.701,225.594,1.0
944,182.943,51.812,1.0,181.142,64.415,1.0,183.573,77.396,1.0,183.952,90.93,1.0,183.761,108.049,1.0,184.257,125.643,1.0,183.035,144.471,1.0,181.078,159.442,1.0,181.458,178.8,1.0,180.864,192.439,1.0,179.313,213.975,1.0,179.35,224.883,1.0
945,183.008,51.644,1.0,181.213,64.335,1.0,183.709,77.261,1.0,183.932,90.935,1.0,183.817,107.977,1.0,184.186,125.648,1.0,182.9,144.433,1.0,181.298,159.539,1.0,182.273,178.992,1.0,181.988,192.618,1.0,180.13,213.907,1.0,179.77,224.904,1.0
946,182.919,51.656,1.0,181.083,64.331,1.0,183.38,77.208,1.0,183.084,90.803,1.0,182.214,107.722,1.0,182.765,125.408,1.0,181.291,144.586,1.0,179.75,159.901,1.0,179.375,179.005,1.0,178.299,193.611,1.0,175.643,214.489,1.0,176.1,226.564,1.0
947,182.924,51.746,1.0,181.076,64.358,1.0,183.32,77.424,1.0,183.119,90.867,1.0,182.228,108.12,1.0,182.247,125.818,1.0,180.654,144.805,1.0,178.809,159.488,1.0,177.786,178.325,1.0,176.654,193.118,1.0,174.524,214.668,1.0,175.513,226.739,1.0
948,183.088,51.614,1.0,181.222,64.266,1.0,183.334,77.112,1.0,183.074,90.765,1.0,181.931,107.571,1.0,182.294,125.04,1.0,180.55,144.041,1.0,178.976,159.157,1.0,177.374,178.506,1.0,176.316,193.355,1.0,176.632,214.347,1.0,174.892,226.71,1.0
949,183.073,51.663,1.0,181.158,64.32,1.0,183.404,77.207,1.0,183.385,90.571,1.0,182.072,107.532,1.0,182.777,124.87,1.0,181.37,144.341,1.0,179.141,159.199,1.0,178.146,178.281,1.0,176.773,193.362,1.0,174.246,214.685,1.0,175.441,226.781,1.0
950,183.015,51.684,1.0,181.106,64.283,1.0,183.38,77.11,1.0,183.284,90.757,1.0,182.053,107.773,1.0,182.534,125.1,1.0,181.561,144.877,1.0,179.512,159.93,1.0,179.316,179.331,1.0,177.982,193.437,1.0,175.463,214.477,1.0,176.207,226.712,1.0
951,182.942,51.823,1.0,181.072,64.368,1.0,183.48,77.355,1.0,183.956,90.798,1.0,183.237,107.935,1.0,183.32,125.477,1.0,182.329,144.411,1.0,180.652,159.339,1.0,180.938,178.711,1.0,179.818,192.689,1.0,177.267,214.258,1.0,177.532,225.79,1.0
952,182.896,51.777,1.0,181.134,64.401,1.0,183.374,77.422,1.0,183.672,91.012,1.0,183.198,108.179,1.0,183.318,125.606,1.0,182.749,144.706,1.0,181.135,159.152,1.0,181.709,178.598,1.0,180.856,192.224,1.0,178.807,214.289,1.0,178.526,225.155,1.0
953,182.91,51.821,1.0,181.233,64.545,1.0,183.387,77.589,1.0,183.549,91.199,1.0,183.013,108.374,1.0,182.865,125.269,1.0,181.841,144.333,1.0,180.644,159.446,1.0,181.33,178.813,1.0,180.623,192.523,1.0,178.621,214.367,1.0,178.722,224.965,1.0
954,182.882,51.878,1.0,181.164,64.495,1.0,183.311,77.606,1.0,183.576,91.031,1.0,182.889,108.104,1.0,182.823,125.486,1.0,181.527,144.374,1.0,179.741,159.621,1.0,179.71,178.81,1.0,178.972,193.17,1.0,176.697,214.115,1.0,177.042,226.342,1.0
955,182.858,51.851,1.0,181.223,64.515,1.0,183.272,77.653,1.0,183.336,91.15,1.0,182.409,108.221,1.0,181.973,125.28,1.0,180.495,144.334,1.0,179.135,159.957,1.0,178.726,178.799,1.0,177.427,193.541,1.0,174.927,214.589,1.0,175.541,227.044,1.0
956,182.786,51.927,1.0,181.209,64.588,1.0,183.168,77.636,1.0,183.3,91.096,1.0,182.325,108.317,1.0,182.227,125.793,1.0,180.444,144.792,1.0,179.041,160.083,1.0,178.398,179.368,1.0,176.786,194.011,1.0,174.631,214.53,1.0,175.937,227.569,1.0
957,182.82,51.914,1.0,181.227,64.575,1.0,183.149,77.821,1.0,183.253,91.461,1.0,182.306,108.939,1.0,181.993,126.086,1.0,180.29,144.997,1.0,178.896,160.413,1.0,178.322,179.499,1.0,176.801,194.091,1.0,174.667,214.699,1.0,175.596,227.198,1.0
958,182.825,51.888,1.0,181.219,64.566,1.0,183.118,77.702,1.0,183.146,91.318,1.0,182.317,108.685,1.0,182.177,125.794,1.0,180.813,144.871,1.0,179.228,160.456,1.0,179.186,179.432,1.0,178.146,193.835,1.0,175.929,214.861,1.0,175.787,227.083,1.0
959,182.852,51.899,1.0,181.193,64.551,1.0,183.12,77.752,1.0,183.221,91.361,1.0,182.773,108.547,1.0,182.337,125.759,1.0,181.499,144.693,1.0,180.105,159.886,1.0,180.628,178.928,1.0,179.907,193.655,1.0,177.252,214.614,1.0,176.944,226.281,1.0
960,182.813,51.803,1.0,180.738,64.308,1.0,183.389,77.323,1.0,183.685,90.808,1.0,183.223,107.659,1.0,183.876,124.913,1.0,182.529,143.978,1.0,180.951,159.39,1.0,181.447,179.418,1.0,180.802,193.399,1.0,177.81,214.25,1.0,178.164,225.889,1.0
961,182.891,51.69,1.0,180.738,64.24,1.0,183.429,77.243,1.0,183.745,90.789,1.0,183.275,107.634,1.0,183.827,125.077,1.0,182.581,144.079,1.0,180.903,159.483,1.0,181.172,179.237,1.0,180.859,193.369,1.0,177.785,214.206,1.0,178.264,225.476,1.0
962,182.823,51.895,1.0,180.596,64.308,1.0,183.349,77.137,1.0,183.7,90.72,1.0,183.254,107.385,1.0,183.944,124.929,1.0,182.6,143.686,1.0,180.567,158.803,1.0,180.636,178.224,1.0,179.289,192.26,1.0,176.769,213.93,1.0,176.809,225.933,1.0
