scorer,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,182.911,51.862,1.0,181.093,64.527,1.0,183.19,77.61,1.0,182.851,91.393,1.0,182.618,108.414,1.0,182.568,125.275,1.0,181.943,144.588,1.0,180.594,159.302,1.0,181.587,179.196,1.0,182.009,192.38,1.0,181.18,214.015,1.0,181.221,224.812,1.0
11,182.914,51.779,1.0,181.115,64.395,1.0,183.317,77.419,1.0,182.848,91.162,1.0,182.554,108.235,1.0,182.575,125.24,1.0,181.877,144.493,1.0,180.557,159.312,1.0,181.535,179.184,1.0,182.012,192.218,1.0,181.332,213.846,1.0,181.095,224.576,1.0
12,183.009,51.83,1.0,181.15,64.563,1.0,183.343,77.584,1.0,183.528,91.144,1.0,183.067,108.029,1.0,183.015,125.246,1.0,182.039,144.095,1.0,180.926,158.999,1.0,181.832,178.698,1.0,182.235,192.627,1.0,180.998,213.874,1.0,181.092,224.976,1.0
13,183.05,51.638,1.0,181.046,64.344,1.0,183.354,77.329,1.0,183.394,90.849,1.0,182.907,107.726,1.0,183.042,125.195,1.0,182.005,144.14,1.0,180.845,159.239,1.0,181.615,178.879,1.0,182.074,192.721,1.0,180.96,213.915,1.0,181.033,225.051,1.0
14,182.899,51.819,1.0,180.996,64.453,1.0,183.23,77.415,1.0,183.351,90.999,1.0,182.859,107.961,1.0,182.808,125.331,1.0,181.858,144.245,1.0,180.893,159.268,1.0,181.81,178.904,1.0,182.209,192.675,1.0,181.155,213.892,1.0,180.997,225.053,1.0
15,182.937,51.74,1.0,181.024,64.463,1.0,183.273,77.382,1.0,183.521,90.845,1.0,183.02,107.869,1.0,183.021,125.344,1.0,181.957,144.199,1.0,180.876,159.067,1.0,181.936,178.802,1.0,182.34,192.681,1.0,181.114,213.936,1.0,180.949,225.038,1.0
16,182.927,51.846,1.0,181.074,64.455,1.0,183.262,77.479,1.0,183.343,90.978,1.0,183.023,107.93,1.0,182.935,125.365,1.0,181.938,144.184,1.0,180.798,159.03,1.0,181.938,178.692,1.0,182.348,192.486,1.0,181.2,213.809,1.0,181.104,224.862,1.0
17,182.829,51.997,1.0,181.006,64.555,1.0,183.217,77.565,1.0,183.356,90.991,1.0,183.126,107.923,1.0,183.275,125.451,1.0,182.338,144.247,1.0,180.811,158.986,1.0,181.845,178.578,1.0,182.451,192.202,1.0,181.372,213.662,1.0,181.048,224.798,1.0
18,182.929,51.893,1.0,181.035,64.486,1.0,183.112,77.482,1.0,183.262,91.001,1.0,183.08,107.946,1.0,183.279,125.394,1.0,182.222,144.246,1.0,180.752,159.008,1.0,181.755,178.643,1.0,182.195,192.095,1.0,181.285,213.601,1.0,181.238,224.767,1.0
19,182.948,51.917,1.0,181.053,64.512,1.0,183.155,77.534,1.0,183.013,91.135,1.0,182.97,108.05,1.0,182.996,125.272,1.0,182.075,144.237,1.0,180.65,159.116,1.0,181.718,178.625,1.0,182.321,192.085,1.0,181.406,213.591,1.0,181.145,224.748,1.0
20,182.897,51.886,1.0,181.103,64.525,1.0,183.111,77.579,1.0,182.849,91.232,1.0,182.901,108.118,1.0,182.871,125.218,1.0,182.155,144.189,1.0,180.656,159.142,1.0,181.708,178.63,1.0,182.398,192.259,1.0,181.383,213.572,1.0,181.227,224.899,1.0
21,182.912,51.869,1.0,181.131,64.523,1.0,183.151,77.569,1.0,182.865,91.231,1.0,182.926,108.062,1.0,182.785,125.113,1.0,181.916,144.194,1.0,180.554,159.376,1.0,181.648,178.921,1.0,182.325,192.405,1.0,181.25,213.787,1.0,181.244,224.965,1.0
22,182.923,51.836,1.0,181.139,64.523,1.0,183.139,77.658,1.0,182.918,91.252,1.0,182.971,108.15,1.0,182.756,125.155,1.0,181.921,144.306,1.0,180.557,159.42,1.0,181.718,178.854,1.0,182.51,192.451,1.0,181.395,213.848,1.0,181.288,225.011,1.0
23,182.903,51.846,1.0,181.129,64.53,1.0,183.163,77.664,1.0,183.089,91.143,1.0,182.907,108.196,1.0,182.756,125.367,1.0,181.929,144.369,1.0,180.692,159.605,1.0,181.721,179.1,1.0,182.492,192.575,1.0,181.401,213.885,1.0,181.294,225.07,1.0
24,182.7,51.891,1.0,181.109,64.455,1.0,183.313,77.656,1.0,183.431,91.193,1.0,182.91,108.015,1.0,182.832,125.412,1.0,181.662,143.987,1.0,180.408,159.384,1.0,181.77,178.632,1.0,182.499,192.616,1.0,181.422,213.968,1.0,181.359,225.279,1.0
25,182.709,51.796,1.0,181.135,64.424,1.0,183.33,77.675,1.0,183.359,91.274,1.0,182.866,108.226,1.0,182.613,125.415,1.0,181.52,144.037,1.0,180.396,159.409,1.0,181.802,178.475,1.0,182.502,192.569,1.0,181.394,213.982,1.0,181.232,225.029,1.0
26,182.752,51.817,1.0,181.195,64.443,1.0,183.379,77.718,1.0,183.316,91.372,1.0,182.825,108.239,1.0,182.545,125.336,1.0,181.567,144.01,1.0,180.302,159.373,1.0,181.596,178.533,1.0,182.503,192.257,1.0,181.569,213.825,1.0,181.248,224.878,1.0
27,182.698,51.818,1.0,181.197,64.544,1.0,183.359,77.805,1.0,183.125,91.622,1.0,182.997,108.761,1.0,182.55,125.532,1.0,181.379,144.184,1.0,180.337,159.677,1.0,181.543,178.709,1.0,182.472,192.396,1.0,181.477,213.875,1.0,181.092,224.789,1.0
28,182.663,51.841,1.0,181.089,64.491,1.0,183.322,77.662,1.0,183.192,91.388,1.0,182.826,108.41,1.0,182.567,125.45,1.0,181.459,144.195,1.0,180.219,159.476,1.0,181.402,178.618,1.0,182.394,192.392,1.0,181.503,213.897,1.0,180.991,224.63,1.0
29,182.682,51.85,1.0,181.073,64.491,1.0,183.36,77.652,1.0,183.302,91.387,1.0,182.992,108.388,1.0,182.742,125.617,1.0,181.534,144.092,1.0,180.363,159.498,1.0,181.567,178.728,1.0,182.39,192.285,1.0,181.522,213.844,1.0,181.046,224.628,1.0
30,182.658,51.887,1.0,181.104,64.528,1.0,183.278,77.746,1.0,183.097,91.53,1.0,183.007,108.482,1.0,182.709,125.448,1.0,181.561,143.927,1.0,180.396,159.228,1.0,181.641,178.46,1.0,182.377,192.286,1.0,181.569,213.828,1.0,181.094,224.673,1.0
31,182.725,51.943,1.0,181.146,64.607,1.0,183.322,77.805,1.0,183.009,91.809,1.0,182.889,108.638,1.0,182.726,125.384,1.0,181.692,144.002,1.0,180.477,159.421,1.0,181.616,178.53,1.0,182.288,192.301,1.0,181.513,213.74,1.0,181.152,224.523,1.0
32,182.744,51.927,1.0,181.178,64.568,1.0,183.292,77.886,1.0,182.924,91.818,1.0,182.958,108.766,1.0,182.583,125.407,1.0,181.599,144.146,1.0,180.428,159.42,1.0,181.67,178.509,1.0,182.384,192.205,1.0,181.475,213.774,1.0,181.124,224.507,1.0
33,182.74,51.909,1.0,181.143,64.587,1.0,183.132,77.934,1.0,182.98,91.762,1.0,182.969,108.831,1.0,182.691,125.695,1.0,181.524,144.327,1.0,180.434,159.562,1.0,181.504,178.794,1.0,182.345,192.479,1.0,181.488,213.8,1.0,181.11,224.581,1.0
34,182.828,51.764,1.0,181.195,64.515,1.0,183.184,77.795,1.0,182.993,91.704,1.0,182.95,108.627,1.0,182.624,125.371,1.0,181.666,144.239,1.0,180.391,159.495,1.0,181.491,178.794,1.0,182.339,192.401,1.0,181.586,213.691,1.0,181.21,224.646,1.0
35,182.873,51.755,1.0,181.201,64.483,1.0,183.262,77.739,1.0,183.122,91.498,1.0,182.962,108.439,1.0,182.697,125.259,1.0,181.785,144.287,1.0,180.392,159.604,1.0,181.413,179.099,1.0,182.122,192.8,1.0,181.362,213.836,1.0,181.152,224.723,1.0
36,182.931,51.836,1.0,181.177,64.444,1.0,183.633,77.334,1.0,183.792,91.142,1.0,183.077,107.783,1.0,183.201,125.151,1.0,182.353,143.735,1.0,180.729,158.778,1.0,181.911,178.426,1.0,182.219,192.365,1.0,181.081,213.739,1.0,181.153,224.434,1.0
37,182.846,51.899,1.0,181.103,64.359,1.0,183.574,77.241,1.0,183.581,90.905,1.0,182.939,107.504,1.0,183.112,124.99,1.0,182.32,143.72,1.0,180.587,158.951,1.0,181.751,178.699,1.0,182.249,192.453,1.0,181.032,213.746,1.0,181.27,224.517,1.0
38,182.827,51.884,1.0,181.1,64.389,1.0,183.485,77.375,1.0,183.44,91.071,1.0,183.006,107.761,1.0,183.113,125.236,1.0,182.044,143.867,1.0,180.649,159.148,1.0,181.773,178.895,1.0,182.314,192.551,1.0,181.009,213.851,1.0,181.324,224.455,1.0
39,182.886,51.712,1.0,181.142,64.332,1.0,183.504,77.303,1.0,183.463,91.03,1.0,183.057,107.731,1.0,183.137,125.262,1.0,182.022,144.024,1.0,180.722,159.196,1.0,181.83,178.869,1.0,182.319,192.467,1.0,181.06,213.81,1.0,181.371,224.359,1.0
40,182.865,51.67,1.0,181.165,64.322,1.0,183.474,77.284,1.0,183.393,91.036,1.0,183.037,107.802,1.0,183.096,125.352,1.0,181.941,144.002,1.0,180.677,159.161,1.0,181.889,178.853,1.0,182.327,192.322,1.0,181.147,213.783,1.0,181.286,224.211,1.0
41,182.856,51.552,1.0,181.195,64.318,1.0,183.373,77.33,1.0,183.312,91.092,1.0,182.984,107.863,1.0,183.044,125.393,1.0,181.821,143.977,1.0,180.606,159.258,1.0,181.841,178.806,1.0,182.329,192.29,1.0,181.111,213.798,1.0,181.278,224.346,1.0
