scorer,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
54,140.784,308.916,1.0,126.958,418.801,1.0,119.297,528.192,1.0,106.451,661.114,1.0,102.026,786.291,1.0,107.884,859.584,0.9760000109672546,99.044,1013.53,1.0,99.414,1123.069,1.0,100.7,1243.43,1.0,105.431,1358.068,1.0,115.894,1453.819,1.0
55,140.413,308.337,1.0,127.204,419.554,1.0,119.779,527.232,1.0,107.264,660.364,1.0,101.971,784.431,1.0,100.55,860.325,0.8349999785423279,99.069,1013.675,1.0,99.557,1123.609,1.0,100.843,1243.352,1.0,105.485,1357.737,1.0,115.713,1453.723,1.0
56,140.358,308.356,1.0,127.297,419.254,1.0,118.439,524.965,1.0,107.18,660.356,1.0,101.719,786.126,1.0,100.776,860.079,0.9850000143051147,99.058,1013.726,1.0,99.677,1123.801,1.0,100.897,1243.447,1.0,105.375,1358.029,1.0,115.793,1453.639,1.0
57,140.395,308.519,1.0,127.018,419.793,1.0,118.363,525.075,1.0,107.328,660.072,1.0,101.921,784.555,1.0,100.583,860.276,0.8989999890327454,99.062,1013.703,1.0,99.641,1123.756,1.0,101.151,1243.167,1.0,105.584,1357.814,1.0,115.753,1453.603,1.0
58,140.272,314.471,1.0,127.451,420.56,1.0,118.501,528.81,1.0,109.747,657.378,1.0,100.224,787.142,1.0,,,0.0,99.232,1013.629,1.0,99.57,1124.241,1.0,100.536,1242.429,1.0,105.894,1357.281,1.0,115.559,1453.891,1.0
59,140.127,314.564,1.0,127.461,420.025,1.0,118.866,531.22,1.0,107.472,657.882,1.0,101.217,780.197,1.0,107.961,883.496,0.041999999433755875,97.862,1020.067,1.0,99.709,1126.233,1.0,102.134,1243.488,1.0,108.135,1353.239,1.0,114.906,1453.166,1.0
60,139.465,315.221,1.0,128.467,415.47,1.0,119.806,527.701,1.0,108.052,657.626,1.0,103.133,777.18,1.0,101.819,909.231,1.0,99.634,1028.982,1.0,100.037,1130.581,1.0,102.042,1242.706,1.0,106.988,1347.044,1.0,115.027,1452.219,1.0
61,139.986,309.448,1.0,129.167,416.317,1.0,119.955,527.25,1.0,108.838,657.208,1.0,104.536,773.582,1.0,101.34,909.388,1.0,99.885,1029.539,1.0,99.993,1130.859,1.0,102.724,1242.953,1.0,107.431,1347.221,1.0,113.786,1449.603,1.0
62,140.441,309.463,1.0,129.154,415.645,1.0,119.297,526.107,1.0,110.097,655.437,1.0,103.856,773.839,1.0,100.878,909.31,1.0,99.859,1029.48,1.0,99.958,1130.671,1.0,102.645,1243.011,1.0,107.344,1347.561,1.0,114.885,1452.052,1.0
63,140.205,309.789,1.0,125.079,410.976,1.0,119.721,526.527,1.0,110.706,654.664,1.0,102.43,779.467,1.0,100.888,909.62,1.0,99.84,1029.498,1.0,100.107,1130.802,1.0,102.387,1243.004,1.0,104.276,1343.235,1.0,113.433,1448.949,1.0
64,140.271,309.793,1.0,124.92,411.024,1.0,120.079,526.555,1.0,110.328,655.04,1.0,102.535,779.223,1.0,100.824,909.319,1.0,99.828,1029.624,1.0,100.275,1131.116,1.0,102.597,1243.591,1.0,106.483,1346.524,1.0,113.832,1448.9,1.0
65,140.232,309.025,1.0,124.62,411.11,1.0,120.65,526.712,1.0,110.485,654.785,1.0,104.269,773.85,1.0,101.006,909.261,1.0,99.628,1029.272,1.0,99.753,1130.739,1.0,102.648,1243.499,1.0,106.817,1347.518,1.0,114.239,1449.564,1.0
66,140.399,309.149,1.0,124.797,410.858,1.0,120.871,527.164,1.0,110.499,654.745,1.0,103.934,772.456,1.0,101.094,909.54,1.0,99.609,1029.516,1.0,99.819,1130.63,1.0,103.129,1242.892,1.0,107.009,1347.48,1.0,114.162,1449.407,1.0
67,140.292,309.093,1.0,125.233,410.879,1.0,120.816,527.678,1.0,108.546,655.297,1.0,104.202,772.954,1.0,101.206,909.635,1.0,99.747,1029.538,1.0,99.923,1130.721,1.0,102.947,1242.889,1.0,107.563,1348.813,1.0,115.01,1452.075,1.0
68,140.31,309.421,1.0,125.035,410.958,1.0,120.728,527.447,1.0,108.586,655.856,1.0,103.861,772.457,1.0,101.255,909.361,1.0,99.704,1029.332,1.0,99.861,1130.661,1.0,102.969,1242.853,1.0,107.492,1348.577,1.0,114.283,1450.17,1.0
69,140.265,309.376,1.0,125.055,410.906,1.0,120.709,527.456,1.0,108.805,655.435,1.0,104.485,773.649,1.0,101.283,909.344,1.0,99.665,1029.294,1.0,100.014,1130.688,1.0,102.648,1242.603,1.0,107.515,1348.511,1.0,114.307,1450.058,1.0
70,140.132,309.411,1.0,125.048,410.864,1.0,120.355,528.178,1.0,108.723,654.827,1.0,104.42,773.819,1.0,101.428,909.42,1.0,99.625,1029.294,1.0,100.02,1130.735,1.0,102.715,1242.528,1.0,107.521,1348.321,1.0,114.058,1449.879,1.0
71,140.07,309.439,1.0,125.085,410.837,1.0,120.252,527.93,1.0,108.192,654.455,1.0,104.566,774.528,1.0,102.764,908.831,1.0,99.552,1029.086,1.0,100.052,1130.708,1.0,102.907,1242.841,1.0,107.411,1348.214,1.0,114.084,1449.708,1.0
72,140.099,309.261,1.0,129.955,413.683,1.0,120.438,528.539,1.0,110.073,653.157,1.0,104.045,772.703,1.0,102.768,908.804,1.0,99.574,1029.148,1.0,99.982,1130.672,1.0,102.939,1242.938,1.0,107.399,1348.648,1.0,114.067,1449.981,1.0
73,140.206,309.316,1.0,125.173,410.554,1.0,120.757,528.542,1.0,109.636,653.557,1.0,103.609,771.946,1.0,102.821,908.809,1.0,99.611,1029.214,1.0,99.941,1130.591,1.0,103.391,1242.494,1.0,107.382,1348.848,1.0,114.248,1450.117,1.0
74,140.305,309.176,1.0,129.841,413.815,1.0,120.525,528.055,1.0,110.011,653.127,1.0,103.592,771.397,1.0,102.789,908.741,1.0,99.628,1029.129,1.0,99.924,1130.59,1.0,103.111,1242.516,1.0,107.294,1348.667,1.0,114.149,1450.024,1.0
75,140.478,309.56,1.0,129.284,414.877,1.0,120.663,528.581,1.0,110.21,653.54,1.0,104.042,772.886,1.0,102.979,908.661,1.0,99.621,1029.313,1.0,99.832,1130.522,1.0,103.05,1242.369,1.0,107.431,1349.003,1.0,114.364,1450.134,1.0
76,140.441,309.446,1.0,129.08,414.817,1.0,120.911,528.711,1.0,109.971,653.861,1.0,104.319,773.873,1.0,103.012,908.659,1.0,99.584,1029.335,1.0,99.814,1130.508,1.0,103.063,1242.401,1.0,107.098,1348.535,1.0,114.256,1449.599,1.0
77,140.505,309.426,1.0,129.155,414.528,1.0,120.899,528.948,1.0,109.469,650.586,1.0,103.6,772.215,1.0,103.167,908.573,1.0,99.558,1029.277,1.0,99.76,1130.453,1.0,103.01,1242.384,1.0,107.444,1348.985,1.0,114.334,1449.911,1.0
78,140.595,309.278,1.0,128.905,415.127,1.0,121.035,529.873,1.0,109.093,651.079,1.0,103.575,771.76,1.0,103.346,908.468,1.0,99.687,1029.427,1.0,99.734,1130.455,1.0,103.081,1242.354,1.0,107.327,1348.733,1.0,114.296,1449.343,1.0
79,140.356,308.796,1.0,129.181,414.609,1.0,121.201,527.944,1.0,108.784,651.342,1.0,103.35,771.571,1.0,103.519,908.507,1.0,99.701,1029.513,1.0,99.723,1130.428,1.0,103.033,1242.084,1.0,107.17,1348.108,1.0,114.26,1449.134,1.0
80,140.36,308.506,1.0,129.171,414.674,1.0,119.175,525.936,1.0,109.3,650.436,1.0,103.826,772.725,1.0,103.271,908.29,1.0,99.691,1029.428,1.0,99.743,1130.451,1.0,103.003,1242.022,1.0,107.584,1347.921,1.0,114.129,1448.261,1.0
81,140.412,308.302,1.0,125.276,410.227,1.0,120.558,525.393,1.0,110.968,652.718,1.0,102.764,772.487,1.0,103.211,908.34,1.0,99.699,1029.504,1.0,99.792,1130.493,1.0,103.003,1241.974,1.0,107.464,1347.583,1.0,114.273,1448.852,1.0
82,140.505,308.234,1.0,128.885,414.44,1.0,120.747,525.735,1.0,110.656,652.904,1.0,102.938,772.773,1.0,103.273,908.674,1.0,99.721,1029.512,1.0,99.758,1130.457,1.0,103.133,1241.847,1.0,107.239,1347.244,1.0,114.019,1448.577,1.0
83,140.529,308.75,1.0,128.62,414.314,1.0,121.287,527.243,1.0,109.975,654.257,1.0,102.386,771.014,1.0,103.211,908.775,1.0,99.789,1029.478,1.0,99.88,1130.656,1.0,103.132,1241.957,1.0,107.31,1347.287,1.0,114.022,1448.803,1.0
84,140.505,308.678,1.0,125.478,410.352,1.0,121.075,526.956,1.0,110.338,653.364,1.0,102.357,770.475,1.0,102.999,908.798,1.0,99.824,1029.474,1.0,99.863,1130.633,1.0,103.129,1241.952,1.0,107.25,1347.097,1.0,113.858,1448.68,1.0
85,140.466,308.665,1.0,125.594,410.362,1.0,121.038,526.096,1.0,110.216,653.541,1.0,102.511,771.103,1.0,102.979,908.794,1.0,99.846,1029.442,1.0,99.893,1130.649,1.0,103.328,1241.881,1.0,104.569,1343.398,1.0,113.877,1448.361,1.0
86,140.475,308.704,1.0,125.644,410.292,1.0,121.174,526.462,1.0,109.854,653.833,1.0,102.298,770.455,1.0,103.095,908.823,1.0,99.827,1029.46,1.0,99.879,1130.64,1.0,103.345,1241.855,1.0,104.603,1343.374,1.0,113.846,1448.35,1.0
87,140.532,309.319,1.0,125.433,410.611,1.0,120.55,527.417,1.0,109.686,654.478,1.0,102.213,770.891,1.0,102.679,909.046,1.0,99.983,1029.633,1.0,99.864,1130.642,1.0,103.176,1241.728,1.0,104.772,1343.184,1.0,114.07,1448.08,1.0
88,140.811,310.137,1.0,129.276,415.834,1.0,120.151,531.703,1.0,109.718,655.76,1.0,102.697,776.163,1.0,102.876,909.29,1.0,100.044,1030.157,1.0,99.886,1130.595,1.0,102.944,1241.689,1.0,107.759,1346.368,1.0,114.189,1448.81,1.0
89,140.702,310.127,1.0,129.413,416.525,1.0,119.983,532.38,1.0,109.2,657.049,1.0,101.879,776.56,1.0,102.908,909.467,1.0,100.153,1030.431,1.0,99.669,1130.551,1.0,102.365,1239.988,1.0,104.129,1342.805,1.0,114.365,1449.527,1.0
90,140.19,313.745,1.0,129.364,416.005,1.0,119.895,532.252,1.0,108.284,657.305,1.0,102.429,776.397,1.0,102.811,909.343,1.0,100.079,1030.571,1.0,99.628,1130.44,1.0,102.478,1239.847,1.0,104.112,1342.837,1.0,114.304,1449.321,1.0
91,140.213,313.883,1.0,129.106,415.713,1.0,120.8,527.399,1.0,108.603,656.662,1.0,102.047,776.407,1.0,102.7,909.397,1.0,100.138,1030.583,1.0,99.55,1130.335,1.0,102.585,1239.615,1.0,104.425,1342.472,1.0,114.177,1448.195,1.0
92,140.157,313.864,1.0,129.151,416.262,1.0,119.825,531.498,1.0,109.63,657.023,1.0,102.182,777.03,1.0,102.549,909.541,1.0,100.096,1030.672,1.0,99.558,1130.404,1.0,102.633,1239.775,1.0,104.412,1342.594,1.0,114.17,1448.833,1.0
93,140.434,314.256,1.0,129.72,416.424,1.0,119.621,532.963,1.0,108.428,658.964,1.0,102.316,781.24,1.0,102.55,909.723,1.0,100.015,1030.703,1.0,99.599,1130.454,1.0,102.606,1239.825,1.0,104.407,1342.6,1.0,114.168,1449.006,1.0
94,140.359,314.288,1.0,129.379,414.707,1.0,120.238,531.005,1.0,108.183,659.857,1.0,102.124,778.421,1.0,102.465,909.786,1.0,99.941,1030.829,1.0,99.562,1130.419,1.0,102.623,1239.674,1.0,108.499,1346.896,1.0,114.477,1449.78,1.0
95,140.596,314.47,1.0,130.084,416.635,1.0,121.228,528.446,1.0,108.536,659.308,1.0,101.862,779.006,1.0,101.901,909.956,1.0,99.91,1030.541,1.0,99.594,1130.344,1.0,102.837,1239.825,1.0,108.229,1346.98,1.0,114.306,1449.556,1.0
96,140.578,314.346,1.0,129.969,415.155,1.0,120.746,529.996,1.0,108.185,660.983,1.0,102.457,780.142,1.0,101.598,910.095,1.0,100.016,1030.962,1.0,99.503,1130.262,1.0,102.813,1239.925,1.0,108.131,1346.774,1.0,114.397,1450.103,1.0
97,140.685,314.751,1.0,129.126,415.917,1.0,117.41,529.616,1.0,109.468,658.62,1.0,101.896,780.02,1.0,101.557,910.083,1.0,100.046,1030.911,1.0,99.408,1130.21,1.0,102.773,1240.02,1.0,108.329,1347.139,1.0,114.622,1452.166,1.0
98,140.947,314.524,1.0,130.347,414.914,1.0,117.858,529.084,1.0,110.253,657.319,1.0,102.118,780.321,1.0,101.383,909.91,1.0,100.078,1030.92,1.0,99.425,1130.229,1.0,102.687,1240.055,1.0,107.905,1346.482,1.0,114.581,1452.311,1.0
99,141.302,314.803,1.0,130.884,414.176,1.0,118.475,528.982,1.0,108.294,662.286,1.0,102.183,780.897,1.0,101.219,909.864,1.0,100.101,1030.853,1.0,99.471,1130.331,1.0,103.134,1242.191,1.0,108.037,1347.891,1.0,114.645,1452.253,1.0
100,141.579,309.584,1.0,130.553,415.916,1.0,118.904,529.396,1.0,110.942,665.286,1.0,102.281,781.458,1.0,100.95,910.288,1.0,100.137,1030.85,1.0,99.411,1130.144,1.0,103.294,1242.039,1.0,108.536,1348.918,1.0,114.602,1452.347,1.0
101,141.007,314.503,1.0,131.022,416.524,1.0,119.083,529.261,1.0,111.016,664.487,1.0,102.214,781.395,1.0,101.194,909.872,1.0,100.089,1030.766,1.0,99.409,1130.13,1.0,103.277,1241.85,1.0,108.744,1349.436,1.0,114.523,1452.232,1.0
102,141.424,308.263,1.0,131.421,416.958,1.0,118.938,530.269,1.0,110.822,664.32,1.0,102.295,781.325,1.0,100.948,909.761,1.0,99.898,1030.895,1.0,99.332,1130.469,1.0,103.268,1242.384,1.0,108.753,1349.51,1.0,114.588,1452.303,1.0
103,146.225,314.112,1.0,131.676,414.759,1.0,120.088,529.319,1.0,111.324,664.156,1.0,102.066,781.074,1.0,101.029,909.566,1.0,99.887,1030.401,1.0,99.378,1130.533,1.0,103.024,1242.978,1.0,108.589,1349.419,1.0,114.701,1452.3,1.0
104,146.402,314.713,1.0,133.235,417.554,1.0,119.331,529.666,1.0,110.622,664.715,1.0,102.475,781.266,1.0,100.694,910.21,1.0,99.782,1030.123,1.0,99.099,1130.271,1.0,102.85,1243.528,1.0,108.446,1349.109,1.0,114.455,1452.343,1.0
105,146.768,314.548,1.0,134.198,415.83,1.0,120.273,529.453,1.0,110.991,664.527,1.0,102.548,781.253,1.0,100.49,909.522,1.0,99.571,1030.059,1.0,99.289,1130.212,1.0,102.581,1243.423,1.0,108.245,1349.149,1.0,114.719,1452.355,1.0
106,147.606,316.87,1.0,134.285,420.127,1.0,120.55,530.213,1.0,109.277,666.815,1.0,102.215,780.75,1.0,100.181,909.73,1.0,99.47,1029.709,1.0,99.458,1130.342,1.0,102.569,1243.64,1.0,108.757,1350.079,1.0,115.198,1452.592,1.0
107,147.383,315.98,1.0,135.253,419.716,1.0,121.819,530.494,1.0,110.856,674.789,1.0,101.529,783.206,1.0,100.229,909.867,1.0,99.376,1029.845,1.0,99.281,1130.106,1.0,102.471,1243.512,1.0,108.428,1349.589,1.0,114.911,1452.421,1.0
108,147.768,315.971,1.0,134.393,420.334,1.0,121.264,531.363,1.0,111.7,673.435,1.0,101.071,784.072,1.0,99.878,909.7,1.0,98.989,1029.617,1.0,98.677,1126.471,1.0,102.623,1242.916,1.0,107.996,1348.602,1.0,114.586,1452.107,1.0
109,148.071,316.055,1.0,134.966,419.009,1.0,121.976,530.396,1.0,111.232,674.096,1.0,101.535,783.538,1.0,99.909,909.34,1.0,98.948,1029.826,1.0,98.621,1126.197,1.0,102.468,1242.82,1.0,108.241,1349.359,1.0,114.668,1452.052,1.0
110,148.927,316.448,1.0,134.487,420.291,1.0,122.04,531.869,1.0,109.757,666.773,1.0,101.346,783.263,1.0,99.729,909.491,1.0,98.972,1030.461,1.0,98.426,1125.969,1.0,102.705,1242.81,1.0,108.398,1349.316,1.0,115.152,1452.782,1.0
111,149.189,322.086,1.0,136.266,418.32,1.0,123.275,530.521,1.0,110.649,673.994,1.0,101.514,783.531,1.0,99.828,909.26,1.0,98.963,1030.226,1.0,98.167,1124.708,1.0,102.418,1242.999,1.0,108.098,1350.029,1.0,115.815,1453.234,1.0
112,155.112,315.85,1.0,136.996,417.812,1.0,123.083,532.948,1.0,113.145,668.263,1.0,102.587,778.966,1.0,99.926,909.77,1.0,98.828,1029.711,1.0,97.918,1122.517,1.0,101.902,1243.019,1.0,108.161,1349.669,1.0,115.812,1453.104,1.0
113,155.961,315.915,1.0,138.352,418.48,1.0,124.028,532.975,1.0,114.316,674.072,1.0,102.685,779.069,1.0,100.028,909.72,1.0,98.891,1029.347,1.0,97.934,1121.832,1.0,101.954,1242.836,1.0,108.197,1351.2,1.0,115.803,1453.193,1.0
114,156.059,317.569,1.0,139.129,418.042,1.0,124.323,531.494,1.0,114.496,673.429,1.0,102.307,779.456,1.0,99.994,909.503,1.0,99.022,1029.506,1.0,97.374,1122.721,1.0,101.905,1243.347,1.0,107.642,1353.592,1.0,115.987,1453.347,1.0
115,158.035,324.421,1.0,137.498,428.562,1.0,125.333,534.878,1.0,115.078,683.838,1.0,102.566,780.187,1.0,100.425,908.675,1.0,98.142,1026.865,1.0,97.053,1121.042,1.0,101.592,1244.156,1.0,106.068,1357.344,1.0,116.034,1453.505,1.0
116,161.566,322.965,1.0,139.353,420.667,1.0,129.356,520.693,1.0,114.68,660.61,0.972000002861023,103.561,779.409,1.0,100.011,908.382,1.0,97.084,1025.234,1.0,99.671,1116.247,1.0,100.599,1244.25,1.0,106.209,1356.41,1.0,116.127,1453.285,1.0
117,162.067,330.636,1.0,140.109,421.633,1.0,130.877,522.252,1.0,115.106,683.304,0.7350000143051147,103.939,779.046,1.0,100.019,908.571,1.0,97.28,1026.256,1.0,99.102,1115.733,1.0,100.611,1244.188,1.0,105.773,1357.276,1.0,116.278,1457.597,1.0
118,162.826,324.732,1.0,140.548,422.394,1.0,130.353,521.532,1.0,114.859,683.783,0.9399999976158142,103.049,779.974,1.0,100.011,908.491,1.0,93.866,1026.68,1.0,99.077,1115.469,1.0,100.039,1243.706,1.0,106.2,1356.421,1.0,116.135,1457.69,1.0
119,163.448,333.62,1.0,145.259,422.008,1.0,132.056,521.497,1.0,115.464,683.276,0.9620000123977661,100.189,786.528,1.0,100.382,908.872,1.0,97.264,1025.622,1.0,98.097,1107.039,1.0,100.002,1243.681,1.0,106.297,1356.147,1.0,116.201,1453.072,1.0
120,172.536,306.469,1.0,149.386,420.14,0.9940000176429749,131.349,524.016,1.0,99.601,891.719,0.6340000033378601,105.847,778.403,0.996999979019165,116.431,700.675,0.8880000114440918,92.823,1011.858,1.0,99.138,1130.756,1.0,98.519,1244.19,1.0,107.539,1364.599,0.9980000257492065,115.931,1452.728,1.0
121,173.765,307.91,1.0,149.171,419.162,1.0,131.736,538.771,1.0,115.87,667.724,0.9269999861717224,106.194,778.93,0.9990000128746033,108.273,795.992,0.4129999876022339,92.879,1011.944,1.0,97.476,1125.765,1.0,97.512,1237.779,1.0,100.805,1323.816,1.0,116.0,1459.427,1.0
122,177.998,308.993,1.0,152.425,419.215,1.0,133.753,529.853,1.0,107.464,746.919,0.9980000257492065,,,0.0,107.628,803.705,0.8349999785423279,92.666,1004.461,1.0,93.836,1125.776,1.0,97.595,1235.171,1.0,100.943,1323.166,1.0,115.863,1459.598,1.0
123,179.065,330.283,1.0,152.276,421.659,1.0,135.22,543.228,1.0,105.07,734.172,1.0,115.711,725.515,0.24300000071525574,100.13,812.634,0.6209999918937683,93.258,1012.681,1.0,98.688,1131.557,1.0,97.788,1237.187,1.0,108.211,1380.651,1.0,115.732,1461.708,1.0
124,188.434,283.402,0.9359999895095825,154.72,427.802,0.9990000128746033,137.508,546.329,1.0,99.689,804.326,0.6269999742507935,107.934,788.165,0.843999981880188,107.813,795.881,0.9670000076293945,92.554,1004.256,1.0,92.584,1115.729,0.9890000224113464,97.486,1228.194,1.0,108.557,1379.865,1.0,115.593,1460.905,1.0
125,188.87,307.579,0.9990000128746033,164.735,413.261,0.9950000047683716,147.227,499.948,1.0,115.771,787.695,0.9419999718666077,108.468,788.178,0.8510000109672546,107.217,804.36,0.9829999804496765,92.944,1004.554,1.0,92.696,1124.666,1.0,97.571,1234.977,1.0,107.706,1387.13,0.9900000095367432,115.478,1461.418,1.0
126,195.688,298.842,1.0,169.866,397.78,1.0,147.96,501.526,1.0,107.657,883.395,0.9919999837875366,108.126,779.93,0.9629999995231628,108.03,796.393,0.8889999985694885,93.748,1012.358,1.0,92.088,1131.018,1.0,97.777,1228.107,0.996999979019165,107.515,1379.915,0.9879999756813049,115.817,1460.64,1.0
127,204.301,298.952,1.0,170.224,412.142,1.0,148.388,507.673,1.0,108.785,803.98,0.953000009059906,107.323,827.226,0.925000011920929,147.134,556.12,0.6859999895095825,93.052,1020.35,1.0,91.755,1130.996,1.0,92.175,1220.232,0.9679999947547913,100.119,1324.961,0.9990000128746033,115.911,1461.332,1.0
128,211.184,291.142,1.0,171.847,404.83,1.0,149.909,514.743,1.0,124.275,666.593,0.9369999766349792,99.998,891.864,0.8040000200271606,107.722,820.201,0.7630000114440918,93.346,1012.827,1.0,91.565,1130.839,1.0,91.593,1211.514,0.9810000061988831,100.047,1325.23,1.0,116.037,1461.582,1.0
129,211.431,290.936,1.0,170.693,418.95,0.9990000128746033,153.737,516.849,1.0,108.33,812.129,0.9959999918937683,107.342,796.127,0.30399999022483826,100.614,1004.11,0.9039999842643738,92.655,1012.061,1.0,93.064,1125.507,1.0,91.575,1204.663,0.9350000023841858,100.269,1316.509,1.0,116.041,1468.281,1.0
130,203.868,340.261,1.0,181.032,414.77,0.9990000128746033,154.825,531.252,1.0,108.524,811.744,0.9990000128746033,105.719,796.154,0.6740000247955322,100.393,1019.518,0.4620000123977661,92.622,1020.235,1.0,91.98,1116.683,1.0,91.802,1234.331,1.0,100.966,1325.196,1.0,114.981,1468.672,1.0
131,220.78,299.376,0.9980000257492065,182.792,429.091,0.9800000190734863,155.239,524.217,1.0,108.336,812.022,1.0,99.889,907.309,0.8330000042915344,125.128,668.734,0.9539999961853027,92.375,1020.185,0.9980000257492065,91.381,1116.491,1.0,91.803,1226.905,0.9950000047683716,100.65,1324.873,1.0,114.997,1468.739,1.0
132,227.393,299.005,1.0,185.377,419.266,0.9959999918937683,164.574,525.273,1.0,109.352,806.02,1.0,100.364,900.078,0.8050000071525574,162.868,524.6,0.8489999771118164,92.218,1011.255,0.9990000128746033,91.033,1123.36,1.0,97.461,1235.171,1.0,108.775,1397.209,1.0,115.189,1468.851,1.0
133,227.856,299.182,1.0,194.193,398.382,0.9800000190734863,108.669,827.92,1.0,114.764,812.359,0.921999990940094,140.165,595.568,0.32199999690055847,156.104,532.373,0.9150000214576721,92.427,1012.81,1.0,91.155,1124.074,1.0,91.677,1227.031,1.0,100.462,1324.183,1.0,116.323,1474.386,1.0
134,227.925,308.167,1.0,123.941,700.407,0.7080000042915344,109.069,811.728,0.9290000200271606,108.472,806.126,0.9959999918937683,108.249,771.684,0.023000000044703484,124.544,667.504,0.3059999942779541,92.186,1020.474,1.0,90.868,1123.661,1.0,91.857,1222.307,1.0,100.618,1324.065,1.0,115.229,1469.219,1.0
135,236.479,299.278,0.9990000128746033,163.926,528.208,1.0,108.719,811.843,0.9480000138282776,99.53,901.014,0.9980000257492065,115.568,771.675,0.953000009059906,124.597,667.811,0.21699999272823334,92.466,1020.728,1.0,90.761,1124.145,1.0,97.601,1227.363,1.0,100.551,1323.902,1.0,115.178,1468.802,1.0
136,237.012,299.614,0.9890000224113464,163.251,533.128,1.0,166.437,525.738,0.9990000128746033,99.624,901.23,0.9980000257492065,131.651,651.948,0.7039999961853027,92.219,907.868,0.6299999952316284,92.607,1020.835,1.0,90.202,1123.174,1.0,96.842,1221.424,1.0,105.687,1390.098,1.0,115.608,1468.666,1.0
137,244.115,275.053,1.0,164.628,532.52,0.9940000176429749,164.388,532.925,0.9990000128746033,100.398,900.015,0.9580000042915344,131.779,652.097,0.164000004529953,99.748,1019.948,0.6949999928474426,92.387,1012.765,0.996999979019165,90.111,1123.247,1.0,91.665,1221.062,1.0,105.716,1390.13,1.0,115.857,1468.873,1.0
138,220.404,346.988,1.0,164.758,532.848,0.9929999709129333,124.035,701.1,1.0,101.964,897.828,0.9990000128746033,131.874,643.387,0.46700000762939453,244.098,284.479,0.22100000083446503,92.263,1019.982,0.9990000128746033,90.254,1124.117,1.0,91.687,1221.212,1.0,105.685,1390.056,1.0,115.883,1468.885,1.0
