scorer,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000
7,316.81,184.388,1.0,317.93,200.93,1.0,319.876,210.064,1.0,320.812,223.65,1.0,317.659,236.412,1.0,317.016,261.513,1.0,318.885,276.091,1.0,319.908,296.738,1.0,319.253,315.308,1.0,318.889,324.486,1.0,324.073,348.855,1.0,321.505,360.494,1.0
8,316.791,184.343,1.0,317.877,200.988,1.0,319.719,209.971,1.0,320.908,223.503,1.0,317.737,236.382,1.0,317.201,261.37,1.0,319.066,276.197,1.0,319.922,296.736,1.0,319.262,315.374,1.0,318.866,324.627,1.0,324.124,348.994,1.0,321.565,360.522,1.0
9,316.834,184.36,1.0,317.903,200.935,1.0,319.798,209.987,1.0,320.881,223.612,1.0,317.705,236.377,1.0,317.202,261.283,1.0,319.177,276.195,1.0,319.716,296.835,1.0,319.122,315.149,1.0,318.774,324.487,1.0,324.191,348.957,1.0,321.7,360.548,1.0
10,316.776,184.273,1.0,317.819,200.87,1.0,319.744,209.877,1.0,320.936,223.512,1.0,317.699,236.288,1.0,317.185,261.154,1.0,319.082,276.319,1.0,319.736,296.769,1.0,319.256,315.159,1.0,318.823,324.603,1.0,324.345,349.175,1.0,321.669,360.649,1.0
11,316.802,184.221,1.0,317.893,200.874,1.0,319.794,209.875,1.0,320.95,223.525,1.0,317.678,236.267,1.0,317.087,261.189,1.0,318.973,276.249,1.0,319.787,296.808,1.0,319.247,315.119,1.0,318.817,324.54,1.0,324.207,348.927,1.0,321.669,360.473,1.0
12,316.883,184.161,1.0,317.815,200.749,1.0,319.775,209.642,1.0,321.371,223.351,1.0,317.759,236.437,1.0,317.197,261.453,1.0,318.658,276.129,1.0,319.738,296.883,1.0,319.446,315.526,1.0,319.003,324.723,1.0,323.622,349.979,1.0,321.434,360.683,1.0
13,316.769,184.143,1.0,317.76,200.903,1.0,319.747,209.716,1.0,321.287,223.406,1.0,317.726,236.447,1.0,317.151,261.483,1.0,318.675,276.166,1.0,319.789,296.56,1.0,319.472,315.396,1.0,318.939,324.623,1.0,323.53,349.9,1.0,321.39,360.684,1.0
14,316.809,184.183,1.0,317.764,200.871,1.0,319.829,209.774,1.0,321.334,223.42,1.0,317.745,236.496,1.0,317.128,261.293,1.0,318.534,275.992,1.0,319.822,296.48,1.0,319.633,315.363,1.0,318.998,324.756,1.0,323.595,349.984,1.0,321.442,360.729,1.0
15,316.779,184.196,1.0,317.685,200.803,1.0,319.879,209.696,1.0,321.356,223.398,1.0,317.798,236.491,1.0,317.162,261.261,1.0,318.67,275.979,1.0,319.944,296.559,1.0,319.706,315.372,1.0,319.069,324.825,1.0,323.681,350.127,1.0,321.504,360.773,1.0
16,316.758,184.191,1.0,317.684,200.911,1.0,319.785,209.724,1.0,321.346,223.336,1.0,317.804,236.397,1.0,317.194,261.141,1.0,318.824,275.801,1.0,319.941,296.565,1.0,319.557,315.376,1.0,318.937,324.815,1.0,323.612,350.073,1.0,321.559,360.79,1.0
17,316.813,184.359,1.0,317.742,201.07,1.0,319.819,209.905,1.0,321.371,223.433,1.0,317.801,236.507,1.0,317.229,261.213,1.0,318.886,275.939,1.0,319.749,296.53,1.0,319.523,315.234,1.0,318.923,324.491,1.0,323.703,349.933,1.0,321.574,360.714,1.0
18,316.835,184.356,1.0,317.736,201.118,1.0,319.816,209.969,1.0,321.274,223.567,1.0,317.741,236.627,1.0,317.237,261.327,1.0,319.026,276.362,1.0,319.869,296.866,1.0,319.56,315.395,1.0,318.993,324.338,1.0,323.781,349.065,1.0,321.585,360.565,1.0
19,316.844,184.396,1.0,317.755,201.167,1.0,319.865,209.995,1.0,321.234,223.501,1.0,317.766,236.497,1.0,317.18,261.227,1.0,318.88,275.997,1.0,319.857,296.611,1.0,319.604,315.274,1.0,319.056,324.359,1.0,323.934,349.328,1.0,321.661,360.636,1.0
20,316.83,184.323,1.0,317.758,201.096,1.0,319.839,209.971,1.0,321.238,223.552,1.0,317.731,236.439,1.0,317.031,261.2,1.0,318.812,275.674,1.0,319.853,296.462,1.0,319.615,315.133,1.0,319.126,324.443,1.0,324.066,349.122,1.0,321.689,360.614,1.0
21,316.817,184.263,1.0,317.752,201.09,1.0,319.764,209.965,1.0,321.283,223.458,1.0,317.699,236.298,1.0,317.015,260.995,1.0,318.631,275.622,1.0,319.787,296.377,1.0,319.49,315.187,1.0,318.964,324.43,1.0,324.034,349.244,1.0,321.602,360.641,1.0
22,316.762,184.23,1.0,317.72,201.063,1.0,319.733,209.991,1.0,321.154,223.569,1.0,317.709,236.353,1.0,317.036,261.006,1.0,318.673,275.513,1.0,319.811,296.351,1.0,319.524,315.036,1.0,319.035,324.311,1.0,324.038,349.361,1.0,321.559,360.588,1.0
23,316.72,184.268,1.0,317.695,201.126,1.0,319.791,210.029,1.0,321.114,223.65,1.0,317.616,236.476,1.0,317.018,261.373,1.0,318.708,275.8,1.0,319.859,296.604,1.0,319.424,315.362,1.0,318.956,324.417,1.0,323.813,349.388,1.0,321.483,360.639,1.0
24,316.919,184.456,1.0,318.071,201.267,1.0,319.742,210.133,1.0,321.344,223.708,1.0,317.587,236.483,1.0,316.879,261.685,1.0,318.199,276.412,1.0,319.909,296.729,1.0,319.712,315.026,1.0,319.026,324.253,1.0,323.86,348.977,1.0,320.96,360.409,1.0
25,316.9,184.393,1.0,318.066,201.191,1.0,319.771,210.059,1.0,321.254,223.7,1.0,317.586,236.357,1.0,316.821,261.723,1.0,318.24,276.3,1.0,319.884,296.886,1.0,319.583,315.061,1.0,319.11,324.413,1.0,323.895,349.273,1.0,321.226,360.391,1.0
26,316.769,184.447,1.0,317.953,201.201,1.0,319.786,210.058,1.0,321.161,223.716,1.0,317.645,236.46,1.0,316.875,261.715,1.0,318.279,276.452,1.0,319.891,296.906,1.0,319.677,315.143,1.0,319.058,324.231,1.0,323.744,349.393,1.0,321.135,360.254,1.0
27,316.745,184.254,1.0,317.948,201.183,1.0,319.832,209.93,1.0,320.983,223.914,1.0,317.416,236.337,1.0,316.695,261.644,1.0,322.503,278.62,1.0,319.758,296.94,1.0,319.601,315.079,1.0,319.063,324.044,1.0,323.737,349.218,1.0,321.172,360.142,1.0
28,316.729,184.29,1.0,317.905,201.096,1.0,319.749,209.893,1.0,320.921,223.891,1.0,317.51,236.452,1.0,316.767,261.652,1.0,318.169,276.388,1.0,319.787,296.871,1.0,319.649,315.058,1.0,318.995,323.879,1.0,323.833,349.259,1.0,321.18,360.087,1.0
29,316.858,184.405,1.0,317.932,201.19,1.0,319.735,209.898,1.0,321.093,223.825,1.0,317.608,236.554,1.0,316.934,261.826,1.0,318.571,276.724,1.0,319.768,297.333,1.0,319.278,315.347,1.0,318.923,324.213,1.0,323.765,349.559,1.0,321.17,360.216,1.0
30,316.872,184.477,1.0,317.989,201.269,1.0,319.654,210.069,1.0,320.996,223.92,1.0,317.555,236.582,1.0,316.731,261.741,1.0,318.174,276.436,1.0,319.918,296.922,1.0,319.486,315.213,1.0,318.945,324.082,1.0,323.839,349.451,1.0,321.225,360.155,1.0
31,316.889,184.605,1.0,318.032,201.35,1.0,319.689,210.25,1.0,320.955,224.184,1.0,317.455,236.635,1.0,316.696,261.801,1.0,318.431,276.341,1.0,319.791,296.938,1.0,319.448,315.149,1.0,318.916,323.981,1.0,323.83,349.332,1.0,321.189,360.017,1.0
32,316.923,184.612,1.0,318.083,201.348,1.0,319.737,210.203,1.0,320.927,224.167,1.0,317.451,236.541,1.0,316.693,261.883,1.0,322.423,278.654,1.0,319.822,296.941,1.0,319.482,315.16,1.0,318.871,323.87,1.0,323.908,349.241,1.0,321.159,359.9,1.0
33,316.784,184.387,1.0,317.96,201.269,1.0,319.772,209.94,1.0,320.99,223.9,1.0,317.578,236.596,1.0,316.713,261.88,1.0,322.365,278.947,1.0,319.842,297.132,1.0,319.354,315.356,1.0,318.845,324.086,1.0,323.935,349.3,1.0,321.171,360.015,1.0
34,316.793,184.348,1.0,317.902,201.261,1.0,319.792,209.814,1.0,321.074,223.785,1.0,317.62,236.355,1.0,316.694,261.622,1.0,318.364,276.447,1.0,319.85,296.852,1.0,319.462,315.263,1.0,318.915,323.962,1.0,323.883,349.182,1.0,321.11,359.895,1.0
35,316.764,184.324,1.0,317.889,201.17,1.0,319.809,209.679,1.0,321.283,223.492,1.0,317.756,236.163,1.0,316.675,261.356,1.0,322.558,278.526,1.0,319.773,296.895,1.0,319.199,315.376,1.0,318.783,324.365,1.0,323.697,349.243,1.0,321.131,359.997,1.0
36,316.635,184.059,1.0,317.871,200.915,1.0,319.817,209.484,1.0,321.337,223.248,1.0,317.924,236.234,1.0,317.248,261.589,1.0,318.701,275.506,1.0,319.595,296.562,1.0,319.586,314.854,1.0,318.956,324.394,1.0,323.7,349.045,1.0,321.18,360.254,1.0
37,316.595,184.004,1.0,317.778,200.954,1.0,319.737,209.354,1.0,321.441,223.015,1.0,318.055,236.079,1.0,317.208,261.445,1.0,318.783,275.494,1.0,319.785,296.867,1.0,319.665,314.902,1.0,318.898,324.487,1.0,323.754,348.686,1.0,321.24,360.128,1.0
38,316.555,184.117,1.0,317.766,201.024,1.0,319.85,209.437,1.0,321.507,222.984,1.0,318.114,236.2,1.0,317.364,261.396,1.0,318.824,275.552,1.0,319.664,296.835,1.0,319.497,314.98,1.0,318.734,324.057,1.0,324.053,348.666,1.0,321.251,359.862,1.0
39,316.616,184.062,1.0,317.835,200.753,1.0,319.836,209.314,1.0,321.453,222.941,1.0,318.083,236.146,1.0,317.472,261.258,1.0,318.755,275.576,1.0,319.548,296.49,1.0,319.504,314.858,1.0,319.003,331.181,1.0,324.156,348.259,1.0,321.4,359.768,1.0
40,316.617,184.134,1.0,317.889,200.856,1.0,319.895,209.416,1.0,321.397,223.029,1.0,318.102,236.214,1.0,317.441,261.366,1.0,318.966,275.583,1.0,319.545,296.616,1.0,319.437,314.733,1.0,318.924,331.063,1.0,324.099,348.181,1.0,321.128,359.886,1.0
41,316.599,184.1,1.0,317.771,200.951,1.0,319.763,209.507,1.0,321.254,223.113,1.0,317.97,236.159,1.0,317.33,261.378,1.0,318.859,275.562,1.0,319.61,296.608,1.0,319.48,314.81,1.0,318.785,324.118,1.0,323.991,348.405,1.0,321.135,359.865,1.0
42,316.596,184.101,1.0,317.753,200.881,1.0,319.783,209.672,1.0,321.13,223.293,1.0,317.775,236.251,1.0,317.331,261.412,1.0,318.948,275.619,1.0,319.629,296.647,1.0,319.454,314.817,1.0,318.849,324.244,1.0,323.77,348.559,1.0,321.086,359.983,1.0
43,316.617,184.052,1.0,317.858,200.872,1.0,319.883,209.343,1.0,321.249,223.059,1.0,318.016,236.152,1.0,317.339,261.422,1.0,318.982,275.502,1.0,319.615,296.627,1.0,319.421,314.856,1.0,318.78,324.294,1.0,323.699,348.712,1.0,321.062,359.89,1.0
44,316.659,184.135,1.0,317.806,200.905,1.0,319.883,209.451,1.0,321.301,223.126,1.0,317.966,236.101,1.0,317.274,261.365,1.0,318.902,275.333,1.0,319.658,296.501,1.0,319.39,314.786,1.0,318.742,324.266,1.0,323.606,348.692,1.0,321.025,359.965,1.0
45,316.659,184.193,1.0,317.81,200.958,1.0,319.817,209.558,1.0,321.13,223.316,1.0,317.847,236.213,1.0,317.142,261.464,1.0,318.684,275.647,1.0,319.699,296.575,1.0,319.349,314.966,1.0,318.667,324.333,1.0,323.592,348.809,1.0,321.041,360.037,1.0
46,316.706,184.144,1.0,317.811,201.005,1.0,319.82,209.569,1.0,321.003,223.54,1.0,317.772,236.221,1.0,316.99,261.747,1.0,318.677,275.728,1.0,319.798,296.695,1.0,319.314,315.023,1.0,318.638,324.283,1.0,323.589,348.898,1.0,321.009,360.045,1.0
47,316.683,184.295,1.0,317.788,201.081,1.0,319.754,209.78,1.0,320.881,223.764,1.0,317.613,236.426,1.0,316.987,261.951,1.0,318.717,276.082,1.0,319.876,297.184,1.0,319.255,315.144,1.0,318.692,324.534,1.0,323.566,349.08,1.0,321.067,360.165,1.0
48,316.719,184.054,1.0,317.85,200.967,1.0,319.915,209.425,1.0,321.39,223.328,1.0,318.007,236.499,1.0,316.916,261.433,1.0,322.405,278.536,1.0,319.601,296.591,1.0,319.132,315.306,1.0,318.964,323.76,1.0,323.835,348.74,1.0,318.531,361.802,1.0
49,316.73,184.171,1.0,317.904,201.044,1.0,319.846,209.583,1.0,321.395,223.273,1.0,317.944,236.458,1.0,316.878,261.428,1.0,322.512,278.437,1.0,319.615,296.546,1.0,319.1,315.339,1.0,318.825,323.604,1.0,323.84,348.606,1.0,318.609,361.887,1.0
50,316.715,184.236,1.0,317.875,201.085,1.0,319.853,209.554,1.0,321.518,223.252,1.0,318.057,236.581,1.0,316.984,261.337,1.0,318.333,276.37,1.0,319.668,296.5,1.0,319.276,315.15,1.0,318.901,323.638,1.0,323.904,348.555,1.0,321.119,360.07,1.0
51,316.691,184.297,1.0,317.845,201.102,1.0,319.882,209.605,1.0,321.367,223.317,1.0,318.009,236.423,1.0,316.891,261.232,1.0,322.578,278.254,1.0,319.533,296.445,1.0,319.121,315.175,1.0,318.847,323.799,1.0,323.894,348.747,1.0,321.215,360.183,1.0
52,316.743,184.361,1.0,317.905,201.125,1.0,319.935,209.804,1.0,321.307,223.6,1.0,317.877,236.608,1.0,316.934,261.477,1.0,322.467,278.552,1.0,319.575,296.725,1.0,319.043,315.401,1.0,318.698,323.915,1.0,323.769,349.096,1.0,321.34,360.186,1.0
53,316.698,184.215,1.0,317.857,200.962,1.0,320.015,209.518,1.0,321.454,223.544,1.0,317.894,236.47,1.0,316.802,261.333,1.0,322.491,278.448,1.0,319.6,296.608,1.0,319.071,315.313,1.0,318.649,323.736,1.0,323.826,349.154,1.0,321.175,360.174,1.0
54,316.646,184.223,1.0,317.842,200.979,1.0,319.902,209.508,1.0,321.365,223.601,1.0,317.803,236.473,1.0,316.878,261.446,1.0,322.309,278.6,1.0,319.688,296.818,1.0,319.154,315.578,1.0,318.733,323.929,1.0,323.834,349.118,1.0,321.331,360.247,1.0
55,316.664,184.231,1.0,317.876,201.0,1.0,319.979,209.461,1.0,321.531,223.437,1.0,317.929,236.399,1.0,316.816,261.399,1.0,322.396,278.506,1.0,319.647,296.735,1.0,319.078,315.489,1.0,318.749,323.941,1.0,323.983,349.171,1.0,321.392,360.205,1.0
56,316.675,184.284,1.0,317.96,201.106,1.0,319.975,209.733,1.0,321.26,223.909,1.0,317.712,236.626,1.0,316.688,261.679,1.0,322.386,278.657,1.0,319.666,296.722,1.0,319.127,315.528,1.0,318.817,324.125,1.0,323.963,349.287,1.0,321.425,360.296,1.0
57,316.65,184.315,1.0,317.812,201.026,1.0,319.954,209.782,1.0,321.283,223.857,1.0,317.735,236.622,1.0,316.855,261.594,1.0,322.32,278.7,1.0,319.681,296.697,1.0,319.145,315.504,1.0,318.775,324.153,1.0,323.896,349.21,1.0,321.406,360.295,1.0
58,316.662,184.323,1.0,317.843,201.126,1.0,319.981,209.884,1.0,321.258,223.813,1.0,317.642,236.608,1.0,316.819,261.577,1.0,322.275,278.728,1.0,319.71,296.798,1.0,319.167,315.575,1.0,318.826,324.184,1.0,323.83,349.209,1.0,321.35,360.263,1.0
59,316.654,184.332,1.0,317.829,201.101,1.0,320.008,209.896,1.0,321.27,223.722,1.0,317.665,236.601,1.0,316.952,261.47,1.0,318.258,276.161,1.0,319.635,296.667,1.0,319.234,315.3,1.0,318.886,324.05,1.0,323.867,349.204,1.0,321.381,360.321,1.0
60,316.715,184.165,1.0,317.894,200.957,1.0,319.631,209.751,1.0,321.176,223.356,1.0,317.637,236.341,1.0,316.924,261.339,1.0,318.597,275.396,1.0,319.901,296.238,1.0,319.905,314.865,1.0,319.433,331.369,1.0,323.647,348.711,1.0,321.208,359.996,1.0
61,316.727,184.189,1.0,317.904,201.02,1.0,319.584,209.71,1.0,321.066,223.361,1.0,317.705,236.431,1.0,317.028,261.536,1.0,318.682,275.598,1.0,319.665,296.512,1.0,319.496,314.969,1.0,319.177,331.416,1.0,323.484,348.782,1.0,321.217,360.063,1.0
62,316.692,184.204,1.0,317.884,200.893,1.0,319.647,209.587,1.0,321.255,223.068,1.0,317.862,236.295,1.0,317.031,261.299,1.0,318.543,275.343,1.0,319.632,296.279,1.0,319.609,314.748,1.0,319.103,331.132,1.0,323.6,348.674,1.0,321.347,359.941,1.0
63,316.62,184.241,1.0,317.871,200.978,1.0,319.745,209.68,1.0,321.299,223.158,1.0,317.877,236.162,1.0,317.014,261.299,1.0,318.541,275.458,1.0,319.663,296.443,1.0,319.58,314.893,1.0,319.221,331.25,1.0,323.632,348.679,1.0,321.346,359.949,1.0
64,316.71,184.326,1.0,317.943,201.024,1.0,319.888,209.768,1.0,321.268,223.289,1.0,317.926,236.198,1.0,317.041,261.467,1.0,318.726,275.637,1.0,319.657,296.685,1.0,319.543,315.065,1.0,318.805,323.885,1.0,323.543,349.028,1.0,321.204,360.069,1.0
65,316.693,184.182,1.0,317.905,201.022,1.0,319.899,209.638,1.0,321.322,223.246,1.0,317.935,236.202,1.0,316.959,261.362,1.0,318.589,275.433,1.0,319.623,296.538,1.0,319.491,314.894,1.0,319.261,331.32,1.0,323.589,348.824,1.0,321.252,359.951,1.0
66,316.708,184.143,1.0,317.896,200.868,1.0,319.914,209.623,1.0,321.258,223.27,1.0,317.883,236.248,1.0,316.948,261.281,1.0,318.597,275.359,1.0,319.53,296.338,1.0,319.445,314.815,1.0,319.237,331.36,1.0,323.629,348.896,1.0,318.808,361.388,1.0
67,316.7,184.142,1.0,317.843,200.913,1.0,319.787,209.711,1.0,321.107,223.344,1.0,317.757,236.389,1.0,316.933,261.342,1.0,318.486,275.521,1.0,319.673,296.079,1.0,319.7,314.646,1.0,319.075,331.171,1.0,323.57,348.699,1.0,318.719,361.344,1.0
68,316.699,184.129,1.0,317.9,200.984,1.0,319.878,209.681,1.0,321.174,223.39,1.0,317.796,236.358,1.0,316.974,261.508,1.0,318.761,275.682,1.0,319.744,296.421,1.0,319.594,314.814,1.0,319.175,331.286,1.0,323.537,348.77,1.0,321.359,359.859,1.0
69,316.707,184.172,1.0,317.898,200.991,1.0,319.817,209.768,1.0,321.136,223.387,1.0,317.736,236.372,1.0,316.987,261.59,1.0,318.739,275.758,1.0,319.757,296.51,1.0,319.52,314.984,1.0,319.134,331.468,1.0,323.55,348.743,1.0,321.342,359.799,1.0
70,316.595,184.022,1.0,317.775,200.807,1.0,319.9,209.39,1.0,321.216,223.201,1.0,317.956,236.19,1.0,316.89,261.497,1.0,318.708,275.652,1.0,319.739,296.444,1.0,319.555,314.907,1.0,319.176,331.397,1.0,323.674,348.939,1.0,321.344,359.834,1.0
71,316.577,183.998,1.0,317.795,200.822,1.0,319.912,209.246,1.0,321.324,223.114,1.0,318.101,236.086,1.0,316.831,261.227,1.0,318.65,275.554,1.0,319.693,296.502,1.0,319.487,314.871,1.0,319.201,331.411,1.0,323.869,348.627,1.0,321.502,359.832,1.0
72,316.726,183.872,1.0,317.806,200.961,1.0,319.872,209.661,1.0,321.153,223.597,1.0,317.561,236.361,1.0,316.736,261.493,1.0,318.295,276.361,1.0,320.128,296.849,1.0,319.805,315.146,1.0,319.553,331.201,1.0,324.245,348.598,1.0,321.333,360.025,1.0
73,316.692,183.875,1.0,317.786,200.909,1.0,319.897,209.573,1.0,321.165,223.458,1.0,317.609,236.236,1.0,316.694,261.335,1.0,318.347,276.075,1.0,320.07,296.737,1.0,319.853,315.047,1.0,319.567,331.237,1.0,324.187,348.745,1.0,321.328,360.068,1.0
74,316.653,183.936,1.0,317.789,200.954,1.0,319.955,209.716,1.0,321.097,223.596,1.0,317.59,236.326,1.0,316.65,261.49,1.0,322.688,278.66,1.0,319.928,296.596,1.0,319.7,314.965,1.0,319.371,330.994,1.0,324.399,348.619,1.0,321.42,360.095,1.0
75,316.642,183.923,1.0,317.723,201.057,1.0,319.839,209.539,1.0,321.307,223.334,1.0,317.622,236.162,1.0,316.616,261.227,1.0,322.877,278.336,1.0,319.913,296.362,1.0,319.795,314.726,1.0,319.54,331.017,1.0,324.382,348.683,1.0,321.345,360.113,1.0
