scorer,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000,DLC_mobnet_75_PkPpEnetCh02Jun24shuffle2_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,139.922,307.863,0.9850000143051147,123.55,420.002,0.9860000014305115,116.002,532.154,0.9980000257492065,107.728,660.04,0.9869999885559082,99.761,779.743,0.9940000176429749,99.328,891.462,0.9940000176429749,98.972,1003.763,0.972000002861023,98.868,1123.424,0.996999979019165,98.988,1235.983,0.9990000128746033,106.617,1364.193,0.996999979019165,115.239,1451.942,0.9869999885559082
1,139.925,307.872,0.984000027179718,123.522,420.02,0.9860000014305115,116.057,532.257,0.996999979019165,107.829,651.776,0.9760000109672546,99.935,779.902,0.9909999966621399,99.476,891.608,0.9940000176429749,99.014,1003.756,0.9610000252723694,99.118,1115.635,0.9890000224113464,98.874,1243.753,0.9919999837875366,106.662,1364.449,0.996999979019165,115.193,1451.912,0.9869999885559082
2,139.929,307.807,0.984000027179718,123.541,419.969,0.9860000014305115,116.048,532.04,0.9980000257492065,107.692,660.12,0.9909999966621399,99.553,779.779,0.9929999709129333,99.286,884.829,0.9980000257492065,99.023,1003.782,0.9570000171661377,99.171,1115.633,0.9879999756813049,98.933,1243.782,0.9919999837875366,106.68,1364.515,0.996999979019165,115.168,1451.932,0.9869999885559082
3,132.163,307.908,0.9879999756813049,123.792,412.043,0.9760000109672546,116.033,532.354,0.996999979019165,107.689,660.4,0.9890000224113464,99.505,787.976,0.996999979019165,99.07,884.52,0.9980000257492065,99.025,1003.776,0.9580000042915344,99.217,1115.65,0.9879999756813049,98.902,1243.762,0.9919999837875366,106.908,1364.993,0.996999979019165,115.219,1451.967,0.9869999885559082
4,139.911,307.776,0.9879999756813049,123.788,412.081,0.9710000157356262,116.093,531.945,0.9980000257492065,107.762,660.624,0.9729999899864197,99.516,779.708,0.9929999709129333,99.028,884.596,0.9980000257492065,99.015,1003.794,0.9629999995231628,99.079,1123.518,0.9980000257492065,98.815,1243.765,0.9929999709129333,106.767,1364.79,0.996999979019165,115.204,1451.948,0.9869999885559082
5,139.907,307.743,0.984000027179718,123.551,420.015,0.9819999933242798,116.074,531.993,0.9980000257492065,107.764,660.587,0.9570000171661377,99.67,779.729,0.9940000176429749,99.495,884.796,0.996999979019165,98.967,1003.781,0.9700000286102295,99.243,1115.665,0.9879999756813049,98.826,1243.769,0.9929999709129333,107.215,1365.518,0.996999979019165,115.196,1452.002,0.9879999756813049
6,139.921,307.796,0.9850000143051147,123.567,420.022,0.9810000061988831,116.01,531.884,0.9980000257492065,107.745,660.538,0.9769999980926514,99.721,779.71,0.9940000176429749,99.542,884.805,0.996999979019165,99.01,1003.792,0.9620000123977661,99.29,1115.682,0.9879999756813049,98.814,1243.768,0.9929999709129333,107.27,1365.6,0.996999979019165,115.2,1451.992,0.9879999756813049
7,139.908,307.756,0.9810000061988831,123.821,412.077,0.9670000076293945,115.92,524.187,0.9959999918937683,107.789,660.593,0.9710000157356262,99.528,779.746,0.9929999709129333,99.427,884.427,0.9980000257492065,99.024,1003.801,0.9599999785423279,99.275,1115.672,0.9879999756813049,98.807,1243.768,0.9929999709129333,107.22,1365.525,0.996999979019165,115.213,1451.999,0.9879999756813049
8,139.891,307.761,0.9779999852180481,123.805,412.071,0.968999981880188,116.042,524.223,0.9929999709129333,107.744,660.585,0.9860000014305115,99.584,779.703,0.9929999709129333,99.397,884.486,0.996999979019165,99.061,1003.822,0.9470000267028809,99.26,1115.676,0.9890000224113464,98.844,1243.784,0.9929999709129333,106.947,1365.065,0.996999979019165,115.279,1452.0,0.9879999756813049
9,139.93,307.821,0.9860000014305115,123.576,420.018,0.9800000190734863,115.89,524.19,0.9959999918937683,107.718,660.448,0.9900000095367432,99.628,779.718,0.9929999709129333,99.288,884.587,0.9980000257492065,99.051,1003.765,0.9449999928474426,99.166,1115.662,0.9879999756813049,98.624,1251.282,0.9980000257492065,106.547,1364.596,0.996999979019165,115.275,1451.954,0.9869999885559082
10,139.905,307.756,0.9789999723434448,123.568,420.099,0.9769999980926514,115.922,524.191,0.9950000047683716,107.771,660.462,0.984000027179718,99.955,779.767,0.9929999709129333,99.377,884.587,0.9980000257492065,99.055,1003.787,0.9390000104904175,99.273,1115.688,0.9879999756813049,98.759,1251.103,0.9980000257492065,106.467,1364.449,0.996999979019165,115.251,1451.907,0.9869999885559082
11,139.91,307.779,0.9769999980926514,123.815,412.114,0.9700000286102295,115.901,524.176,0.9950000047683716,107.784,660.499,0.9810000061988831,100.058,779.812,0.9929999709129333,99.526,884.518,0.996999979019165,98.97,1003.749,0.9549999833106995,99.181,1115.666,0.9879999756813049,98.737,1251.111,0.9980000257492065,106.432,1364.554,0.9980000257492065,115.282,1451.952,0.9879999756813049
12,139.902,307.778,0.9819999933242798,123.845,412.068,0.972000002861023,115.904,524.128,0.9959999918937683,107.778,660.472,0.9869999885559082,100.226,772.455,0.9980000257492065,99.541,884.433,0.996999979019165,98.997,1003.789,0.9430000185966492,99.19,1115.665,0.9879999756813049,99.015,1243.818,0.9929999709129333,106.224,1364.091,0.996999979019165,115.247,1451.931,0.9879999756813049
13,139.912,307.809,0.9819999933242798,123.812,412.08,0.972000002861023,116.035,532.011,0.9980000257492065,107.751,660.456,0.9900000095367432,99.72,779.764,0.9929999709129333,99.423,884.454,0.996999979019165,98.409,996.167,0.9350000023841858,99.171,1115.655,0.9879999756813049,98.718,1251.132,0.9990000128746033,106.221,1364.078,0.996999979019165,115.196,1451.897,0.9879999756813049
