scorer,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point10,point10,point11,point11,point12,point12,point2,point2,point3,point3,point4,point4,point5,point5,point6,point6,point7,point7,point8,point8,point9,point9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
75,2.6168430200849055,1.0,1.837729708552309,1.0,0.9936162295227892,1.0,0.7937345482436564,1.0,0.8556489718261899,1.0,1.5259044054343072,1.0,0.13410246529548153,1.0,1.4043947912314507,1.0,2.1808140543400216,1.0,1.6998166660411955,1.0,1.6724025890387726,1.0,3.012829213322092,1.0
76,2.257422370522248,1.0,2.957851458075075,1.0,1.4194249041797664,1.0,2.1875661970507396,1.0,1.4646169563188962,1.0,0.9662575274083589,1.0,1.8902929451886212,1.0,0.07435340207944519,1.0,1.262456924972959,1.0,0.7958459813194643,1.0,1.459776956052451,1.0,2.222706214684582,1.0
77,2.296731728206095,1.0,0.697268793185979,1.0,2.28390672030434,1.0,0.39081919006040133,1.0,1.9627890106745394,1.0,0.8679480827916368,1.0,1.2379894316668363,1.0,0.16142530148917755,1.0,1.4122703159262784,1.0,0.8669601328513621,1.0,2.2988818408944773,1.0,1.6481256635489596,1.0
78,1.4603000060152003,1.0,1.3936990927879032,1.0,1.5139399804285365,1.0,0.8393173087944823,1.0,0.925070297242615,1.0,1.0903433623273955,1.0,1.7091935886655847,1.0,0.8596182344428688,1.0,0.9654121804306673,1.0,1.1958862422790348,1.0,1.6497708223593912,1.0,2.332155040638501,1.0
79,1.7676212594879288,1.0,1.3647344312521412,1.0,1.3242393809150095,1.0,2.97248494396975,1.0,0.3927319754214379,1.0,2.1807998148022865,1.0,1.3337488489069584,1.0,0.5384741375007723,1.0,1.2463310158637935,1.0,0.4563886563837112,1.0,0.698264684505072,1.0,0.3883056369562174,1.0
80,2.0701081659239633,1.0,1.468378619342951,1.0,0.6874526081066216,1.0,2.589980182133357,1.0,1.6601412193809875,1.0,0.77715588041437,1.0,2.011682514165114,1.0,1.253577288651906,1.0,0.6344970322918638,1.0,0.8468176169720175,1.0,0.5135382458357098,1.0,1.0624915959605217,1.0
81,2.362838145740286,1.0,0.9974379077507656,1.0,1.423026279136918,1.0,2.5816411085360826,1.0,1.0435226020694908,1.0,0.3757181033906331,1.0,1.6606544258631117,1.0,1.8891249320375043,1.0,1.3538895738623788,1.0,0.7548145075783007,1.0,1.6041110946854806,1.0,0.5232646356037494,1.0
82,2.386676562624293,1.0,0.9579850128001737,1.0,1.31399562567107,1.0,0.789041010676881,1.0,0.9034086347468759,1.0,0.9210526105022258,1.0,1.4565302157095972,1.0,0.2481932237166277,1.0,1.832120987737253,1.0,0.6675110207812687,1.0,1.3577600351571286,1.0,2.1981565353354156,1.0
83,1.9280899726130998,1.0,1.2696472783806645,1.0,0.791717336409593,1.0,1.9053421482231112,1.0,1.6404136976491037,1.0,0.9801848501856549,1.0,1.1460260741825408,1.0,1.5148374733699141,1.0,0.4144278264917635,1.0,0.7050948750656435,1.0,0.7132084859622956,1.0,2.9114920497014256,1.0
84,1.450421747749052,1.0,0.5874898754652746,1.0,1.0496846912021707,1.0,1.9735300928784587,1.0,0.18274320519724577,1.0,0.16770790423103454,1.0,1.032164324767253,1.0,1.4089099442782742,1.0,2.71888860838774,1.0,1.2527910339059638,1.0,1.1311814177269437,1.0,2.1186996794047066,1.0
85,2.1346619393052975,1.0,0.4191636170860032,1.0,1.9759012483984106,1.0,1.4144525190509323,1.0,1.3109244345639326,1.0,0.5244029374272504,1.0,0.7014569780447208,1.0,1.726658833589463,1.0,0.7562980101024348,1.0,0.7543141754158028,1.0,0.5159672122612974,1.0,0.8897624261609727,1.0
86,2.069340957007564,1.0,1.3753532841753102,1.0,1.2100994841046329,1.0,0.9060229366792298,1.0,1.071898624569787,1.0,0.20001933036648054,1.0,1.4153500881968968,1.0,1.829565982151205,1.0,0.982788570596041,1.0,0.5469652790369521,1.0,1.3248019316454605,1.0,0.7414239144708108,1.0
87,1.5701585051024491,1.0,1.6771569321732245,1.0,1.8369113262315993,1.0,1.8395890109158342,1.0,0.7847097327129916,1.0,0.7038361215827214,1.0,1.0476340256617456,1.0,2.4086596825778663,1.0,0.7043831962215368,1.0,0.27899919670645806,1.0,0.9412521089719578,1.0,1.0804293965678087,1.0
88,2.7110562011032675,1.0,1.7982226584382695,1.0,1.577855987013258,1.0,0.8905538268415146,1.0,1.0428040746446934,1.0,2.1004300848566926,1.0,0.4167664203224269,1.0,2.362475556625911,1.0,0.981836702006936,1.0,0.17167496416614583,1.0,0.694804372695901,1.0,1.6421615332211585,1.0
89,1.5530710699945454,1.0,1.3244005588470193,1.0,1.2271764718887719,1.0,1.255306360220224,1.0,0.9989051122940148,1.0,1.2515968310540404,1.0,0.8452874073778502,1.0,2.458963155893481,1.0,0.2687564645703297,1.0,0.8226483696650618,1.0,2.120267350415057,1.0,1.2120994221496562,1.0
90,1.3149723811559249,1.0,1.4663949176501043,1.0,2.385104055524464,1.0,1.1342706617763623,1.0,1.1775070039302724,1.0,1.0255403501235545,1.0,1.883900345927896,1.0,0.9051013142029694,1.0,1.6617896773102816,1.0,1.2001500762614237,1.0,1.7281948527974869,1.0,1.3130713891547814,1.0
91,1.9137993735616665,1.0,1.3064559119161618,1.0,1.339422238233224,1.0,0.8295065175566111,1.0,1.769684557198725,1.0,0.7879856667487524,1.0,0.6745621106136289,1.0,2.3018349975263908,1.0,2.304586189575254,1.0,2.6576532570223987,1.0,3.438475709525682,1.0,1.3827996659567217,1.0
92,2.1614408892373547,1.0,1.1758836816678337,1.0,0.1411635927277815,1.0,0.5572505990998631,1.0,0.398582005033752,1.0,2.6874699910649866,1.0,1.508787828293416,1.0,2.586590861614408,1.0,1.0293251240925552,1.0,1.2068658325753145,1.0,0.9738428315985304,1.0,0.9261723703211203,1.0
93,2.758704459028935,1.0,2.2243492464476344,1.0,0.24999996251836273,1.0,3.2675445688998006,1.0,0.3908254649812061,1.0,1.6996536710173409,1.0,1.1128969653784737,1.0,1.7206992062741469,1.0,1.0372659220680263,1.0,1.3636456413382236,1.0,1.6927729089469166,1.0,0.41597978084029275,1.0
94,2.4501324296412417,1.0,0.9866366227424433,1.0,1.2200048384957667,1.0,1.8637508195573047,1.0,1.6881185298028312,1.0,1.6523462198133236,1.0,0.8981317998974431,1.0,0.687453078038054,1.0,1.023529689131747,1.0,1.36252809182595,1.0,0.7195549803970794,1.0,1.087860698439878,1.0
95,2.3223317662478125,1.0,1.401255853788333,1.0,1.0792551548924594,1.0,2.053127728082988,1.0,1.1638569116679298,1.0,1.4345645301720564,1.0,0.761995268110891,1.0,0.8237046589621003,1.0,2.0686927144029497,1.0,1.1683435061440288,1.0,2.939565690472738,1.0,1.8311475945560298,1.0
96,1.8055550570009269,1.0,1.294918359224913,1.0,1.1136435930376634,1.0,1.8302588719815265,1.0,1.9922152346244701,1.0,1.1663790257966675,1.0,0.1988066501541203,1.0,0.7003271449785712,1.0,1.4857603784366913,1.0,1.2351030198930322,1.0,1.301947574000056,1.0,1.8394830442976522,1.0
97,2.438969589704836,1.0,2.7497578103577696,1.0,0.7069568686665854,1.0,3.0802604361964914,1.0,2.526342604940539,1.0,1.649423488844886,1.0,1.0118220333749268,1.0,1.1416065083130136,1.0,1.450630036562892,1.0,1.4070955629590487,1.0,1.9953081074762782,1.0,0.4209876024493691,1.0
98,2.245206875655172,1.0,2.127205425269658,1.0,0.3960521217358472,1.0,3.7520158087473656,1.0,1.2327128400506173,1.0,1.4704039016799757,1.0,0.7942299556888331,1.0,1.1886014650056558,1.0,1.634696335893399,1.0,0.7747036463517221,1.0,1.5816387451223268,1.0,1.336786893625708,1.0
99,2.668714532184204,1.0,1.0095011315267923,1.0,1.422375298977832,1.0,2.2204565817817135,1.0,0.6916446923073626,1.0,1.1140458394106951,1.0,1.1264119352556954,1.0,1.8208645011607596,1.0,0.518227773805235,1.0,2.979896666817939,1.0,0.9345308807880693,1.0,0.8415439968022308,1.0
100,1.866023716814419,1.0,1.208051463013488,1.0,1.7166752797625544,1.0,1.519925162329321,1.0,1.3302378287205876,1.0,1.239089775653158,1.0,0.901291852905291,1.0,0.8639059118991642,1.0,2.333367989387839,1.0,2.6893882089810663,1.0,0.2691419402349824,1.0,1.892210759732929,1.0
101,1.9414542071888488,1.0,1.780960468253008,1.0,0.9065673164866497,1.0,1.1110929477133482,1.0,0.31882526760990365,1.0,1.160219606783226,1.0,1.1533003153170451,1.0,0.7349070906504067,1.0,1.221979996854106,1.0,2.0433814737731826,1.0,1.5080649016213605,1.0,1.6380934676681578,1.0
102,1.2178749199113779,1.0,2.2363330058162245,1.0,0.09541846619098074,1.0,1.0308940260314328,1.0,1.7501052741370937,1.0,0.376124439360236,1.0,0.8451038938506216,1.0,1.1505128770193402,1.0,1.5930542905729095,1.0,1.7427657657442126,1.0,1.4377291883051078,1.0,1.6698199344619589,1.0
103,1.1428105394753576,1.0,2.556672752129288,1.0,0.5158637637212397,1.0,2.8201048580793344,1.0,1.1491848694574693,1.0,0.9666429943974602,1.0,1.6806536123925082,1.0,2.663413406400973,1.0,1.6657092855044877,1.0,0.7659830749221878,1.0,1.035733407571631,1.0,1.753859708937151,1.0
104,1.496050107638398,1.0,1.2067011740909022,1.0,0.1042755906309058,1.0,1.4009787437378098,1.0,1.2363786064460927,1.0,0.9792316056215963,1.0,0.8068614931431367,1.0,2.9302916221708073,1.0,1.7058425177548768,1.0,0.6068065124943259,1.0,0.6113877847155419,1.0,2.542040246000104,1.0
105,1.349946834177446,1.0,1.533295141154301,1.0,0.6452323953147634,1.0,1.448217676519621,1.0,0.39764365993620726,1.0,0.9546817551761042,1.0,1.3982472673998294,1.0,1.3748141802673892,1.0,1.4724267033423852,1.0,0.8787905349383845,1.0,0.15416384169981548,1.0,1.854879162947221,1.0
106,1.8430235812805051,1.0,0.9505093742566979,1.0,1.5304282847344348,1.0,1.0860542958742165,1.0,1.4426946883781069,1.0,0.663834827274459,1.0,0.6960183391542668,1.0,1.4056329515869543,1.0,1.2657936726347516,1.0,0.7369248744906971,1.0,1.0022739807197878,1.0,1.977306897598132,1.0
107,1.6141300563945016,1.0,0.14127695456270117,1.0,0.4523039191319729,1.0,1.6610590912902665,1.0,0.44009519679359016,1.0,0.44627032460789673,1.0,0.3836091978722148,1.0,1.8801619564584116,1.0,1.2688170425886602,1.0,0.9426505470931836,1.0,1.2048113371312572,1.0,1.8816062440933972,1.0
108,1.6085775723246054,1.0,0.8430850524796074,1.0,0.8551020339190158,1.0,0.7808273262436001,1.0,0.9331124714133219,1.0,1.542968045641518,1.0,0.7698215911477777,1.0,1.6271210941090748,1.0,2.9844356405952674,1.0,1.0099776068353086,1.0,1.0132556445187741,1.0,2.1904527913017184,1.0
109,1.3566069418758595,1.0,1.7103071953268971,1.0,0.32076245378700485,1.0,0.8627502562145845,1.0,1.3634405866143522,1.0,1.714912347213924,1.0,0.3195976499290647,1.0,1.6873095725615022,1.0,2.069023741260744,1.0,0.9445800372838173,1.0,1.2638011661708,1.0,1.4206181692797113,1.0
110,1.5088229885381095,1.0,0.9615871709871929,1.0,1.2509058802577326,1.0,1.2566872571931398,1.0,0.8650016690804215,1.0,1.0301792154289102,1.0,0.5015638799311235,1.0,2.454923356844345,1.0,2.204010700390624,1.0,0.8360808254946241,1.0,1.3847056256401462,1.0,2.009475935958966,1.0
111,1.5798697019222596,1.0,0.5259341357158502,1.0,0.6797518806202868,1.0,1.4064730621969266,1.0,1.9608656540640006,1.0,0.8921610892156718,1.0,1.3974366201553827,1.0,0.9383340450345073,1.0,1.9180341340336209,1.0,1.9765058723925448,1.0,1.18245132131571,1.0,4.258383784548184,1.0
112,1.998737227746894,1.0,0.5139181497039043,1.0,1.9784911909729201,1.0,0.7008008354362706,1.0,0.8547832325298966,1.0,0.41500494939447236,1.0,1.288806409362011,1.0,0.7531646584887026,1.0,3.7094477487011925,1.0,1.5709233209673288,1.0,1.1257873681174584,1.0,1.3851084185771927,1.0
113,1.35044921162603,1.0,0.2516477957931135,1.0,2.8678481574276344,1.0,2.9924626681454987,1.0,1.1347027423017295,1.0,0.8459972815840991,1.0,0.11988512574187463,1.0,1.839412998079703,1.0,1.6247526016696174,1.0,2.350204155045283,1.0,2.5384118628628003,1.0,2.059239537976334,1.0
114,1.6396502618527635,1.0,0.5075665796990804,1.0,0.6532089077556494,1.0,0.8828720095155277,1.0,0.7544057049935127,1.0,1.102091423320671,1.0,0.892697028855432,1.0,1.9933902875420322,1.0,1.8910025892964346,1.0,0.8309713706868073,1.0,2.0257100111210122,1.0,1.7445546277527721,1.0
115,1.6455230663416591,1.0,2.1510872545627695,1.0,1.413405331169566,1.0,0.8603701255655709,1.0,1.8602496974835774,1.0,0.7470413815408375,1.0,1.6606333704504395,1.0,1.8394174785227968,1.0,1.7282423463649463,1.0,1.0610358506452966,1.0,1.003330431299332,1.0,1.0957123688989634,1.0
116,1.6292218123800362,1.0,1.8726565361091831,1.0,1.7603921813623933,1.0,1.3215549903904444,1.0,0.8524317609917395,1.0,0.6171317187204609,1.0,0.7877465249609126,1.0,0.5933679905220192,1.0,1.8767720385501832,1.0,0.9227813716505315,1.0,0.743740631996677,1.0,2.015383765594298,1.0
117,2.1250023077545075,1.0,0.9866164154195659,1.0,1.7498837035516828,1.0,1.5825275927499962,1.0,0.3752810545330264,1.0,0.7641781857951607,1.0,1.5672035617233537,1.0,1.4825824652194861,1.0,1.9200814647901872,1.0,1.2090216834188414,1.0,0.6954843301398094,1.0,1.3282005136357165,1.0
118,1.5359900344988342,1.0,1.0909606783850538,1.0,0.6372030470889656,1.0,0.9905019485501979,1.0,0.21101849415897111,1.0,1.0820005430904307,1.0,2.1438958118862286,1.0,0.532330851333448,1.0,1.992140447088526,1.0,0.8742231408094883,1.0,1.648287933898521,1.0,3.4140925490150082,1.0
119,1.6262985962791041,1.0,0.9127461533989307,1.0,1.677777575856983,1.0,0.8067330409724274,1.0,0.7983451938518845,1.0,0.20706595140284068,1.0,1.1061050465189617,1.0,0.4174903176189607,1.0,2.6595291676917037,1.0,1.0925289832349836,1.0,1.995377208990393,1.0,0.9288115792010618,1.0
120,1.6853530257615128,1.0,1.188851757460244,1.0,1.2842208187144453,1.0,1.2293913386117001,1.0,1.1267651704958266,1.0,1.2588123724683877,1.0,0.6927564255205431,1.0,0.8627966066414452,1.0,2.1472722924009764,1.0,1.4211863555998032,1.0,2.2574488641282975,1.0,0.5905992984588957,1.0
121,1.7378348797447354,1.0,1.1523864393035905,1.0,2.902941158311238,1.0,0.8047179552031397,1.0,0.6472150201446573,1.0,0.5184042393381845,1.0,0.7026525791318289,1.0,2.4443808390274078,1.0,1.6640011624905235,1.0,2.060131389554392,1.0,0.3058218702954456,1.0,1.838703223360683,1.0
122,1.7464818917088514,1.0,1.9537950985171173,1.0,0.9093409700765119,1.0,1.1747495013389029,1.0,1.0589745688822658,1.0,0.17010378699957893,1.0,0.47530409953141234,1.0,0.6785284614663584,1.0,1.2394259209920702,1.0,2.838247949830862,1.0,0.9962725352766781,1.0,1.8457876860645872,1.0
123,1.0659792896320612,1.0,4.3236676642446,1.0,2.1942721548744633,1.0,0.10514666434699606,1.0,3.2093776327471253,1.0,1.3761720392320043,1.0,1.4749242406545284,1.0,1.3112839770312252,1.0,2.1691970720534757,1.0,1.8687629040837486,1.0,2.8906971493966527,1.0,1.7292935715066255,1.0
124,0.7703958801004281,1.0,1.219913337930504,1.0,1.0316802883611567,1.0,2.18672666987285,1.0,0.7263159066436659,1.0,1.8407580588190418,1.0,1.0627336670153777,1.0,1.6297156436678373,1.0,1.0847951703414205,1.0,2.0280042343482485,1.0,0.18683740941321672,1.0,1.057936517588043,1.0
125,0.7817989425048976,1.0,2.1085281596753207,1.0,3.2797790131916806,1.0,0.9134521455318425,1.0,1.4297247695433397,1.0,1.0954152092577645,1.0,0.496876721239108,1.0,1.704832121896675,1.0,2.2091500286819836,1.0,2.0833856524605623,1.0,1.0797400752406074,1.0,2.280522155749115,1.0
126,0.8145638533206366,1.0,0.7822727415716579,1.0,1.8579687244759389,1.0,1.694489755301321,1.0,1.5818145847136837,1.0,1.336699515503695,1.0,0.4381828290375153,1.0,0.3618117558431591,1.0,1.1035632276127285,1.0,1.525249529040782,1.0,1.6249920932800703,1.0,3.0156783724919998,1.0
127,0.3604542419378118,1.0,3.019292803324702,1.0,2.250059787169145,1.0,1.6805125870314508,1.0,1.0064580928492974,1.0,2.43903160039927,1.0,1.4881065305571104,1.0,2.624007159880452,1.0,0.46999378606845843,1.0,2.584016432980074,1.0,1.8653617482904148,1.0,1.6988456047169778,1.0
