scorer,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point10,point10,point11,point11,point12,point12,point2,point2,point3,point3,point4,point4,point5,point5,point6,point6,point7,point7,point8,point8,point9,point9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
14,1.5795526092273715,1.0,2.3003784796443534,1.0,1.3379961433043304,1.0,0.44803239349384744,1.0,0.4568517242716756,1.0,0.5889043580552608,1.0,0.10075839771677467,1.0,2.550181649838627,1.0,2.6565758717204515,1.0,0.20817118997202924,1.0,1.533538782487822,1.0,2.3106185569105873,1.0
15,1.1851500877923453,1.0,2.4796331430791936,1.0,1.2031676260878565,1.0,0.5824657108434118,1.0,0.5597320362235528,1.0,1.1268134155673177,1.0,0.3762562533586476,1.0,1.865161087315002,1.0,2.374852517089257,1.0,0.9872050706142815,1.0,1.9199751146228718,1.0,1.845953560572104,1.0
16,2.322765326569943,1.0,2.63635717947968,1.0,0.6038676152908152,1.0,0.9703423839717651,1.0,0.31551812582168365,1.0,0.21438725664350103,1.0,0.3835004784102577,1.0,1.6507049277470522,1.0,2.0074731381687188,1.0,1.3814696632202266,1.0,1.5816159800382823,1.0,2.8947850015407814,1.0
17,1.7255908093845493,1.0,2.2766571342649016,1.0,1.8944893760225083,1.0,1.2969237232659148,1.0,0.6306144621316838,1.0,0.6654684475932632,1.0,0.8920872456354693,1.0,2.481583174340073,1.0,1.7103645486592307,1.0,0.8572376433962479,1.0,1.0210816023597102,1.0,2.1584543608823177,1.0
18,2.339857732090569,1.0,1.3795875099207198,1.0,1.2328775563138656,1.0,0.8586426576005245,1.0,0.46948244907347497,1.0,0.7230144881259762,1.0,0.5559145164418847,1.0,1.6933294610830996,1.0,1.3643499865899364,1.0,0.03644646730974469,1.0,2.8340493270471336,1.0,2.837957531301415,1.0
19,1.8973299751360548,1.0,0.8096450204571991,1.0,0.7121379347468542,1.0,1.0106958314940937,1.0,0.7120271575233821,1.0,0.3602089597660464,1.0,0.44434193600518007,1.0,1.6619085062750254,1.0,1.3135228639690129,1.0,0.06396953055611711,1.0,3.0524888564957258,1.0,2.630441384417583,1.0
20,2.371254005478537,1.0,0.6047669348453235,1.0,0.4172805767406865,1.0,0.958771633102243,1.0,1.2393895647890545,1.0,0.787235745075253,1.0,0.3368308793085568,1.0,1.4011775136415217,1.0,1.6176444622615431,1.0,0.3147100296938216,1.0,2.740341239101956,1.0,2.596874721430028,1.0
21,1.4664687975435988,1.0,1.0201862088068787,1.0,1.0348545961017237,1.0,0.8370751762923246,1.0,0.8476200885800818,1.0,0.6475261565356834,1.0,0.6231669771325816,1.0,1.7020886258813237,1.0,1.5910832796865275,1.0,0.2259005723060238,1.0,3.11268658565259,1.0,1.6237813948742044,1.0
22,1.039976866321178,1.0,1.575345353447444,1.0,0.7572767326505276,1.0,0.9586490371823491,1.0,0.8998751880230218,1.0,1.0100879719898155,1.0,0.4644965436074719,1.0,1.6835973485588422,1.0,1.458121197886383,1.0,0.43336235075528917,1.0,3.4247303655120476,1.0,2.4200065455932673,1.0
23,1.3365223877745778,1.0,0.36162651987167965,1.0,0.40192921694476336,1.0,0.9584251394493973,1.0,0.9381005986650329,1.0,0.8664466701189608,1.0,0.6219688312341343,1.0,2.9595664708267964,1.0,1.2221179029248863,1.0,0.8021354336065698,1.0,3.0918824300391985,1.0,2.7723871099454036,1.0
