scorer,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
16,0.8846637470591183,1.0,1.4531599114961018,1.0,1.1108946149901224,1.0,0.4757514148939207,1.0,0.8355325099556259,1.0,0.15275968208071988,1.0,0.8065961119718807,1.0,1.303147661225015,1.0,1.553264221213394,1.0,1.6911059191736002,1.0,1.9266037602372563,1.0,0.2503410294962117,1.0
17,0.8323844749336995,1.0,0.9270937573946769,1.0,1.3385113366112844,1.0,1.9577925815023391,1.0,0.8427996425878707,1.0,0.22841347851538657,1.0,1.0727552715158075,1.0,0.9985336573674768,1.0,1.1848773246567517,1.0,1.2311205258131093,1.0,0.9921656624658426,1.0,1.2711360046771587,1.0
18,0.8584021101240018,1.0,1.6370942744542827,1.0,2.349784988019975,1.0,0.8177925890419842,1.0,0.8653804047888628,1.0,0.5745550203267576,1.0,1.1785637691137842,1.0,0.9552102568763489,1.0,0.7229510748753922,1.0,2.0552072044973584,1.0,2.715849954869362,1.0,1.9713561087844007,1.0
19,0.8825290789789708,1.0,1.5402855055440015,1.0,1.9675137524011643,1.0,1.3546244652495585,1.0,0.9049222836658171,1.0,0.4265566725744988,1.0,2.169820404244624,1.0,1.5672086205556144,1.0,0.4290518329867516,1.0,2.7053104416080305,1.0,1.6494976500995946,1.0,0.3959716099650101,1.0
20,0.7376269508381819,1.0,1.7000257684506341,1.0,1.9945592075375105,1.0,1.7854969808725611,1.0,0.7163751787478057,1.0,0.42311083069391914,1.0,2.172370787276099,1.0,0.7925517712355051,1.0,1.3632130588860356,1.0,0.9027569866478745,1.0,1.1692879868426946,1.0,1.9862127502844182,1.0
21,0.8979251234885403,1.0,0.668656485025397,1.0,2.232555076351695,1.0,0.6702057405792877,1.0,0.681330357482849,1.0,0.5944104465402597,1.0,1.687039172671594,1.0,0.8029573885593525,1.0,0.9176024626576739,1.0,1.1144334653680374,1.0,3.1948877278774073,1.0,1.1317301333835104,1.0
22,0.878301785501619,1.0,0.6845700808224268,1.0,1.721037728862736,1.0,0.5654792364991902,1.0,0.7141574295811409,1.0,0.646268907183158,1.0,1.614829748733311,1.0,0.8170559361530724,1.0,0.9440991556148313,1.0,0.7316672508603791,1.0,2.7361714906528127,1.0,1.0803848361010948,1.0
23,0.768831981178303,1.0,1.9600897877016636,1.0,1.450202944968785,1.0,1.391886082027877,1.0,1.0175909063484099,1.0,0.7404304011665165,1.0,1.6529311079345215,1.0,1.7536573825794692,1.0,3.152240123787209,1.0,1.9124534237648547,1.0,4.403256838319616,1.0,1.097496177528624,1.0
24,0.8276551367802888,1.0,1.6391343902451159,1.0,1.337538715603491,1.0,0.689986849898093,1.0,1.2095144295422287,1.0,0.8971723569683231,1.0,1.4405384696799473,1.0,1.7780772326488852,1.0,1.1346950076090851,1.0,1.8706641348062651,1.0,2.5045953388101956,1.0,1.094872340954643,1.0
25,0.6495234942474506,1.0,3.220463449318557,1.0,1.951941810799246,1.0,2.2644267806284053,1.0,1.2533457527941885,1.0,1.0692083450139063,1.0,2.114175865517636,1.0,1.68264560962536,1.0,2.1517454907158204,1.0,2.531332266170506,1.0,0.8846226651509156,1.0,0.6700585918634792,1.0
