scorer,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000,DLC_resnet50_PkPvRnetYu00Jul20shuffle0_40000
7,144.103,246.167,1.0,125.785,349.344,1.0,123.839,387.789,1.0,120.256,426.507,1.0,113.94,479.361,1.0,107.647,540.824,1.0,104.718,603.261,1.0,99.134,673.831,1.0,95.956,740.584,1.0,93.535,812.126,1.0,90.268,885.493,1.0,90.246,954.281,1.0,90.442,1020.033,1.0,90.185,1091.259,1.0,87.646,1146.988,1.0,92.505,1203.756,1.0,93.156,1260.793,1.0,97.266,1314.321,1.0,102.839,1371.348,1.0,106.91,1417.527,1.0,115.785,1533.703,1.0
8,143.914,246.072,1.0,125.876,349.466,1.0,123.771,388.184,1.0,120.455,426.566,1.0,114.038,478.809,1.0,107.974,539.931,1.0,104.929,603.2,1.0,98.943,673.611,1.0,95.849,740.477,1.0,93.577,812.07,1.0,90.277,885.587,1.0,90.245,954.229,1.0,90.444,1020.026,1.0,90.178,1091.17,1.0,87.708,1146.882,1.0,92.477,1203.628,1.0,93.151,1260.764,1.0,97.272,1314.322,1.0,102.819,1371.31,1.0,106.9,1417.538,1.0,115.803,1533.647,1.0
9,144.348,250.952,1.0,125.939,349.746,1.0,123.566,389.585,1.0,119.956,427.584,1.0,113.749,479.08,1.0,107.877,540.443,1.0,105.081,603.161,1.0,99.778,669.13,1.0,92.726,739.436,1.0,93.647,812.04,1.0,90.269,885.394,1.0,90.396,954.182,1.0,90.519,1020.038,1.0,90.121,1091.129,1.0,87.59,1147.351,1.0,92.606,1203.908,1.0,93.42,1261.082,1.0,97.815,1314.537,1.0,102.942,1371.256,1.0,106.866,1417.62,1.0,116.232,1533.818,1.0
10,144.151,251.112,1.0,126.118,349.882,1.0,123.67,389.35,1.0,120.424,426.974,1.0,114.343,479.677,1.0,108.491,541.389,1.0,105.12,603.307,1.0,99.115,673.984,1.0,92.705,739.405,1.0,93.717,811.973,1.0,90.099,884.621,1.0,90.496,954.544,1.0,90.511,1020.026,1.0,90.162,1091.351,1.0,87.547,1147.527,1.0,92.749,1204.465,1.0,93.404,1261.172,1.0,97.769,1314.467,1.0,103.18,1371.213,1.0,106.882,1417.582,1.0,116.188,1533.824,1.0
11,144.11,251.175,1.0,126.161,349.83,1.0,123.707,389.085,1.0,120.537,426.711,1.0,114.415,479.527,1.0,108.451,541.295,1.0,105.372,603.225,1.0,99.329,673.487,1.0,92.694,739.092,1.0,93.753,812.012,1.0,90.077,885.073,1.0,90.592,954.556,1.0,90.49,1020.022,1.0,90.099,1091.541,1.0,87.561,1147.471,1.0,92.677,1204.185,1.0,93.335,1260.996,1.0,97.824,1314.335,1.0,103.115,1371.172,1.0,106.898,1417.574,1.0,116.191,1533.811,1.0
12,143.799,250.959,1.0,126.148,349.824,1.0,123.645,388.944,1.0,120.334,427.068,1.0,114.302,479.056,1.0,108.577,540.859,1.0,105.014,603.111,1.0,99.853,668.741,1.0,92.685,738.289,1.0,93.818,811.772,1.0,90.05,885.195,1.0,90.608,954.608,1.0,90.486,1020.025,1.0,90.116,1091.646,1.0,87.626,1147.22,1.0,92.647,1203.963,1.0,93.302,1261.028,1.0,97.654,1315.398,1.0,103.183,1371.22,1.0,106.913,1417.513,1.0,116.404,1533.798,1.0
13,143.495,250.916,1.0,126.122,349.834,1.0,123.681,388.761,1.0,120.395,427.133,1.0,114.428,478.668,1.0,108.137,540.211,1.0,104.936,603.067,1.0,100.048,668.209,1.0,95.531,739.749,1.0,93.854,811.515,1.0,90.043,885.085,1.0,90.55,954.559,1.0,90.478,1019.994,1.0,90.162,1090.949,1.0,87.623,1147.185,1.0,92.647,1203.921,1.0,93.236,1260.923,1.0,97.629,1315.088,1.0,103.116,1371.182,1.0,106.89,1417.504,1.0,116.367,1533.771,1.0
14,143.894,250.992,1.0,126.105,349.747,1.0,123.751,388.448,1.0,120.472,426.502,1.0,114.103,478.244,1.0,108.183,540.165,1.0,105.105,603.013,1.0,100.051,668.206,1.0,92.722,738.628,1.0,93.841,811.387,1.0,90.04,884.893,1.0,90.467,954.632,1.0,90.465,1020.014,1.0,90.173,1091.24,1.0,87.579,1147.335,1.0,92.666,1204.026,1.0,93.258,1260.947,1.0,97.45,1315.055,1.0,103.116,1371.241,1.0,106.912,1417.514,1.0,116.376,1533.769,1.0
15,144.314,246.487,1.0,128.687,348.799,1.0,123.738,389.352,1.0,120.466,427.416,1.0,114.814,479.574,1.0,108.037,541.206,1.0,105.683,603.283,1.0,99.258,674.374,1.0,92.907,739.492,1.0,93.856,811.653,1.0,90.12,885.562,1.0,90.613,954.896,1.0,90.475,1020.023,1.0,90.18,1091.236,1.0,87.547,1147.4,1.0,92.674,1204.069,1.0,93.273,1260.963,1.0,97.332,1315.281,1.0,103.147,1371.281,1.0,106.898,1417.504,1.0,116.376,1533.771,1.0
16,144.091,246.541,1.0,128.745,348.759,1.0,123.829,388.728,1.0,120.603,426.565,1.0,114.506,479.271,1.0,107.742,541.009,1.0,105.686,603.194,1.0,98.916,673.718,1.0,92.82,739.18,1.0,93.846,811.379,1.0,90.081,885.399,1.0,90.625,954.934,1.0,90.473,1020.017,1.0,90.179,1090.932,1.0,87.578,1147.321,1.0,92.681,1204.073,1.0,93.284,1260.983,1.0,97.307,1315.291,1.0,103.063,1371.335,1.0,106.893,1417.529,1.0,116.385,1533.776,1.0
