scorer,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart13,bodypart13,bodypart14,bodypart14,bodypart15,bodypart15,bodypart16,bodypart16,bodypart17,bodypart17,bodypart18,bodypart18,bodypart19,bodypart19,bodypart2,bodypart2,bodypart20,bodypart20,bodypart21,bodypart21,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,2.268960285236129,1.0,1.8780182134285612,1.0,1.6740776465631453,1.0,1.24297029113104,1.0,2.7774383090631964,1.0,2.582793291318641,1.0,3.7115529695508633,1.0,1.4239332416854604,1.0,1.9814176594325976,1.0,3.9541407433291638,1.0,1.578641653756676,1.0,5.4360612036883,1.0,3.814268115089711,1.0,3.954020214087319,1.0,0.7656785812312514,1.0,1.903711771806792,1.0,2.3957214649979672,1.0,2.014483671327271,1.0,1.388774788580394,1.0,1.7207862875446025,1.0,4.105956730759269,1.0
1,3.2162063043762843,1.0,1.73620415454297,1.0,3.6163713848635815,1.0,2.006176219957224,1.0,2.216148841257582,1.0,1.9242464835857938,1.0,3.409986526783066,1.0,0.6655980876513874,1.0,2.1370253211700443,1.0,2.507524731208769,1.0,2.1333901240651763,1.0,2.6803238329241705,1.0,2.527515357754902,1.0,3.441243307130361,1.0,1.3328264367603022,1.0,1.4465932653915667,1.0,2.560895668452806,1.0,2.087077020150457,1.0,1.4288571624609836,1.0,1.7424733397587036,1.0,0.680007998054382,1.0
2,4.492025737483715,1.0,3.0509748822997462,1.0,3.9166980102590108,1.0,2.3307763321541883,1.0,1.418764687841707,1.0,2.60818308720735,1.0,4.087495344880876,1.0,1.6331118417083283,1.0,2.302383687997514,1.0,1.115932338263848,1.0,1.9455679123835996,1.0,1.7193877682739496,1.0,2.3312181774488656,1.0,2.853485337726938,1.0,1.7078234797267164,1.0,4.182456734713168,1.0,1.609844107369411,1.0,2.3469078536984256,1.0,1.6646752551807507,1.0,1.802633282859807,1.0,1.097550161026205,1.0
3,1.8861259899201883,1.0,3.2356168243157546,1.0,5.231563613865755,1.0,1.1944989506012647,1.0,5.336062953048094,1.0,2.070536215350534,1.0,6.293178682826441,1.0,1.0942222783522773,1.0,0.5550914050681576,1.0,2.9630471717437987,1.0,2.2951619551868605,1.0,0.8109265964490708,1.0,2.3616878085764355,1.0,1.2145486650407404,1.0,5.232789204216313,1.0,1.4868627836356965,1.0,3.9881768732321428,1.0,2.2941266371482465,1.0,5.382117205045317,1.0,3.50254196985526,1.0,1.1287557209292634,1.0
4,2.042349493883153,1.0,3.0027067501016065,1.0,0.6035471033498513,1.0,3.005249365943352,1.0,2.3534963158250597,1.0,4.033638860905823,1.0,0.8309403686880932,1.0,1.6136224243211017,1.0,0.8733551123240675,1.0,2.891071762270033,1.0,1.6444152591222507,1.0,1.4842287648800958,1.0,2.0221191948581887,0.9990000128746033,2.7735680742033866,1.0,5.79532590331232,1.0,4.638724878138782,1.0,3.6098696521564544,1.0,1.5873094793876554,1.0,1.5634599298286633,1.0,3.131312911013099,1.0,1.85741176058169,1.0
5,2.054756926689306,1.0,2.919781659009935,1.0,3.9123339687903713,1.0,3.690935224064672,1.0,2.30432230120364,1.0,3.806850269187344,1.0,0.0256056992859194,1.0,1.233666293359249,1.0,3.519207128652059,1.0,1.6682039611585509,1.0,6.0418200171169945,1.0,3.346509112398374,1.0,1.6404099555320848,1.0,4.202085619003477,1.0,1.7789743966525413,1.0,4.287896328799554,1.0,0.9003393415384907,1.0,3.602519021330972,1.0,3.7015421067401713,1.0,3.8251003213645385,1.0,1.3373624262260875,1.0
6,0.7746331253489186,1.0,1.9030183903478584,1.0,1.1664519929852715,1.0,1.4136372363316954,1.0,3.465686312341114,1.0,1.9957897620586562,1.0,2.826976222046825,1.0,0.19886099019166345,1.0,1.2252687215423352,1.0,2.64990220045285,1.0,4.702178090011625,1.0,1.919087285891812,1.0,3.843932863271326,1.0,5.541706946055431,1.0,1.6454722301724543,1.0,3.0952708618777476,1.0,4.124765278026261,1.0,1.7717751827281591,1.0,5.136604649521379,1.0,0.8171791737173615,1.0,4.616554507944421,1.0
7,2.233648178722886,1.0,3.569542198355726,1.0,4.071906289319589,1.0,3.4680672701654784,1.0,2.890980280158277,1.0,2.500224402361886,1.0,1.5876417526384783,1.0,1.4586089497183248,1.0,1.8440522186844381,1.0,1.7200134835006364,1.0,5.018860633609415,1.0,0.7334879423267459,1.0,2.4841141401034217,1.0,3.580427590883785,0.9990000128746033,0.32272234956151624,1.0,3.025106729799805,1.0,2.1626284871575794,1.0,0.6934662470566264,1.0,4.807480123561925,1.0,2.363559732740941,1.0,1.9083999711745676,1.0
