scorer,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
15,1.1878334374736463,1.0,1.1075536506438446,1.0,1.0518000511026318,1.0,1.7290958998681356,1.0,0.40776471355500443,1.0,0.35507605126416086,1.0,0.9316774930501125,1.0,2.312700312064821,1.0,1.4521259320247455,1.0,0.273868397575518,1.0,0.9563426421968592,1.0,0.2114245019307162,1.0
16,1.1387567054742218,1.0,0.7751418976072001,1.0,2.19433445478792,1.0,1.8147657709473002,1.0,0.4789989451732003,1.0,0.7747834994382718,1.0,1.3167963027593972,1.0,1.2049694212510393,1.0,2.643471043115863,1.0,1.072322588340766,1.0,2.5204576955466265,1.0,1.1798169113703656,1.0
17,1.0624968043540262,1.0,1.5888998365569436,1.0,0.43158413577590365,1.0,0.6857848225423139,1.0,0.5284441143412658,1.0,0.7431715286369864,1.0,1.4669775460942627,1.0,1.8952516312991172,1.0,2.482190591688123,1.0,1.3690042550145107,1.0,1.8235400149001835,1.0,1.4158674050450513,1.0
18,1.2086027237000305,1.0,2.8458088198896703,1.0,0.6479042923565984,1.0,0.6360187262155919,1.0,0.5643428475532102,1.0,1.0620877355223375,1.0,0.9748646673685646,1.0,1.5797016798441879,1.0,2.353136302467202,1.0,1.0709909364711594,1.0,1.3648737543800007,1.0,1.4585458688668005,1.0
19,1.0870901420032406,1.0,2.974902484317476,1.0,1.4561215663130829,1.0,2.0575606215127724,1.0,0.3014109627344862,1.0,2.159864126914281,1.0,1.9409145410984552,1.0,1.531159173935101,1.0,0.3670163143581493,1.0,1.344582982504036,1.0,0.4959326758018609,1.0,1.8461454970469848,1.0
20,1.1199543660419327,1.0,3.3500264304412943,1.0,1.1974584462952007,1.0,2.2844176571916543,1.0,0.44410966303084065,1.0,2.120720957940486,1.0,2.102248458011491,1.0,1.136124547834111,1.0,0.7421070171198852,1.0,1.8037935556135583,1.0,0.8782360576359381,1.0,1.6554988378363429,1.0
21,1.2243137242933182,1.0,1.1516022032448276,1.0,1.4184447213843732,1.0,1.0935319565807922,1.0,0.5479429125373263,1.0,0.3486910447274834,1.0,0.8475356844272491,1.0,2.433651535176542,1.0,2.2704307680800415,1.0,1.9258291399124328,1.0,1.9789994310854064,1.0,1.6930311644956597,1.0
22,1.2614186722434364,1.0,0.6213785937547474,1.0,2.4501488102264,1.0,1.0772828439565327,1.0,0.6799479974762441,1.0,0.16557017659481013,1.0,0.7666821967807973,1.0,1.4901417623868902,1.0,1.8990158209063126,1.0,2.7464555689642194,1.0,1.1719388957298427,1.0,1.4630323896575572,1.0
23,1.1353333315443708,1.0,0.3668190966289498,1.0,1.083844231300992,1.0,1.515451309529719,1.0,0.4698300246368723,1.0,0.17587040947495305,1.0,1.0927876428233811,1.0,1.2147789856530515,1.0,2.280670456103238,1.0,2.4781791002481075,1.0,1.1861794828935652,1.0,1.251245753547856,1.0
24,1.1523262330383846,1.0,0.5214507594674039,1.0,0.8589993466736008,1.0,1.5150132259104825,1.0,0.5526576390854899,1.0,0.0038941752348463426,1.0,0.6342139191141059,1.0,1.079534855390871,1.0,2.460667018041679,1.0,2.3966260586328922,1.0,0.666581389765861,1.0,0.6064063236601788,1.0
