scorer,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000,DLC_mobnet_75_PkPvRnetYu00Jul20shuffle2_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12,bodypart13,bodypart13,bodypart13,bodypart14,bodypart14,bodypart14,bodypart15,bodypart15,bodypart15,bodypart16,bodypart16,bodypart16,bodypart17,bodypart17,bodypart17,bodypart18,bodypart18,bodypart18,bodypart19,bodypart19,bodypart19,bodypart20,bodypart20,bodypart20,bodypart21,bodypart21,bodypart21
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,507.946,179.829,0.9789999723434448,131.968,348.192,0.9950000047683716,132.014,388.4,0.9990000128746033,124.305,428.418,0.9959999918937683,123.797,484.01,0.9980000257492065,115.818,540.26,1.0,107.5,595.744,0.9980000257492065,107.879,667.991,0.9929999709129333,99.977,739.344,0.9990000128746033,99.837,812.043,0.996999979019165,99.05,883.579,0.9980000257492065,99.254,955.665,0.996999979019165,99.175,1019.448,0.9990000128746033,91.137,1091.841,0.9990000128746033,99.052,1147.436,0.9980000257492065,98.493,1203.775,1.0,99.339,1259.622,0.9980000257492065,106.777,1315.683,0.9980000257492065,106.54,1363.553,0.9980000257492065,107.706,1420.106,0.9810000061988831,123.936,1539.872,0.9980000257492065
1,347.928,1251.781,0.9829999804496765,131.941,348.202,0.9950000047683716,131.971,388.399,0.9990000128746033,124.317,428.43,0.9959999918937683,123.798,483.878,0.9980000257492065,115.675,540.253,1.0,107.533,595.72,0.996999979019165,107.871,675.803,0.9980000257492065,107.567,739.523,0.9980000257492065,99.685,819.536,0.9990000128746033,99.032,883.591,0.9990000128746033,99.254,955.668,0.996999979019165,99.181,1019.443,0.9990000128746033,91.16,1091.843,0.9990000128746033,99.031,1147.447,0.9980000257492065,98.562,1203.842,1.0,99.396,1259.641,0.9980000257492065,106.962,1308.087,0.9929999709129333,106.535,1363.5,0.9980000257492065,107.702,1420.089,0.9800000190734863,124.035,1532.012,0.9850000143051147
2,347.928,1251.809,0.9850000143051147,131.935,348.212,0.9940000176429749,131.935,388.346,0.9990000128746033,124.361,428.598,0.9959999918937683,123.782,483.85,0.9980000257492065,115.699,540.261,1.0,107.529,595.681,0.9959999918937683,107.85,667.967,0.9919999837875366,99.966,739.557,1.0,99.883,812.139,0.9980000257492065,99.06,883.69,0.9980000257492065,99.248,955.656,0.9980000257492065,99.181,1019.434,0.9990000128746033,99.093,1091.757,1.0,98.984,1147.446,0.9980000257492065,98.554,1203.807,1.0,99.419,1259.654,0.9980000257492065,106.837,1315.546,0.9980000257492065,106.527,1363.47,0.9980000257492065,107.694,1420.1,0.9810000061988831,123.936,1539.87,0.9980000257492065
3,507.933,179.862,0.9739999771118164,131.989,348.181,0.9950000047683716,132.109,388.336,0.9990000128746033,124.374,428.721,0.996999979019165,123.709,483.802,0.9980000257492065,115.7,540.23,0.9990000128746033,107.551,595.74,0.996999979019165,107.846,667.95,0.9919999837875366,99.777,739.355,0.9990000128746033,99.802,812.084,0.9980000257492065,99.115,883.594,0.9980000257492065,99.236,955.658,0.9980000257492065,99.178,1019.439,0.9990000128746033,99.096,1091.701,1.0,98.958,1147.421,0.9980000257492065,98.484,1203.819,1.0,99.411,1259.658,0.9980000257492065,106.972,1308.096,0.9929999709129333,106.538,1363.479,0.9980000257492065,107.695,1420.101,0.9810000061988831,123.934,1539.862,0.9980000257492065
4,156.035,252.012,0.9710000157356262,132.056,348.202,0.9959999918937683,132.022,388.186,0.9990000128746033,124.39,428.69,0.9959999918937683,123.763,483.874,0.9980000257492065,115.688,540.275,0.9990000128746033,107.608,603.663,0.9900000095367432,107.828,667.91,0.9919999837875366,99.874,739.516,0.9990000128746033,99.722,812.076,0.9980000257492065,98.976,883.692,0.9990000128746033,99.218,955.658,0.9980000257492065,99.226,1019.466,0.9990000128746033,99.126,1091.969,0.9990000128746033,99.006,1147.446,0.9980000257492065,98.489,1203.708,1.0,99.394,1259.668,0.9980000257492065,106.811,1315.588,0.9980000257492065,106.557,1363.515,0.9980000257492065,107.692,1420.112,0.9810000061988831,124.035,1532.009,0.9860000014305115
5,156.034,252.011,0.9710000157356262,131.986,348.246,0.9940000176429749,132.007,388.274,0.9990000128746033,124.422,428.792,0.9959999918937683,123.764,483.915,0.9980000257492065,115.686,540.253,0.9990000128746033,107.6,603.692,0.9900000095367432,107.79,667.818,0.9919999837875366,99.999,739.557,1.0,99.765,812.152,0.9980000257492065,99.032,883.819,0.9990000128746033,99.246,955.666,0.9980000257492065,99.218,1019.46,0.9990000128746033,99.114,1091.998,0.9990000128746033,98.998,1147.477,0.9980000257492065,98.52,1203.76,1.0,99.373,1259.657,0.9980000257492065,106.783,1315.619,0.9980000257492065,106.594,1363.584,0.9980000257492065,107.695,1420.103,0.9810000061988831,123.935,1539.854,0.9980000257492065
6,156.037,252.013,0.9710000157356262,131.946,348.215,0.9940000176429749,132.048,388.249,0.9990000128746033,124.434,428.806,0.9959999918937683,123.762,483.928,0.9980000257492065,115.817,540.26,0.9990000128746033,107.595,603.693,0.9900000095367432,107.782,667.802,0.9909999966621399,107.522,739.674,0.9980000257492065,99.824,812.152,0.9990000128746033,99.012,883.831,0.9990000128746033,99.249,955.668,0.9980000257492065,99.171,1019.453,0.9990000128746033,99.099,1091.957,0.9990000128746033,98.985,1147.478,0.9980000257492065,98.524,1203.748,1.0,99.368,1259.651,0.9980000257492065,106.788,1315.64,0.9980000257492065,106.614,1363.612,0.9980000257492065,107.701,1420.11,0.9810000061988831,123.932,1539.847,0.9980000257492065
