scorer,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
16,1.1121671230315846,1.0,3.2952207267411624,1.0,1.6084838800847892,1.0,3.3371499907152495,1.0,1.072895722340515,1.0,2.832313820312594,1.0,1.4748758862493123,1.0,2.062687628779795,1.0,2.0902258068164103,1.0,1.488086383459027,1.0,1.2338245953425684,1.0,1.9734007352813085,1.0
17,0.9361111588852641,1.0,2.346354995817982,1.0,3.5688475197210834,1.0,0.299101048136603,1.0,0.8691487962764343,1.0,3.1641182250229742,1.0,2.753177522044254,1.0,2.2953086945230248,1.0,1.0694753662688155,1.0,2.8378376413083406,1.0,1.668367346872142,1.0,3.4645528027584693,1.0
18,1.5840985941639576,1.0,3.0693182722217363,1.0,3.6306073976293454,1.0,1.6769887916820299,1.0,1.2647341882989303,1.0,2.987115310096404,1.0,3.1316604543856195,1.0,2.9193345562407083,1.0,0.45465411527820104,1.0,3.5024711392266616,1.0,1.4849955971089313,1.0,3.9769681590457076,1.0
19,1.4529735298844522,1.0,2.6479628976416394,1.0,1.769519347935323,1.0,3.4844180397466067,1.0,1.3027213139422906,1.0,3.0289085325083036,1.0,2.935471858047001,1.0,1.9086733745466111,1.0,2.1905398970451713,1.0,2.5788287346340737,1.0,3.194623969035147,1.0,1.4901535108999469,1.0
20,0.4080152671274622,1.0,3.9310563952108692,1.0,1.8909933148923106,1.0,2.4893318234560433,1.0,1.237391740072918,1.0,3.001182232865345,1.0,2.5124248645393066,1.0,0.5707009227311233,1.0,3.115355384520598,1.0,3.21629949246911,1.0,1.6295592439719875,1.0,2.3262510455933465,1.0
21,1.7061961983073497,1.0,2.9412669761412675,1.0,2.245705251467597,1.0,1.8042075187672955,1.0,1.205236732139327,1.0,2.9738018639185557,1.0,1.028268195300025,1.0,2.3654778125601044,1.0,2.5473264086290683,1.0,3.2822738256187898,1.0,1.179150012608623,1.0,0.4385101133587215,1.0
22,1.2791959210851827,1.0,3.239325584705955,1.0,2.0320829574321104,1.0,2.034142878167638,1.0,1.0594376602305124,1.0,3.540809131570989,1.0,1.099865288896247,1.0,3.38076573207243,1.0,3.302070795767559,1.0,1.2987319968652415,1.0,2.581720653995297,1.0,2.0150296108970442,1.0
23,2.0042091132124513,1.0,2.8448811512043943,1.0,1.626033068875091,1.0,2.207598237940111,1.0,2.157296992339373,1.0,2.4216064172800578,1.0,1.3654586060278229,1.0,5.156940870578572,1.0,0.8780092445269271,1.0,2.553747047725515,1.0,2.1927453454595844,1.0,2.5633791947260005,1.0
24,1.8991595611091685,1.0,1.7965734594549896,1.0,0.8521137451385239,1.0,1.920366476510252,1.0,1.2999561084394744,1.0,3.05896689557461,1.0,1.523205869214697,1.0,4.288891786258178,1.0,0.6893886367635342,1.0,1.6266412321893866,1.0,1.0625241326913564,1.0,1.3879669366168375,1.0
25,1.8127354839664096,1.0,1.359781440638862,1.0,4.11637786914709,1.0,2.373815633420987,1.0,1.655645987359169,1.0,3.557927954254997,1.0,1.522793061668011,1.0,2.976889712367841,1.0,2.2220650496298577,1.0,0.7550502362636441,1.0,2.0842967141117494,1.0,1.234227955427213,1.0
26,1.4049305768591127,1.0,2.254896600159523,1.0,1.526645158486095,1.0,0.7606910475652716,1.0,2.21922243284612,1.0,1.4378672762831788,1.0,2.122647374139441,1.0,5.047170331575979,1.0,1.8846671444405427,1.0,2.1139985350849444,1.0,2.4596263732316186,1.0,2.8506762472646865,1.0
27,1.879214254454006,1.0,1.0466415691955193,1.0,2.488118098520162,1.0,2.682591739318997,1.0,1.812615099006173,1.0,2.183374954581824,1.0,3.334023443511498,1.0,3.8088077152433377,1.0,0.7677078885567827,1.0,1.9949851453877328,1.0,1.7910491804215491,1.0,0.7928856611382301,1.0
28,1.2787921140211498,1.0,2.8560197943373473,1.0,2.0906727636175524,1.0,1.1194098101679995,1.0,2.0547807674076544,1.0,2.918312073883664,1.0,2.2673188150702437,1.0,3.420363827740811,1.0,0.7270385668162466,1.0,0.47490524911943116,1.0,0.9974573260463417,1.0,0.15215417636098652,1.0
29,2.365174695801274,1.0,2.660408966771112,1.0,2.709568191703465,1.0,3.3674025480415417,1.0,2.3034942486222683,1.0,1.792068936806484,1.0,2.0742175001024976,1.0,3.280071760964643,1.0,0.7754050136448696,1.0,0.7061652481573003,1.0,3.6901007506231958,1.0,1.0601349025782483,1.0
30,2.069522025690356,1.0,1.405227830439044,1.0,3.302462556983674,1.0,1.9757737081163893,1.0,2.2184334819549343,1.0,1.6297530276824306,1.0,3.1891538633256635,1.0,3.9387449602269404,1.0,0.6628539307661676,1.0,0.5942403264594747,1.0,2.107748631108964,1.0,1.2048650189285022,1.0
31,2.2147591408901914,1.0,4.096612465914596,1.0,1.5827986374961576,1.0,0.4856377879016191,1.0,2.195407592273713,1.0,1.7173529041558724,1.0,1.8840669047181269,1.0,3.8100689332448514,1.0,3.0712788377986744,1.0,3.141708766271855,1.0,0.7894516708751897,1.0,3.7554758565727258,1.0
32,2.6304851313532835,1.0,3.1519219287245783,1.0,1.4605485850604187,1.0,2.571985987131441,1.0,2.6347454210135375,1.0,2.2362781609589395,1.0,2.2005357497543603,1.0,3.49737528049173,1.0,3.146248958870468,1.0,3.7911799875999566,1.0,1.0023417271798685,1.0,3.355978567574894,1.0
33,1.6849590502186809,1.0,3.89478596041051,1.0,1.1573258600728042,1.0,2.5239090178341117,1.0,2.278774512505577,1.0,1.9844436955238893,1.0,0.37720908762799077,1.0,3.812115536339707,1.0,2.4103708014892216,1.0,3.2773638757199897,1.0,1.860380936264645,1.0,0.8153462551197779,1.0
34,1.4204306229428143,1.0,4.103305907290428,1.0,1.0331799403773112,1.0,3.5037228855509492,1.0,2.9288553590527666,1.0,1.8329696135207607,1.0,2.0622282512831944,1.0,3.7428118314282766,1.0,2.3163024536195613,1.0,2.9256656708240554,1.0,1.1388016397561225,1.0,2.7810869556867597,1.0
35,2.0534893620208043,1.0,2.618547664775075,1.0,1.1237911269360763,1.0,1.6183974555742664,1.0,2.6673508899093834,1.0,2.6931105372670276,1.0,1.463120514031225,1.0,2.8979105215232757,1.0,3.8885813033245573,1.0,4.324150698611874,1.0,1.1119036621489309,1.0,0.905440356231938,1.0
36,0.7587129760731639,1.0,2.5810281708488607,1.0,2.4812345326981746,1.0,2.1683356473437794,1.0,2.0579193677396153,1.0,2.438032221376216,1.0,0.7964075149713747,1.0,1.4047116438253355,1.0,3.9286383353814007,1.0,1.2895457786674107,1.0,4.1611939123009805,1.0,3.2394917503413914,1.0
37,1.2262691351630726,1.0,3.424158324411169,1.0,3.3191848431804405,1.0,3.814682003136992,1.0,1.8610004205737296,1.0,1.2726020433514906,1.0,1.1385135266119941,1.0,1.6214868817444736,1.0,3.8750347165870975,1.0,1.3128935294723325,1.0,4.531157078030764,1.0,2.8918427071875223,1.0
38,1.597464018930717,1.0,3.6850804026706445,1.0,2.2236472403250196,1.0,4.391420010323199,1.0,2.2495389206875935,1.0,2.363645082425204,1.0,0.5984575822300738,1.0,2.1680871914505415,1.0,2.9331123646753516,1.0,0.6659816710618578,1.0,2.989088495730528,1.0,3.889767725872965,1.0
39,1.5422368124831478,1.0,1.6006787200352932,1.0,3.044905737899176,1.0,2.7710922664830924,1.0,2.8424808980638203,1.0,2.913598337452658,1.0,1.2302649221540731,1.0,2.2545985625050093,1.0,3.9264368650191326,1.0,1.2111845108871686,1.0,2.7367752407742167,1.0,1.7037989737893977,1.0
40,1.5674400542212146,1.0,1.5572874245014094,1.0,4.14762031146585,1.0,1.7022632390120598,1.0,2.796224693688337,1.0,2.8014114436755677,1.0,1.6322300291222163,1.0,1.9518415625656735,1.0,3.7362890314156303,1.0,1.0472098672432777,1.0,1.8369951228515675,1.0,2.923203642205921,1.0
41,1.5858920506162517,1.0,3.5977924588123806,1.0,3.03649217796373,1.0,1.6943567407457938,1.0,2.2131622965186444,1.0,2.025912399370678,1.0,2.0609774105509335,1.0,1.8504476837535984,1.0,2.108866639163208,1.0,0.7390710538644386,1.0,1.8815188922993586,1.0,2.3446919342269545,1.0
42,1.9139854139874446,1.0,4.289944340941564,1.0,3.520820252823227,1.0,2.490105710032691,1.0,2.419426409028148,1.0,2.234014361736798,1.0,0.457413024460008,1.0,2.8098506002557433,1.0,1.5853118894857436,1.0,4.21828865872392,1.0,3.6464136201095223,1.0,1.325160418519182,1.0
43,2.078845597566915,1.0,0.8810848925976702,1.0,3.2418740800883707,1.0,1.017669543482667,1.0,2.2791433223169335,1.0,2.297956099383197,1.0,0.6384990565962662,1.0,2.5613821206385374,1.0,1.5909439380632553,1.0,4.278310059984857,1.0,3.164312600870479,1.0,2.073226593666465,1.0
44,1.5201193232029457,1.0,0.34153362920729957,1.0,0.8783290797461158,1.0,3.2074282439211705,1.0,2.131775169435681,1.0,2.123399102737104,1.0,1.895778020140578,1.0,1.1050901832193651,1.0,1.5740755435438052,1.0,5.1148858094626215,1.0,0.5382533154241108,1.0,1.7895617305804388,1.0
45,1.9814157231934288,1.0,0.9706887051404715,1.0,0.9951282832806121,1.0,1.7137624134209,1.0,2.6021238981238177,1.0,2.5759616543366364,1.0,1.2676547054832397,1.0,2.3857568202475568,1.0,2.8285504533382886,1.0,3.950528570831085,1.0,1.4236612439280254,1.0,4.327045916926018,1.0
46,2.3580041807202514,1.0,0.5030387047102592,1.0,0.4634225542387676,1.0,3.071181326074863,1.0,2.442749582858787,1.0,2.1141116823684545,1.0,0.49111914318919314,1.0,2.0687576984286404,1.0,2.1126356538340043,1.0,3.5956233715271124,1.0,1.417415280701441,1.0,4.915895245667757,1.0
47,1.904183833694465,1.0,2.829771798222455,1.0,1.9793243148930861,1.0,1.1933401364628327,1.0,2.0384611636142793,1.0,1.5509038981459207,1.0,1.5555437936142853,1.0,3.1849879233407563,1.0,2.310630651387273,1.0,4.307692215453892,1.0,2.64354264483727,1.0,5.275371913560484,1.0
48,1.9886223166578119,1.0,3.966474864633443,1.0,2.309566129041154,1.0,3.155781488276012,1.0,2.083161014356454,1.0,1.9360332913184881,1.0,2.1592091833282603,1.0,1.2622542094619502,1.0,1.1465222950204839,1.0,3.8136053124332907,1.0,2.344272967529858,1.0,3.1982793730225088,1.0
