scorer,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,182.012,45.857,1.0,182.839,56.88,1.0,181.86,72.435,1.0,183.106,89.335,1.0,182.218,108.451,1.0,181.57,126.256,1.0,180.982,148.048,1.0,179.268,163.235,1.0,177.776,181.467,1.0,176.713,194.787,1.0,176.039,206.949,1.0,173.987,219.537,1.0
11,181.954,45.835,1.0,182.749,56.941,1.0,181.926,72.4,1.0,183.175,89.398,1.0,182.236,108.474,1.0,181.605,126.373,1.0,180.947,148.062,1.0,179.262,163.177,1.0,177.75,181.356,1.0,176.661,194.831,1.0,176.049,206.934,1.0,173.881,219.637,1.0
12,181.995,46.085,1.0,183.002,56.906,1.0,182.019,72.508,1.0,183.159,89.385,1.0,182.099,108.412,1.0,181.723,126.166,1.0,181.08,147.706,1.0,179.473,162.897,1.0,177.734,181.003,1.0,176.489,194.468,1.0,175.713,206.663,1.0,173.831,219.7,1.0
13,182.091,46.097,1.0,183.052,56.971,1.0,182.034,72.577,1.0,183.134,89.605,1.0,181.93,108.67,1.0,181.522,126.526,1.0,181.024,147.941,1.0,179.495,162.984,1.0,177.772,181.19,1.0,176.451,194.373,1.0,175.731,206.603,1.0,173.764,219.561,1.0
14,182.09,46.157,1.0,182.973,56.987,1.0,182.019,72.573,1.0,183.074,89.649,1.0,181.83,108.65,1.0,181.638,126.266,1.0,181.201,147.686,1.0,179.524,162.749,1.0,177.804,180.839,1.0,176.367,194.261,1.0,175.714,206.316,1.0,173.923,219.276,1.0
15,182.182,46.129,1.0,183.037,56.978,1.0,182.028,72.551,1.0,182.962,89.696,1.0,181.94,108.603,1.0,181.678,126.235,1.0,181.186,147.81,1.0,179.344,162.947,1.0,177.779,181.084,1.0,176.321,194.628,1.0,175.862,206.5,1.0,173.981,219.395,1.0
16,182.159,46.13,1.0,183.024,56.986,1.0,181.939,72.574,1.0,182.948,89.657,1.0,181.8,108.63,1.0,181.557,126.291,1.0,181.064,147.824,1.0,179.312,163.021,1.0,177.768,181.085,1.0,176.386,194.578,1.0,175.882,206.408,1.0,173.871,219.469,1.0
17,182.103,46.122,1.0,183.027,56.996,1.0,181.954,72.588,1.0,182.927,89.681,1.0,181.702,108.618,1.0,181.431,126.264,1.0,180.931,147.593,1.0,179.209,162.869,1.0,177.658,180.912,1.0,176.235,194.432,1.0,175.868,206.281,1.0,173.982,219.229,1.0
18,182.081,46.113,1.0,183.01,56.996,1.0,181.992,72.59,1.0,182.872,89.698,1.0,181.796,108.644,1.0,181.506,126.397,1.0,181.001,147.757,1.0,179.263,162.98,1.0,177.606,181.127,1.0,176.255,194.608,1.0,175.837,206.513,1.0,173.9,219.286,1.0
19,182.075,46.068,1.0,182.979,56.991,1.0,181.972,72.631,1.0,182.83,89.632,1.0,181.679,108.6,1.0,181.406,126.316,1.0,180.788,147.748,1.0,179.183,162.981,1.0,177.561,180.969,1.0,176.403,194.58,1.0,175.777,206.539,1.0,173.772,219.308,1.0
20,182.043,46.089,1.0,182.932,56.977,1.0,181.944,72.649,1.0,182.821,89.671,1.0,181.752,108.671,1.0,181.427,126.373,1.0,180.816,147.807,1.0,179.18,163.047,1.0,177.574,181.072,1.0,176.409,194.617,1.0,175.795,206.56,1.0,173.781,219.379,1.0
21,182.069,46.093,1.0,183.015,57.048,1.0,182.038,72.644,1.0,182.938,89.663,1.0,181.915,108.634,1.0,181.433,126.269,1.0,180.865,147.659,1.0,179.204,163.016,1.0,177.596,180.919,1.0,176.521,194.468,1.0,175.664,206.43,1.0,173.727,219.275,1.0
22,182.102,46.19,1.0,183.053,57.089,1.0,182.062,72.672,1.0,182.977,89.65,1.0,181.974,108.551,1.0,181.588,126.195,1.0,180.963,147.674,1.0,179.182,162.957,1.0,177.502,180.877,1.0,176.478,194.347,1.0,175.714,206.238,1.0,173.795,219.141,1.0
23,182.137,46.32,1.0,183.058,57.146,1.0,182.097,72.707,1.0,183.014,89.597,1.0,181.92,108.422,1.0,181.482,126.092,1.0,180.948,147.58,1.0,179.184,162.899,1.0,177.525,180.863,1.0,176.498,194.448,1.0,175.726,206.291,1.0,173.854,219.05,1.0
