scorer,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point1,point2,point2,point2,point3,point3,point3,point4,point4,point4,point5,point5,point5,point6,point6,point6,point7,point7,point7,point8,point8,point8,point9,point9,point9,point10,point10,point10,point11,point11,point11,point12,point12,point12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
466,191.508,51.058,1.0,191.462,67.862,1.0,191.765,83.091,1.0,192.739,98.622,1.0,191.875,111.979,1.0,191.244,125.749,1.0,191.818,139.367,1.0,190.449,149.392,1.0,189.605,170.02,1.0,186.137,188.797,1.0,187.21,209.301,1.0,186.871,226.196,1.0
467,191.474,51.163,1.0,191.427,67.849,1.0,191.772,83.03,1.0,192.752,98.632,1.0,191.842,111.977,1.0,191.249,125.79,1.0,191.805,139.375,1.0,190.363,149.423,1.0,189.503,169.782,1.0,185.89,188.762,1.0,187.161,209.054,1.0,186.88,226.025,1.0
468,191.533,50.837,1.0,191.244,67.693,1.0,191.369,82.351,1.0,192.037,98.73,1.0,191.618,111.914,1.0,191.217,125.568,1.0,191.552,139.088,1.0,190.091,149.549,1.0,189.331,169.834,1.0,186.086,189.076,1.0,187.154,209.156,1.0,186.847,223.129,1.0
469,191.534,50.956,1.0,191.197,67.557,1.0,191.327,81.91,1.0,192.213,98.542,1.0,192.057,114.235,1.0,191.198,125.223,1.0,191.509,138.56,1.0,190.013,152.86,1.0,188.535,168.602,1.0,186.405,189.065,1.0,187.062,208.948,1.0,186.927,225.688,1.0
470,191.565,51.277,1.0,191.221,67.634,1.0,191.394,82.087,1.0,192.432,98.59,1.0,191.675,111.879,1.0,190.975,125.727,1.0,191.471,139.184,1.0,189.888,149.375,1.0,188.779,169.063,1.0,186.083,188.453,1.0,187.278,208.641,1.0,187.102,225.796,1.0
471,191.544,51.112,1.0,191.216,67.628,1.0,191.385,81.934,1.0,192.318,98.617,1.0,191.689,112.196,1.0,190.772,126.068,1.0,191.189,139.395,1.0,189.969,149.347,1.0,188.623,168.988,1.0,186.004,188.583,1.0,187.372,208.843,1.0,187.407,225.85,1.0
472,191.553,50.895,1.0,191.284,67.66,1.0,191.373,82.25,1.0,192.242,98.688,1.0,191.853,112.313,1.0,190.856,125.915,1.0,191.322,139.155,1.0,190.04,149.193,1.0,188.7,168.786,1.0,185.869,188.447,1.0,187.238,208.838,1.0,187.18,225.775,1.0
473,191.567,50.678,1.0,191.285,67.45,1.0,191.373,81.918,1.0,192.179,98.559,1.0,191.62,111.866,1.0,190.953,125.389,1.0,191.388,138.618,1.0,190.188,152.885,1.0,188.888,168.92,1.0,185.814,188.307,1.0,187.238,208.91,1.0,187.104,225.865,1.0
474,191.62,50.664,1.0,191.342,67.381,1.0,191.453,81.926,1.0,192.23,98.485,1.0,191.598,111.763,1.0,190.862,125.34,1.0,191.594,138.724,1.0,190.137,149.155,1.0,189.211,169.326,1.0,185.633,188.129,1.0,187.24,208.914,1.0,187.067,225.999,1.0
475,191.655,50.641,1.0,191.371,67.439,1.0,191.509,81.921,1.0,192.201,98.497,1.0,191.514,111.746,1.0,190.863,125.369,1.0,191.47,138.832,1.0,190.105,149.227,1.0,189.383,169.704,1.0,185.746,188.399,1.0,187.271,208.936,1.0,186.896,225.904,1.0
476,191.6,50.66,1.0,191.368,67.398,1.0,191.524,82.19,1.0,192.157,98.541,1.0,191.614,111.886,1.0,190.962,125.633,1.0,191.599,139.159,1.0,190.251,149.649,1.0,189.65,170.312,1.0,185.815,188.729,1.0,187.275,209.102,1.0,186.677,226.013,1.0
477,191.622,50.641,1.0,191.341,67.28,1.0,191.592,82.056,1.0,192.267,98.448,1.0,191.693,111.865,1.0,190.918,125.862,1.0,191.606,139.46,1.0,190.462,150.071,1.0,189.955,170.967,1.0,185.934,189.059,1.0,187.4,209.187,1.0,186.628,225.944,1.0
478,191.567,50.678,1.0,191.256,67.484,1.0,191.449,82.383,1.0,192.113,98.639,1.0,191.531,112.047,1.0,190.901,125.871,1.0,191.572,139.519,1.0,190.497,149.888,1.0,189.829,170.774,1.0,186.024,189.069,1.0,187.297,209.038,1.0,186.546,225.91,1.0
479,191.649,50.777,1.0,191.375,67.54,1.0,191.651,82.423,1.0,192.391,98.559,1.0,191.565,111.931,1.0,190.931,125.795,1.0,191.622,139.467,1.0,190.367,149.648,1.0,189.743,170.465,1.0,185.967,188.719,1.0,187.256,209.083,1.0,186.908,226.215,1.0
480,191.458,50.967,1.0,191.605,67.514,1.0,191.83,82.975,1.0,192.098,98.735,1.0,191.228,111.462,1.0,191.195,125.03,1.0,192.012,138.688,1.0,189.67,149.148,1.0,188.926,169.124,1.0,185.692,188.904,1.0,187.173,209.253,1.0,186.927,223.447,1.0
481,191.418,50.922,1.0,191.61,67.477,1.0,191.816,83.154,1.0,191.954,98.805,1.0,191.076,111.326,1.0,191.261,125.173,1.0,192.086,138.972,1.0,190.029,149.362,1.0,189.766,170.004,1.0,185.742,188.682,1.0,187.075,209.168,1.0,186.804,223.485,1.0
482,191.524,51.338,1.0,191.418,67.672,1.0,191.699,82.762,1.0,192.171,98.759,1.0,191.116,111.605,1.0,190.994,125.448,1.0,192.03,139.17,1.0,189.862,149.29,1.0,189.359,169.642,1.0,185.488,188.78,1.0,187.159,209.188,1.0,186.987,225.749,1.0
483,191.474,51.059,1.0,191.421,67.631,1.0,191.618,82.958,1.0,192.092,98.815,1.0,191.168,111.525,1.0,191.089,125.273,1.0,191.984,139.185,1.0,189.924,149.432,1.0,189.601,170.049,1.0,185.22,188.959,1.0,187.306,209.306,1.0,187.102,223.311,1.0
484,191.362,51.023,1.0,191.397,67.592,1.0,191.68,82.834,1.0,192.104,98.81,1.0,191.165,111.443,1.0,191.049,124.981,1.0,191.92,138.788,1.0,189.85,149.105,1.0,189.632,169.784,1.0,185.388,188.644,1.0,187.317,209.285,1.0,187.112,223.315,1.0
485,191.381,50.886,1.0,191.264,67.533,1.0,191.573,82.739,1.0,192.11,98.814,1.0,191.145,111.42,1.0,191.121,125.067,1.0,191.887,138.843,1.0,190.035,149.316,1.0,189.747,169.833,1.0,185.481,188.739,1.0,187.283,209.256,1.0,187.022,223.263,1.0
486,191.377,50.94,1.0,191.225,67.572,1.0,191.608,82.846,1.0,192.195,98.778,1.0,191.165,111.418,1.0,191.14,125.149,1.0,192.048,138.966,1.0,190.008,149.379,1.0,189.77,169.972,1.0,185.502,188.867,1.0,187.183,209.075,1.0,186.673,225.759,1.0
487,191.389,50.897,1.0,191.206,67.559,1.0,191.502,82.622,1.0,192.157,98.708,1.0,191.129,111.543,1.0,190.987,125.116,1.0,191.92,138.816,1.0,189.952,149.147,1.0,189.735,169.686,1.0,185.6,188.635,1.0,187.142,209.012,1.0,186.825,225.695,1.0
488,191.433,50.997,1.0,191.057,67.434,1.0,191.449,82.094,1.0,192.333,98.422,1.0,191.991,114.137,1.0,190.922,125.043,1.0,191.987,138.712,1.0,189.874,149.173,1.0,189.552,169.624,1.0,185.497,188.586,1.0,187.293,209.057,1.0,186.944,225.761,1.0
489,191.44,50.852,1.0,191.16,67.463,1.0,191.474,82.407,1.0,192.396,98.528,1.0,191.385,111.525,1.0,190.964,125.131,1.0,191.889,138.786,1.0,189.971,149.236,1.0,189.771,169.914,1.0,185.66,188.735,1.0,187.291,209.077,1.0,186.681,225.644,1.0
490,191.441,50.975,1.0,191.183,67.429,1.0,191.507,82.367,1.0,192.449,98.488,1.0,192.068,114.125,1.0,190.971,125.114,1.0,192.021,138.773,1.0,190.068,149.341,1.0,189.919,170.088,1.0,185.68,188.892,1.0,187.228,209.132,1.0,186.595,225.693,1.0
491,191.395,50.784,1.0,191.233,67.385,1.0,191.509,82.398,1.0,192.23,98.509,1.0,191.945,114.095,1.0,191.004,125.09,1.0,192.018,138.688,1.0,190.027,149.434,1.0,189.766,169.97,1.0,185.77,188.772,1.0,187.166,209.043,1.0,186.707,225.721,1.0
492,191.453,51.112,1.0,191.085,67.551,1.0,191.342,82.374,1.0,192.086,98.436,1.0,191.75,114.101,1.0,191.033,125.01,1.0,191.718,138.938,1.0,190.06,149.687,1.0,190.238,170.92,1.0,185.719,189.053,1.0,187.759,209.49,1.0,187.084,226.149,1.0
493,191.476,51.049,1.0,191.12,67.57,1.0,191.278,82.514,1.0,192.006,98.539,1.0,191.127,111.574,1.0,191.042,125.132,1.0,191.82,139.082,1.0,190.065,149.634,1.0,190.414,171.064,1.0,186.035,189.42,1.0,187.617,209.203,1.0,187.007,226.052,1.0
494,191.517,51.212,1.0,191.148,67.646,1.0,191.402,82.44,1.0,192.317,98.554,1.0,191.339,111.664,1.0,191.161,125.32,1.0,191.585,139.338,1.0,190.111,149.46,1.0,189.96,170.57,1.0,186.056,189.253,1.0,187.672,209.255,1.0,187.165,225.998,1.0
495,191.518,51.451,1.0,191.226,67.641,1.0,191.498,82.53,1.0,192.456,98.507,1.0,191.459,111.798,1.0,191.008,125.7,1.0,191.585,139.559,1.0,190.187,149.859,1.0,189.865,170.805,1.0,185.891,189.469,1.0,187.623,209.364,1.0,187.015,226.089,1.0
496,191.572,51.505,1.0,191.226,67.54,1.0,191.531,82.243,1.0,192.539,98.464,1.0,191.454,111.553,1.0,191.054,125.419,1.0,191.675,139.373,1.0,189.998,149.302,1.0,189.645,170.305,1.0,185.869,189.126,1.0,187.542,209.379,1.0,187.015,225.991,1.0
497,191.572,51.601,1.0,191.141,67.521,1.0,191.406,82.11,1.0,192.268,98.414,1.0,191.167,111.434,1.0,190.943,125.327,1.0,191.589,139.187,1.0,189.983,149.238,1.0,189.625,170.109,1.0,185.876,189.116,1.0,187.566,209.338,1.0,186.889,225.821,1.0
498,191.61,51.462,1.0,191.173,67.555,1.0,191.463,82.061,1.0,192.4,98.442,1.0,191.957,114.236,1.0,190.996,125.217,1.0,191.644,139.023,1.0,189.935,149.059,1.0,189.459,169.782,1.0,185.871,189.128,1.0,187.452,209.243,1.0,186.961,225.71,1.0
499,191.584,51.206,1.0,191.231,67.523,1.0,191.526,82.183,1.0,192.442,98.502,1.0,191.379,111.622,1.0,191.089,125.31,1.0,191.717,139.214,1.0,190.044,149.144,1.0,189.53,169.822,1.0,185.787,189.022,1.0,187.523,209.284,1.0,186.901,225.779,1.0
500,191.591,51.322,1.0,191.241,67.511,1.0,191.587,82.406,1.0,192.687,98.514,1.0,191.764,111.64,1.0,191.297,125.539,1.0,191.73,139.485,1.0,190.087,149.412,1.0,189.578,170.265,1.0,185.856,189.473,1.0,187.494,209.297,1.0,186.801,225.921,1.0
501,191.602,51.216,1.0,191.276,67.639,1.0,191.636,82.744,1.0,192.711,98.538,1.0,191.764,111.687,1.0,191.367,125.476,1.0,191.837,139.432,1.0,190.084,149.357,1.0,189.635,170.266,1.0,185.784,189.476,1.0,187.495,209.361,1.0,186.971,223.344,1.0
502,191.568,51.292,1.0,191.239,67.822,1.0,191.556,82.96,1.0,192.654,98.67,1.0,191.96,111.853,1.0,191.495,125.731,1.0,191.803,139.616,1.0,190.217,149.588,1.0,189.636,170.342,1.0,185.796,189.499,1.0,187.5,209.368,1.0,186.88,223.341,1.0
503,191.553,51.077,1.0,191.234,67.597,1.0,191.508,82.624,1.0,192.355,98.594,1.0,191.468,111.648,1.0,191.335,125.429,1.0,191.679,139.375,1.0,190.105,149.511,1.0,189.783,170.432,1.0,185.72,189.332,1.0,187.575,209.34,1.0,186.959,223.22,1.0
504,191.291,50.729,1.0,191.235,67.468,1.0,191.507,82.928,1.0,192.549,98.54,1.0,192.055,112.051,1.0,191.163,125.762,1.0,191.802,139.342,1.0,190.645,149.75,1.0,190.05,169.97,1.0,185.984,188.646,1.0,187.303,209.107,1.0,186.608,225.989,1.0
505,191.442,50.986,1.0,191.303,67.688,1.0,191.485,82.769,1.0,192.7,98.506,1.0,192.157,112.281,1.0,190.858,126.195,1.0,191.713,139.7,1.0,190.684,149.944,1.0,189.795,170.099,1.0,185.963,189.07,1.0,187.191,209.42,1.0,186.705,223.108,1.0
506,191.49,50.873,1.0,191.362,67.711,1.0,191.516,83.015,1.0,192.678,98.632,1.0,192.217,112.207,1.0,191.139,126.16,1.0,191.619,139.66,1.0,190.695,149.743,1.0,189.548,169.724,1.0,186.022,188.892,1.0,187.394,209.217,1.0,186.791,225.872,1.0
507,191.437,50.807,1.0,191.134,67.545,1.0,191.286,82.671,1.0,192.662,98.531,1.0,191.99,111.925,1.0,191.149,125.88,1.0,191.613,139.524,1.0,190.536,149.55,1.0,189.576,169.689,1.0,185.94,188.944,1.0,187.35,209.263,1.0,186.577,225.846,1.0
508,191.522,51.249,1.0,191.193,67.64,1.0,191.405,82.588,1.0,192.729,98.522,1.0,192.002,111.891,1.0,191.159,125.931,1.0,191.858,139.62,1.0,190.642,149.63,1.0,189.544,169.751,1.0,186.074,189.072,1.0,187.317,209.216,1.0,186.425,225.738,1.0
509,191.601,51.204,1.0,191.338,67.715,1.0,191.616,83.048,1.0,192.9,98.611,1.0,192.161,112.018,1.0,191.3,126.056,1.0,191.9,139.749,1.0,190.658,149.83,1.0,189.484,169.86,1.0,186.045,189.118,1.0,187.347,209.113,1.0,186.524,225.771,1.0
510,191.592,51.229,1.0,191.248,67.712,1.0,191.515,82.606,1.0,192.774,98.564,1.0,191.818,111.73,1.0,191.1,125.605,1.0,191.952,139.249,1.0,190.378,149.145,1.0,189.024,168.919,1.0,186.038,188.418,1.0,187.277,208.912,1.0,186.618,225.455,1.0
511,191.513,51.06,1.0,191.171,67.526,1.0,191.44,82.476,1.0,192.793,98.443,1.0,191.989,111.87,1.0,191.034,125.957,1.0,191.735,139.628,1.0,190.652,149.681,1.0,189.379,169.635,1.0,185.906,188.227,1.0,187.423,208.899,1.0,186.749,225.829,1.0
512,191.548,51.093,1.0,191.261,67.517,1.0,191.45,82.315,1.0,192.484,98.476,1.0,191.63,111.973,1.0,190.718,126.033,1.0,191.698,139.604,1.0,190.507,149.641,1.0,189.394,169.756,1.0,185.98,188.344,1.0,187.534,208.965,1.0,187.054,225.885,1.0
513,191.585,50.943,1.0,191.272,67.442,1.0,191.503,82.149,1.0,192.545,98.351,1.0,191.722,111.858,1.0,190.867,125.917,1.0,191.741,139.48,1.0,190.531,149.665,1.0,189.557,169.894,1.0,185.917,188.376,1.0,187.45,208.886,1.0,187.054,225.905,1.0
514,191.63,51.118,1.0,191.279,67.489,1.0,191.53,82.247,1.0,192.692,98.307,1.0,191.775,111.812,1.0,190.82,125.989,1.0,191.771,139.502,1.0,190.35,149.714,1.0,189.522,169.814,1.0,185.902,188.657,1.0,187.4,208.959,1.0,187.056,225.917,1.0
515,191.628,51.133,1.0,191.224,67.539,1.0,191.395,82.268,1.0,192.494,98.4,1.0,191.481,111.72,1.0,190.688,125.832,1.0,191.797,139.472,1.0,190.296,149.752,1.0,189.528,169.952,1.0,185.834,188.803,1.0,187.426,209.075,1.0,187.017,226.095,1.0
516,191.287,50.609,1.0,191.182,67.132,1.0,191.493,82.448,1.0,192.067,98.483,1.0,191.598,112.084,1.0,191.18,125.73,1.0,191.484,139.432,1.0,190.081,149.899,1.0,189.734,170.438,1.0,186.145,189.173,1.0,187.194,208.87,1.0,187.15,225.746,1.0
517,191.357,51.042,1.0,191.082,67.298,1.0,191.501,82.21,1.0,192.331,98.501,1.0,191.686,112.074,1.0,190.948,125.937,1.0,191.501,139.594,1.0,190.273,149.82,1.0,189.784,170.556,1.0,186.331,189.094,1.0,187.242,209.068,1.0,187.311,226.068,1.0
518,191.349,50.998,1.0,191.096,67.383,1.0,191.423,82.345,1.0,192.189,98.489,1.0,191.34,111.954,1.0,190.905,125.643,1.0,191.509,139.392,1.0,190.228,149.557,1.0,189.795,170.336,1.0,186.207,188.889,1.0,187.09,209.12,1.0,187.099,225.972,1.0
519,191.304,50.703,1.0,191.145,67.406,1.0,191.566,82.468,1.0,192.179,98.578,1.0,191.314,111.808,1.0,191.172,125.503,1.0,191.608,139.345,1.0,190.237,149.37,1.0,189.928,170.455,1.0,185.973,188.747,1.0,187.201,209.222,1.0,187.213,226.0,1.0
520,191.441,51.034,1.0,191.13,67.851,1.0,191.372,82.4,1.0,192.08,98.684,1.0,191.359,111.927,1.0,191.18,125.479,1.0,191.572,139.196,1.0,189.967,148.995,1.0,189.395,169.792,1.0,185.95,188.675,1.0,187.199,209.068,1.0,187.224,225.733,1.0
521,191.347,50.733,1.0,191.178,67.673,1.0,191.347,82.427,1.0,192.005,98.66,1.0,191.534,112.087,1.0,191.099,125.478,1.0,191.66,138.983,1.0,189.914,149.028,1.0,189.381,169.78,1.0,185.878,188.594,1.0,187.295,209.133,1.0,187.306,225.873,1.0
522,191.271,50.704,1.0,191.177,67.55,1.0,191.377,82.568,1.0,192.003,98.589,1.0,191.52,111.994,1.0,191.133,125.474,1.0,191.781,139.158,1.0,189.937,149.254,1.0,189.556,170.221,1.0,185.925,189.125,1.0,187.227,209.301,1.0,187.132,226.03,1.0
523,191.258,50.584,1.0,191.19,67.547,1.0,191.358,82.621,1.0,191.946,98.634,1.0,191.522,111.98,1.0,191.173,125.459,1.0,191.731,139.091,1.0,189.918,149.24,1.0,189.43,169.971,1.0,185.795,188.876,1.0,187.221,209.274,1.0,187.238,226.078,1.0
524,191.293,50.71,1.0,191.182,67.566,1.0,191.314,82.522,1.0,191.945,98.626,1.0,191.365,111.971,1.0,191.093,125.515,1.0,191.643,139.155,1.0,189.882,149.305,1.0,189.432,170.101,1.0,185.725,188.775,1.0,187.266,209.246,1.0,187.33,226.164,1.0
525,191.364,50.627,1.0,191.08,67.475,1.0,191.335,82.259,1.0,192.166,98.546,1.0,191.375,111.825,1.0,191.14,125.452,1.0,191.736,139.127,1.0,190.033,149.187,1.0,189.572,169.992,1.0,185.678,188.752,1.0,187.264,209.255,1.0,187.156,225.993,1.0
526,191.443,50.949,1.0,191.154,67.728,1.0,191.217,82.636,1.0,192.029,98.653,1.0,191.21,111.959,1.0,190.97,125.543,1.0,191.675,139.14,1.0,189.962,149.141,1.0,189.684,170.059,1.0,185.653,188.911,1.0,187.262,209.31,1.0,187.088,226.07,1.0
527,191.503,51.092,1.0,191.325,67.71,1.0,191.596,82.665,1.0,192.347,98.674,1.0,191.331,111.773,1.0,191.071,125.559,1.0,191.671,139.275,1.0,189.958,149.272,1.0,189.671,170.035,1.0,185.562,188.913,1.0,187.34,209.215,1.0,187.139,226.017,1.0
528,191.468,51.062,1.0,191.183,67.187,1.0,191.536,81.331,1.0,191.604,98.158,1.0,191.676,113.512,1.0,190.713,124.812,1.0,191.443,137.948,1.0,190.068,152.481,1.0,189.173,168.978,1.0,185.594,188.113,1.0,186.814,208.919,1.0,186.969,225.602,1.0
529,191.516,51.133,1.0,191.152,67.231,1.0,191.428,81.418,1.0,191.558,98.21,1.0,191.524,113.594,1.0,190.699,124.881,1.0,191.449,138.181,1.0,190.07,152.708,1.0,189.229,169.412,1.0,185.618,188.301,1.0,186.933,208.804,1.0,186.91,225.661,1.0
530,191.45,50.904,1.0,191.297,67.239,1.0,191.55,81.81,1.0,191.789,98.395,1.0,191.771,113.688,1.0,190.964,125.011,1.0,191.586,138.364,1.0,190.036,152.858,1.0,189.411,169.48,1.0,185.553,188.187,1.0,187.031,208.868,1.0,186.975,225.755,1.0
531,191.3,50.651,1.0,191.338,67.139,1.0,191.591,82.243,1.0,191.907,98.527,1.0,191.849,113.956,1.0,191.143,125.23,1.0,191.726,138.731,1.0,190.184,149.258,1.0,189.56,169.924,1.0,185.68,188.526,1.0,187.083,208.929,1.0,186.769,225.828,1.0
532,191.335,50.652,1.0,191.353,67.265,1.0,191.586,82.227,1.0,191.996,98.624,1.0,191.912,113.946,1.0,190.971,125.259,1.0,191.691,138.781,1.0,190.253,149.334,1.0,189.673,169.969,1.0,185.518,188.654,1.0,187.07,208.929,1.0,186.88,225.88,1.0
533,191.35,50.763,1.0,191.219,67.12,1.0,191.57,81.767,1.0,192.11,98.333,1.0,192.208,113.762,1.0,190.937,125.136,1.0,191.708,138.784,1.0,190.287,149.292,1.0,189.677,170.049,1.0,185.517,188.526,1.0,187.17,209.009,1.0,186.927,225.932,1.0
534,191.35,50.737,1.0,191.157,67.187,1.0,191.473,81.804,1.0,192.076,98.428,1.0,192.11,113.839,1.0,191.014,125.309,1.0,191.745,138.945,1.0,190.316,149.587,1.0,189.946,170.292,1.0,185.486,188.884,1.0,187.265,209.125,1.0,186.816,226.097,1.0
535,191.373,50.587,1.0,191.298,67.208,1.0,191.633,82.088,1.0,192.288,98.598,1.0,192.073,114.039,1.0,191.186,125.517,1.0,191.823,139.258,1.0,190.499,149.763,1.0,190.165,170.683,1.0,185.617,189.114,1.0,187.202,209.129,1.0,186.774,226.054,1.0
536,191.454,50.712,1.0,191.272,67.222,1.0,191.645,81.796,1.0,192.284,98.494,1.0,192.147,113.927,1.0,191.161,125.442,1.0,191.853,139.062,1.0,190.313,149.536,1.0,189.948,170.151,1.0,185.565,189.025,1.0,187.265,209.355,1.0,186.659,226.004,1.0
537,191.423,50.813,1.0,191.203,67.279,1.0,191.596,81.836,1.0,192.179,98.487,1.0,192.113,113.872,1.0,191.189,125.289,1.0,191.939,138.923,1.0,190.285,149.414,1.0,190.089,170.133,1.0,185.731,188.866,1.0,187.414,209.347,1.0,186.67,225.996,1.0
538,191.48,50.81,1.0,191.198,67.159,1.0,191.561,81.749,1.0,192.07,98.266,1.0,192.255,113.568,1.0,191.239,124.922,1.0,192.015,138.484,1.0,190.185,149.054,1.0,189.994,169.832,1.0,185.762,188.564,1.0,187.383,209.264,1.0,186.968,226.036,1.0
539,191.509,50.958,1.0,191.213,67.192,1.0,191.597,81.801,1.0,192.147,98.315,1.0,192.369,113.513,1.0,191.265,124.899,1.0,191.941,138.395,1.0,190.34,152.812,1.0,189.828,169.58,1.0,185.782,188.495,1.0,187.432,209.306,1.0,186.989,225.981,1.0
540,191.424,50.564,1.0,191.445,67.5,1.0,191.638,83.059,1.0,192.007,98.772,1.0,191.624,112.018,1.0,191.29,125.606,1.0,192.093,139.287,1.0,190.564,149.646,1.0,189.959,170.235,1.0,185.714,189.118,1.0,187.217,209.235,1.0,186.913,223.285,1.0
541,191.469,50.588,1.0,191.388,67.565,1.0,191.514,82.837,1.0,191.983,98.788,1.0,191.472,111.874,1.0,191.199,125.644,1.0,191.821,139.258,1.0,190.603,149.806,1.0,190.086,170.578,1.0,185.685,189.494,1.0,187.333,209.434,1.0,186.92,223.389,1.0
542,191.389,50.492,1.0,191.358,67.643,1.0,191.465,82.981,1.0,191.871,98.841,1.0,191.48,112.04,1.0,191.124,125.788,1.0,191.746,139.366,1.0,190.613,149.887,1.0,190.06,170.739,1.0,185.724,189.614,1.0,187.272,209.502,1.0,186.957,223.285,1.0
543,191.417,50.709,1.0,191.318,67.773,1.0,191.474,83.075,1.0,192.035,98.755,1.0,191.586,112.145,1.0,191.137,125.85,1.0,191.766,139.488,1.0,190.448,149.765,1.0,189.862,170.518,1.0,185.775,189.542,1.0,187.397,209.583,1.0,186.9,223.332,1.0
544,191.417,50.679,1.0,191.333,67.654,1.0,191.535,82.898,1.0,192.143,98.678,1.0,191.668,112.007,1.0,191.19,125.677,1.0,191.826,139.4,1.0,190.423,149.676,1.0,190.031,170.686,1.0,185.845,189.818,1.0,187.403,209.541,1.0,186.994,223.28,1.0
545,191.467,50.437,1.0,191.294,67.584,1.0,191.419,82.823,1.0,192.109,98.766,1.0,191.649,112.033,1.0,191.155,125.639,1.0,191.819,139.322,1.0,190.424,149.515,1.0,189.766,170.311,1.0,185.819,189.542,1.0,187.503,209.548,1.0,186.973,223.267,1.0
546,191.422,50.593,1.0,191.341,67.495,1.0,191.345,82.825,1.0,192.045,98.641,1.0,191.548,111.941,1.0,191.096,125.533,1.0,191.762,139.324,1.0,190.515,149.453,1.0,189.943,170.516,1.0,185.851,189.622,1.0,187.51,209.519,1.0,186.945,223.239,1.0
547,191.46,50.836,1.0,191.261,67.751,1.0,191.36,82.843,1.0,192.184,98.707,1.0,191.532,111.924,1.0,190.989,125.503,1.0,191.766,139.347,1.0,190.413,149.288,1.0,189.718,170.155,1.0,185.91,189.278,1.0,187.534,209.357,1.0,187.086,223.201,1.0
548,191.45,50.781,1.0,191.232,67.527,1.0,191.383,82.461,1.0,192.286,98.52,1.0,191.507,111.659,1.0,190.999,125.409,1.0,191.72,139.22,1.0,190.329,149.349,1.0,189.917,170.504,1.0,185.893,189.507,1.0,187.525,209.404,1.0,187.059,223.183,1.0
549,191.477,50.753,1.0,191.281,67.532,1.0,191.362,82.799,1.0,192.264,98.615,1.0,191.507,111.689,1.0,191.041,125.386,1.0,191.713,139.166,1.0,190.194,149.274,1.0,189.803,170.382,1.0,186.014,188.85,1.0,187.541,209.252,1.0,187.125,226.102,1.0
550,191.472,50.64,1.0,191.294,67.481,1.0,191.305,82.774,1.0,192.054,98.617,1.0,191.429,111.741,1.0,191.013,125.287,1.0,191.696,138.964,1.0,190.237,149.134,1.0,189.927,170.328,1.0,186.023,188.635,1.0,187.529,209.131,1.0,187.187,226.009,1.0
