scorer,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1136,327.916,179.113,1.0,329.704,191.975,1.0,330.323,205.491,1.0,331.697,222.455,1.0,328.624,243.275,1.0,328.12,258.282,1.0,329.078,280.031,1.0,328.43,294.662,1.0,325.866,313.846,1.0,324.087,325.616,1.0,321.271,337.947,1.0,321.243,352.554,1.0
1137,327.866,179.095,1.0,329.672,191.927,1.0,330.377,205.454,1.0,331.652,222.374,1.0,328.744,243.169,1.0,328.373,258.122,1.0,329.175,279.834,1.0,328.788,294.502,1.0,325.857,313.535,1.0,323.76,325.431,1.0,320.748,337.647,1.0,320.644,352.168,1.0
1138,327.78,179.019,1.0,329.641,191.81,1.0,330.315,205.37,1.0,331.639,222.28,1.0,328.71,243.111,1.0,328.003,258.238,1.0,329.223,279.789,1.0,328.662,294.476,1.0,325.875,313.599,1.0,323.678,325.494,1.0,320.709,337.785,1.0,320.634,352.101,1.0
1139,327.751,179.041,1.0,329.549,191.825,1.0,330.305,205.434,1.0,331.662,222.329,1.0,328.553,243.093,1.0,328.007,258.253,1.0,329.134,279.751,1.0,328.515,294.476,1.0,325.864,313.521,1.0,323.72,325.379,1.0,320.791,337.703,1.0,320.79,352.033,1.0
1140,327.784,179.036,1.0,329.593,191.815,1.0,330.435,205.523,1.0,331.825,222.367,1.0,328.597,243.241,1.0,327.97,258.409,1.0,329.022,280.006,1.0,328.68,294.626,1.0,325.929,313.646,1.0,324.063,325.423,1.0,321.137,337.743,1.0,320.92,352.312,1.0
1141,327.868,178.994,1.0,329.674,191.832,1.0,330.445,205.541,1.0,331.844,222.435,1.0,328.717,243.222,1.0,327.997,258.379,1.0,329.081,279.996,1.0,328.852,294.595,1.0,325.943,313.669,1.0,324.103,325.593,1.0,321.174,337.835,1.0,320.995,352.467,1.0
1142,327.891,178.936,1.0,329.728,191.806,1.0,330.477,205.483,1.0,331.773,222.363,1.0,328.583,243.216,1.0,327.858,258.347,1.0,329.002,279.844,1.0,328.563,294.528,1.0,325.971,313.796,1.0,324.228,325.825,1.0,321.437,337.983,1.0,321.221,352.673,1.0
1143,327.933,178.985,1.0,329.733,191.859,1.0,330.448,205.565,1.0,331.663,222.506,1.0,328.482,243.395,1.0,328.14,258.584,1.0,329.075,280.181,1.0,328.692,294.764,1.0,325.813,313.826,1.0,324.02,325.892,1.0,321.295,338.056,1.0,321.123,352.667,1.0
1144,327.946,178.964,1.0,329.684,191.816,1.0,330.392,205.524,1.0,331.766,222.455,1.0,328.573,243.241,1.0,328.112,258.415,1.0,329.051,279.901,1.0,328.615,294.386,1.0,325.832,313.373,1.0,324.081,325.732,1.0,321.432,337.831,1.0,321.216,352.511,1.0
1145,327.941,179.011,1.0,329.721,191.862,1.0,330.473,205.555,1.0,331.749,222.441,1.0,328.68,243.19,1.0,328.149,258.369,1.0,329.003,279.796,1.0,328.587,294.364,1.0,325.858,313.473,1.0,324.172,325.775,1.0,321.401,337.833,1.0,321.199,352.577,1.0
1146,327.839,178.922,1.0,329.617,191.74,1.0,330.391,205.352,1.0,331.724,222.176,1.0,328.866,243.099,1.0,328.116,258.148,1.0,329.104,279.719,1.0,328.644,294.514,1.0,325.821,313.654,1.0,324.215,325.712,1.0,321.46,337.931,1.0,321.279,352.512,1.0
1147,327.861,178.933,1.0,329.632,191.761,1.0,330.397,205.375,1.0,331.724,222.187,1.0,328.811,243.067,1.0,327.974,258.14,1.0,329.131,279.686,1.0,328.75,294.373,1.0,326.006,313.528,1.0,324.462,325.644,1.0,321.654,337.895,1.0,321.392,352.448,1.0
1148,327.863,179.019,1.0,329.65,191.839,1.0,330.438,205.467,1.0,331.703,222.318,1.0,328.657,243.176,1.0,328.035,258.262,1.0,329.101,279.873,1.0,328.751,294.541,1.0,326.092,313.688,1.0,324.546,325.676,1.0,321.812,337.962,1.0,321.594,352.549,1.0
1149,327.922,179.002,1.0,329.689,191.833,1.0,330.477,205.481,1.0,331.745,222.371,1.0,328.62,243.268,1.0,328.254,258.467,1.0,329.19,280.376,1.0,329.097,295.038,1.0,325.988,313.999,1.0,324.207,325.771,1.0,321.52,337.985,1.0,321.392,352.437,1.0
1150,327.92,178.973,1.0,329.711,191.801,1.0,330.444,205.389,1.0,331.713,222.253,1.0,328.723,243.168,1.0,328.125,258.217,1.0,329.152,279.82,1.0,328.65,294.436,1.0,325.89,313.333,1.0,323.972,325.477,1.0,321.231,337.645,1.0,321.096,352.251,1.0
1151,327.892,178.932,1.0,329.659,191.747,1.0,330.481,205.344,1.0,331.609,222.122,1.0,328.706,242.972,1.0,327.853,258.092,1.0,329.525,282.288,1.0,328.515,294.062,1.0,325.836,312.737,1.0,323.181,328.823,1.0,321.045,337.359,1.0,320.951,352.06,1.0
1152,327.707,178.95,1.0,329.552,191.765,1.0,330.369,205.314,1.0,331.924,222.192,1.0,328.819,243.17,1.0,327.892,258.058,1.0,329.563,282.156,1.0,328.204,293.976,1.0,325.771,312.973,1.0,323.1,329.051,1.0,321.192,337.414,1.0,320.812,352.335,1.0
1153,327.736,178.982,1.0,329.567,191.774,1.0,330.367,205.405,1.0,331.893,222.268,1.0,328.714,243.256,1.0,328.089,258.191,1.0,329.126,279.971,1.0,328.647,294.607,1.0,326.006,313.889,1.0,324.255,325.798,1.0,321.447,338.115,1.0,321.447,352.6,1.0
1154,327.799,179.014,1.0,329.646,191.822,1.0,330.485,205.351,1.0,331.994,222.225,1.0,329.173,243.316,1.0,328.581,258.19,1.0,329.595,279.867,1.0,329.385,294.536,1.0,326.388,313.783,1.0,324.506,325.72,1.0,321.33,338.038,1.0,321.373,352.47,1.0
1155,327.861,178.976,1.0,329.657,191.789,1.0,330.518,205.363,1.0,331.911,222.183,1.0,329.279,243.029,1.0,328.394,257.933,1.0,329.965,282.29,1.0,329.294,294.403,1.0,326.475,313.623,1.0,324.554,325.786,1.0,321.464,338.048,1.0,321.464,352.594,1.0
1156,327.881,178.976,1.0,329.645,191.774,1.0,330.461,205.372,1.0,331.857,222.211,1.0,328.981,242.98,1.0,328.083,258.087,1.0,329.788,282.321,1.0,329.176,294.409,1.0,326.269,313.632,1.0,324.435,325.73,1.0,321.331,338.047,1.0,321.298,352.519,1.0
1157,327.915,178.973,1.0,329.647,191.775,1.0,330.404,205.343,1.0,331.499,222.183,1.0,328.609,243.126,1.0,327.933,258.173,1.0,328.934,279.959,1.0,328.668,294.699,1.0,325.881,313.875,1.0,324.034,325.81,1.0,321.282,337.997,1.0,321.242,352.57,1.0
1158,327.976,178.98,1.0,329.69,191.822,1.0,330.477,205.384,1.0,331.411,222.306,1.0,328.684,243.126,1.0,328.114,258.103,1.0,329.017,279.823,1.0,328.711,294.483,1.0,325.818,313.428,1.0,323.916,325.633,1.0,320.943,337.709,1.0,320.82,352.212,1.0
1159,327.9,179.012,1.0,329.655,191.832,1.0,330.455,205.417,1.0,331.588,222.309,1.0,328.764,243.046,1.0,328.071,258.113,1.0,329.13,279.762,1.0,328.866,294.494,1.0,325.752,313.463,1.0,323.876,325.574,1.0,320.787,337.814,1.0,320.692,352.131,1.0
1160,327.921,178.994,1.0,329.675,191.775,1.0,330.454,205.43,1.0,331.709,222.271,1.0,328.53,243.074,1.0,327.826,258.17,1.0,329.401,282.296,1.0,328.481,294.232,1.0,325.836,313.429,1.0,324.089,325.597,1.0,321.082,337.754,1.0,320.985,352.2,1.0
1161,327.883,179.021,1.0,329.703,191.829,1.0,330.452,205.516,1.0,331.684,222.367,1.0,328.569,243.159,1.0,328.008,258.223,1.0,329.037,279.906,1.0,328.702,294.672,1.0,325.876,314.026,1.0,324.098,325.804,1.0,321.098,338.07,1.0,321.042,352.343,1.0
1162,327.915,179.026,1.0,329.713,191.834,1.0,330.451,205.471,1.0,331.548,222.325,1.0,328.552,243.15,1.0,328.024,258.224,1.0,328.956,279.891,1.0,328.706,294.615,1.0,325.858,313.868,1.0,324.031,325.804,1.0,321.219,337.972,1.0,320.996,352.414,1.0
1163,327.836,178.985,1.0,329.661,191.745,1.0,330.423,205.383,1.0,331.556,222.262,1.0,328.663,243.182,1.0,328.126,258.141,1.0,329.173,279.946,1.0,328.717,294.8,1.0,325.772,314.078,1.0,323.901,325.946,1.0,321.042,338.251,1.0,320.936,352.425,1.0
1164,327.597,179.062,1.0,329.539,191.799,1.0,330.364,205.423,1.0,332.126,222.223,1.0,328.867,243.151,1.0,328.078,258.175,1.0,329.645,282.142,1.0,328.682,294.091,1.0,325.941,313.296,1.0,324.15,325.689,1.0,321.391,337.673,1.0,321.272,352.499,1.0
1165,327.644,179.094,1.0,329.615,191.88,1.0,330.299,205.537,1.0,332.027,222.434,1.0,328.713,243.278,1.0,328.206,258.334,1.0,329.187,279.879,1.0,328.659,294.447,1.0,326.027,313.512,1.0,324.061,325.641,1.0,321.275,337.766,1.0,321.174,352.517,1.0
1166,327.685,178.983,1.0,329.639,191.794,1.0,330.393,205.455,1.0,331.977,222.382,1.0,328.915,243.234,1.0,328.631,258.437,1.0,329.363,280.064,1.0,328.824,294.73,1.0,325.653,313.455,1.0,322.809,329.611,1.0,320.347,337.746,1.0,320.231,352.059,1.0
1167,327.789,178.978,1.0,329.648,191.785,1.0,330.365,205.38,1.0,331.871,222.256,1.0,328.614,243.232,1.0,327.918,258.354,1.0,329.218,282.347,1.0,327.322,294.177,1.0,324.407,313.548,1.0,322.399,329.594,1.0,320.352,337.481,1.0,320.254,352.126,1.0
1168,327.884,178.983,1.0,329.719,191.797,1.0,330.47,205.354,1.0,331.945,222.236,1.0,328.853,243.007,1.0,327.995,257.941,1.0,329.167,281.786,1.0,327.15,293.85,1.0,324.084,312.694,1.0,321.38,329.023,1.0,319.143,336.819,1.0,318.834,351.592,1.0
1169,327.727,178.952,1.0,329.554,191.75,1.0,330.359,205.398,1.0,331.899,222.167,1.0,328.567,242.956,1.0,327.628,258.185,1.0,328.832,281.779,1.0,326.724,293.663,1.0,324.072,312.783,1.0,321.774,329.072,1.0,319.874,337.05,1.0,319.771,352.03,1.0
1170,327.857,178.987,1.0,329.669,191.768,1.0,330.417,205.374,1.0,331.746,222.125,1.0,328.906,243.041,1.0,327.867,258.03,1.0,329.337,282.042,1.0,327.804,294.136,1.0,325.148,313.211,1.0,322.651,329.277,1.0,320.325,337.456,1.0,320.186,352.053,1.0
1171,327.903,179.018,1.0,329.747,191.826,1.0,330.417,205.435,1.0,331.753,222.253,1.0,329.001,243.233,1.0,328.407,258.25,1.0,329.354,279.925,1.0,329.163,294.555,1.0,325.874,313.76,1.0,324.039,325.461,1.0,321.12,337.789,1.0,320.872,352.297,1.0
1172,327.898,179.021,1.0,329.734,191.849,1.0,330.516,205.456,1.0,331.86,222.299,1.0,328.882,243.248,1.0,328.508,258.229,1.0,329.632,280.054,1.0,329.599,294.796,1.0,326.472,314.029,1.0,324.683,325.8,1.0,321.863,338.173,1.0,321.816,352.797,1.0
1173,327.934,179.102,1.0,329.766,191.969,1.0,330.525,205.607,1.0,331.755,222.493,1.0,328.761,243.376,1.0,328.607,258.439,1.0,329.52,280.487,1.0,329.567,295.246,1.0,326.411,314.502,1.0,324.579,326.127,1.0,321.756,338.697,1.0,321.672,352.909,1.0
1174,327.945,179.101,1.0,329.807,191.979,1.0,330.562,205.538,1.0,331.793,222.383,1.0,328.886,243.198,1.0,328.419,258.199,1.0,329.72,282.318,1.0,328.657,294.075,1.0,326.186,312.886,1.0,323.413,329.193,1.0,321.208,337.415,1.0,320.953,352.257,1.0
1175,327.912,179.102,1.0,329.772,191.979,1.0,330.578,205.507,1.0,331.594,222.307,1.0,328.596,243.057,1.0,327.898,258.027,1.0,329.033,282.275,1.0,327.323,294.147,1.0,324.423,313.115,1.0,322.076,329.343,1.0,319.697,337.409,1.0,319.706,352.075,1.0
1176,327.654,179.064,1.0,329.559,191.743,1.0,330.37,205.349,1.0,332.058,222.209,1.0,328.611,243.054,1.0,327.686,258.051,1.0,329.138,281.953,1.0,327.209,294.011,1.0,324.497,313.136,1.0,322.0,329.257,1.0,319.784,337.317,1.0,319.749,352.002,1.0
1177,327.698,179.058,1.0,329.558,191.752,1.0,330.299,205.338,1.0,331.96,222.24,1.0,328.583,243.206,1.0,327.834,258.195,1.0,328.653,279.836,1.0,327.738,294.609,1.0,325.032,313.966,1.0,322.752,329.919,1.0,320.304,337.815,1.0,320.185,352.179,1.0
1178,327.787,178.966,1.0,329.597,191.695,1.0,330.263,205.314,1.0,331.643,222.257,1.0,328.67,243.293,1.0,328.124,258.302,1.0,329.207,280.039,1.0,328.876,294.695,1.0,325.988,313.814,1.0,324.18,325.555,1.0,321.348,337.915,1.0,321.056,352.434,1.0
1179,327.839,178.996,1.0,329.67,191.749,1.0,330.36,205.342,1.0,331.783,222.275,1.0,328.836,243.196,1.0,328.077,258.231,1.0,329.362,279.875,1.0,328.977,294.513,1.0,326.189,313.947,1.0,324.674,326.006,1.0,322.146,338.288,1.0,321.868,352.772,1.0
1180,327.783,178.955,1.0,329.646,191.708,1.0,330.412,205.305,1.0,331.902,222.136,1.0,329.053,243.278,1.0,328.775,258.37,1.0,327.305,280.479,1.0,329.761,294.921,1.0,326.245,314.111,1.0,324.481,325.887,1.0,321.57,338.336,1.0,321.554,352.727,1.0
1181,327.843,178.898,1.0,329.7,191.722,1.0,330.505,205.249,1.0,331.873,222.014,1.0,328.883,243.137,1.0,328.078,258.194,1.0,329.496,279.765,1.0,329.098,294.554,1.0,326.138,313.432,1.0,324.177,325.383,1.0,321.215,337.686,1.0,321.04,352.381,1.0
1182,327.824,178.898,1.0,329.668,191.736,1.0,330.369,205.154,1.0,331.75,222.022,1.0,328.816,243.031,1.0,327.624,257.972,1.0,329.456,281.667,1.0,327.798,293.77,1.0,325.315,312.801,1.0,322.887,328.865,1.0,320.799,337.445,1.0,320.716,352.1,1.0
1183,327.821,178.889,1.0,329.617,191.674,1.0,330.386,205.225,1.0,331.708,222.145,1.0,328.731,243.117,1.0,327.895,258.013,1.0,329.455,282.073,1.0,327.679,294.197,1.0,324.722,313.308,1.0,322.237,329.368,1.0,319.84,337.512,1.0,319.667,351.867,1.0
1184,327.816,178.887,1.0,329.594,191.678,1.0,330.305,205.236,1.0,331.568,222.174,1.0,328.546,243.146,1.0,327.847,257.956,1.0,329.314,281.907,1.0,327.46,293.841,1.0,324.624,312.701,1.0,321.959,328.725,1.0,319.982,337.08,1.0,319.632,351.838,1.0
1185,327.824,178.915,1.0,329.587,191.7,1.0,330.325,205.221,1.0,331.65,222.139,1.0,328.579,243.042,1.0,327.537,257.901,1.0,329.265,281.588,1.0,327.447,293.611,1.0,324.725,312.865,1.0,322.413,328.805,1.0,320.152,337.378,1.0,319.933,351.832,1.0
1186,327.857,178.913,1.0,329.649,191.721,1.0,330.382,205.264,1.0,331.69,222.23,1.0,328.675,243.297,1.0,328.145,258.199,1.0,329.001,279.823,1.0,328.254,294.516,1.0,325.4,313.817,1.0,323.521,325.523,1.0,320.554,337.757,1.0,320.346,351.929,1.0
1187,327.953,178.95,1.0,329.741,191.741,1.0,330.463,205.402,1.0,331.761,222.36,1.0,328.563,243.362,1.0,328.36,258.402,1.0,329.499,280.408,1.0,329.114,295.226,1.0,325.767,314.271,1.0,323.68,325.731,1.0,320.628,338.374,1.0,320.632,352.374,1.0
1188,327.68,179.069,1.0,329.568,191.82,1.0,330.352,205.467,1.0,331.688,222.448,1.0,328.535,243.18,1.0,327.919,258.275,1.0,328.942,279.675,1.0,328.341,294.217,1.0,325.947,313.419,1.0,324.443,325.545,1.0,321.571,337.618,1.0,321.362,352.503,1.0
1189,327.719,178.969,1.0,329.546,191.753,1.0,330.355,205.378,1.0,331.677,222.34,1.0,328.636,243.325,1.0,328.259,258.483,1.0,329.176,280.26,1.0,328.8,295.059,1.0,325.731,314.257,1.0,324.084,325.799,1.0,321.226,338.153,1.0,321.207,352.547,1.0
1190,327.789,179.075,1.0,329.618,191.837,1.0,330.367,205.516,1.0,331.571,222.358,1.0,328.928,243.21,1.0,328.475,258.334,1.0,329.19,279.631,1.0,328.75,294.472,1.0,325.717,313.241,1.0,323.067,329.399,1.0,320.709,337.428,1.0,320.414,351.953,1.0
1191,327.781,179.046,1.0,329.636,191.845,1.0,330.393,205.486,1.0,331.815,222.346,1.0,328.526,243.181,1.0,327.739,258.302,1.0,329.325,282.06,1.0,327.954,294.05,1.0,325.303,312.781,1.0,322.667,328.941,1.0,320.427,337.332,1.0,320.137,351.866,1.0
1192,327.744,178.961,1.0,329.59,191.723,1.0,330.302,205.436,1.0,331.743,222.289,1.0,328.577,243.089,1.0,327.744,258.144,1.0,329.159,282.174,1.0,327.694,293.976,1.0,324.947,312.846,1.0,322.382,328.876,1.0,320.293,337.229,1.0,319.941,351.704,1.0
1193,327.719,178.979,1.0,329.586,191.755,1.0,330.305,205.428,1.0,331.744,222.338,1.0,328.673,243.203,1.0,327.881,258.104,1.0,329.27,282.321,1.0,327.964,294.085,1.0,324.989,313.096,1.0,322.524,329.051,1.0,320.481,337.433,1.0,320.073,351.768,1.0
1194,327.785,179.025,1.0,329.61,191.774,1.0,330.377,205.449,1.0,331.738,222.34,1.0,328.875,243.087,1.0,328.21,258.14,1.0,329.094,279.482,1.0,328.539,294.335,1.0,325.554,313.338,1.0,322.977,329.547,1.0,320.612,337.809,1.0,320.404,352.036,1.0
1195,327.774,178.938,1.0,329.595,191.712,1.0,330.377,205.35,1.0,331.711,222.169,1.0,328.89,242.963,1.0,328.111,258.102,1.0,329.709,282.379,1.0,328.999,294.242,1.0,326.301,313.234,1.0,324.583,325.539,1.0,321.301,337.883,1.0,321.182,352.224,1.0
1196,327.821,178.972,1.0,329.664,191.793,1.0,330.397,205.407,1.0,331.703,222.292,1.0,328.715,243.202,1.0,328.191,258.335,1.0,329.501,279.728,1.0,329.026,294.622,1.0,326.221,313.697,1.0,324.629,325.904,1.0,321.733,338.202,1.0,321.501,352.604,1.0
1197,327.81,178.983,1.0,329.677,191.794,1.0,330.521,205.496,1.0,331.667,222.315,1.0,328.947,243.2,1.0,328.555,258.326,1.0,330.075,282.587,1.0,329.25,294.236,1.0,326.455,312.989,1.0,324.366,325.34,1.0,321.257,337.513,1.0,320.937,352.143,1.0
1198,327.864,178.888,1.0,329.734,191.72,1.0,330.563,205.343,1.0,331.624,222.169,1.0,328.721,243.015,1.0,327.821,258.165,1.0,329.524,282.306,1.0,328.581,294.291,1.0,325.737,313.229,1.0,323.026,329.335,1.0,320.559,337.697,1.0,320.221,351.831,1.0
1199,327.866,178.947,1.0,329.721,191.779,1.0,330.493,205.417,1.0,331.533,222.251,1.0,328.556,243.092,1.0,327.622,258.167,1.0,328.97,282.093,1.0,327.588,293.956,1.0,324.853,312.833,1.0,322.493,328.944,1.0,320.318,337.091,1.0,319.996,351.768,1.0
1200,327.734,178.977,1.0,329.596,191.733,1.0,330.438,205.455,1.0,331.821,222.262,1.0,328.621,243.193,1.0,327.98,258.281,1.0,328.59,279.722,1.0,327.363,294.387,1.0,324.42,313.338,1.0,321.987,329.692,1.0,319.735,337.215,1.0,319.644,352.012,1.0
1201,327.813,178.867,1.0,329.657,191.665,1.0,330.523,205.336,1.0,331.624,222.166,1.0,328.874,242.952,1.0,327.911,257.96,1.0,329.324,281.96,1.0,327.845,293.784,1.0,324.743,313.025,1.0,322.292,329.12,1.0,319.946,337.346,1.0,319.906,352.017,1.0
1202,327.911,178.88,1.0,329.755,191.702,1.0,330.503,205.312,1.0,331.653,222.092,1.0,328.769,242.986,1.0,327.732,258.082,1.0,329.401,282.147,1.0,327.968,293.956,1.0,325.195,313.213,1.0,323.025,329.237,1.0,320.879,337.506,1.0,320.832,352.232,1.0
1203,327.868,178.813,1.0,329.73,191.626,1.0,330.519,205.255,1.0,331.683,222.006,1.0,328.964,243.144,1.0,328.385,258.24,1.0,329.476,280.13,1.0,329.162,295.009,1.0,325.902,314.097,1.0,324.098,325.725,1.0,321.422,338.103,1.0,321.431,352.86,1.0
1204,327.948,178.898,1.0,329.78,191.72,1.0,330.482,205.381,1.0,331.591,222.242,1.0,328.937,243.241,1.0,328.409,258.27,1.0,329.405,280.104,1.0,329.115,294.956,1.0,325.975,314.317,1.0,324.352,325.785,1.0,321.362,338.173,1.0,321.417,352.574,1.0
1205,327.97,178.913,1.0,329.781,191.744,1.0,330.451,205.407,1.0,331.595,222.359,1.0,328.916,243.189,1.0,328.347,258.111,1.0,329.412,279.7,1.0,329.005,294.364,1.0,326.025,313.47,1.0,324.236,325.399,1.0,321.269,337.641,1.0,321.323,352.403,1.0
1206,327.903,178.957,1.0,329.742,191.795,1.0,330.476,205.451,1.0,331.528,222.329,1.0,328.668,243.129,1.0,327.981,258.132,1.0,328.874,279.765,1.0,328.413,294.276,1.0,325.57,313.449,1.0,323.823,325.523,1.0,320.993,337.474,1.0,321.085,352.27,1.0
1207,327.941,178.935,1.0,329.721,191.736,1.0,330.457,205.455,1.0,331.411,222.313,1.0,328.619,243.185,1.0,328.129,258.12,1.0,328.809,279.514,1.0,328.07,293.969,1.0,325.246,313.059,1.0,322.894,329.025,1.0,320.738,337.207,1.0,320.601,351.913,1.0
1208,327.856,179.022,1.0,329.722,191.805,1.0,330.501,205.462,1.0,331.552,222.28,1.0,328.681,243.202,1.0,328.317,258.195,1.0,329.128,279.647,1.0,328.312,294.147,1.0,325.194,312.82,1.0,322.499,329.005,1.0,320.351,337.046,1.0,320.26,351.93,1.0
1209,327.782,178.941,1.0,329.658,191.734,1.0,330.51,205.396,1.0,331.621,222.094,1.0,328.466,243.041,1.0,327.877,258.049,1.0,329.477,282.13,1.0,328.176,293.927,1.0,325.245,312.883,1.0,322.732,329.071,1.0,320.597,337.297,1.0,320.39,352.213,1.0
1210,327.779,178.993,1.0,329.642,191.79,1.0,330.476,205.43,1.0,331.482,222.265,1.0,328.472,243.254,1.0,328.046,258.158,1.0,328.677,279.489,1.0,327.798,294.191,1.0,325.202,313.238,1.0,322.999,329.271,1.0,320.858,337.53,1.0,320.684,352.263,1.0
1211,327.859,179.0,1.0,329.723,191.776,1.0,330.538,205.407,1.0,331.636,222.254,1.0,328.692,243.227,1.0,328.282,258.277,1.0,329.155,280.154,1.0,328.659,294.923,1.0,325.631,313.854,1.0,323.722,325.455,1.0,320.808,337.742,1.0,320.715,352.322,1.0
1212,327.74,178.925,1.0,329.583,191.746,1.0,330.402,205.369,1.0,331.903,222.31,1.0,328.814,243.39,1.0,328.243,258.291,1.0,329.343,279.846,1.0,328.711,294.316,1.0,326.207,313.448,1.0,324.098,325.653,1.0,321.244,337.654,1.0,321.069,352.544,1.0
1213,327.811,178.978,1.0,329.629,191.811,1.0,330.4,205.447,1.0,331.829,222.37,1.0,328.791,243.289,1.0,328.172,258.273,1.0,329.034,279.794,1.0,328.501,294.272,1.0,326.122,313.54,1.0,324.204,325.62,1.0,321.408,337.697,1.0,321.151,352.577,1.0
1214,327.826,178.972,1.0,329.641,191.795,1.0,330.413,205.423,1.0,331.553,222.353,1.0,328.901,243.294,1.0,328.474,258.206,1.0,329.043,279.817,1.0,328.622,294.246,1.0,325.876,313.478,1.0,323.336,329.469,1.0,320.729,337.541,1.0,320.402,352.065,1.0
1215,327.767,178.889,1.0,329.564,191.682,1.0,330.415,205.305,1.0,331.82,222.185,1.0,328.955,242.994,1.0,328.05,258.073,1.0,329.531,282.221,1.0,328.419,294.122,1.0,325.737,313.293,1.0,323.155,329.245,1.0,320.744,337.508,1.0,320.402,352.004,1.0
1216,327.777,178.929,1.0,329.604,191.734,1.0,330.415,205.347,1.0,331.746,222.204,1.0,328.611,243.044,1.0,327.875,258.128,1.0,329.287,282.357,1.0,328.118,294.118,1.0,325.423,313.512,1.0,323.246,329.334,1.0,320.78,337.661,1.0,320.527,352.138,1.0
1217,327.854,179.03,1.0,329.684,191.864,1.0,330.474,205.436,1.0,331.8,222.332,1.0,328.893,243.174,1.0,328.316,258.175,1.0,328.922,279.911,1.0,328.513,294.36,1.0,325.424,313.445,1.0,322.925,329.319,1.0,320.467,337.378,1.0,320.164,351.897,1.0
1218,327.806,178.951,1.0,329.603,191.77,1.0,330.336,205.346,1.0,331.777,222.264,1.0,328.726,243.209,1.0,328.055,258.256,1.0,328.901,279.649,1.0,328.215,294.184,1.0,325.471,313.128,1.0,322.829,329.169,1.0,320.577,337.335,1.0,320.255,351.979,1.0
1219,327.872,178.982,1.0,329.621,191.764,1.0,330.286,205.384,1.0,331.6,222.341,1.0,328.608,243.234,1.0,328.2,258.379,1.0,329.036,279.98,1.0,328.607,294.525,1.0,325.584,313.582,1.0,323.001,329.671,1.0,320.386,337.594,1.0,320.148,351.966,1.0
