scorer,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,327.685,178.869,1.0,329.381,191.238,1.0,330.349,204.924,1.0,331.603,222.113,1.0,329.245,242.6,1.0,328.524,258.388,1.0,327.199,280.535,1.0,331.432,294.831,1.0,328.275,314.046,1.0,326.285,329.089,1.0,325.768,337.928,1.0,319.749,348.668,1.0
11,327.561,178.942,1.0,329.29,191.279,1.0,330.322,204.932,1.0,331.878,222.12,1.0,329.072,242.677,1.0,328.495,258.303,1.0,327.461,280.655,1.0,331.5,295.033,1.0,328.328,314.217,1.0,326.171,329.292,1.0,325.84,338.063,1.0,319.837,348.817,1.0
12,327.556,179.063,1.0,329.441,191.394,1.0,330.492,205.128,1.0,331.982,222.227,1.0,329.518,242.945,1.0,328.851,258.392,1.0,327.146,279.983,1.0,327.417,294.647,1.0,329.104,313.282,1.0,326.603,328.555,1.0,325.853,337.778,1.0,319.767,348.87,1.0
13,327.717,179.117,1.0,329.575,191.474,1.0,330.469,205.242,1.0,332.058,222.391,1.0,329.155,243.117,1.0,328.871,258.566,1.0,327.331,280.46,1.0,327.238,294.872,1.0,329.03,313.606,1.0,326.519,328.641,1.0,325.802,337.683,1.0,320.006,348.803,1.0
14,327.765,179.114,1.0,329.566,191.493,1.0,330.43,205.225,1.0,331.957,222.363,1.0,329.387,243.166,1.0,329.021,258.574,1.0,327.169,280.152,1.0,327.367,294.529,1.0,329.115,313.083,1.0,326.587,328.427,1.0,325.925,337.321,1.0,320.225,348.616,1.0
15,327.752,179.263,1.0,329.555,191.631,1.0,330.535,205.37,1.0,331.814,222.439,1.0,329.168,243.317,1.0,328.776,258.598,1.0,327.179,280.192,1.0,331.251,294.321,1.0,328.853,313.246,1.0,326.417,328.724,1.0,325.852,337.464,1.0,320.155,348.745,1.0
16,327.771,179.291,1.0,329.568,191.651,1.0,330.51,205.369,1.0,331.884,222.441,1.0,329.076,243.306,1.0,328.713,258.557,1.0,327.253,280.199,1.0,331.195,294.233,1.0,328.775,313.101,1.0,326.335,328.631,1.0,325.834,337.382,1.0,320.218,348.76,1.0
17,327.742,179.251,1.0,329.522,191.63,1.0,330.53,205.387,1.0,331.907,222.443,1.0,329.012,243.338,1.0,328.629,258.517,1.0,327.191,280.146,1.0,331.06,294.14,1.0,328.768,313.026,1.0,326.31,328.633,1.0,325.917,337.245,1.0,320.365,348.768,1.0
18,327.711,179.232,1.0,329.532,191.616,1.0,330.547,205.375,1.0,331.921,222.445,1.0,328.958,243.353,1.0,328.625,258.467,1.0,327.226,280.219,1.0,331.126,294.366,1.0,328.573,313.437,1.0,326.18,328.808,1.0,325.762,337.454,1.0,320.24,348.831,1.0
19,327.739,179.246,1.0,329.52,191.741,1.0,330.577,205.451,1.0,332.069,222.508,1.0,328.831,243.468,1.0,328.394,258.48,1.0,327.331,280.231,1.0,331.08,294.275,1.0,328.778,313.285,1.0,326.417,328.698,1.0,325.864,337.384,1.0,320.258,348.925,1.0
20,327.805,179.258,1.0,329.546,191.719,1.0,330.503,205.427,1.0,331.821,222.488,1.0,328.727,243.523,1.0,328.294,258.432,1.0,327.344,280.335,1.0,331.087,294.4,1.0,328.686,313.54,1.0,326.345,328.839,1.0,325.761,337.443,1.0,320.189,348.937,1.0
